updated_at,users,statuses
2022-12-05 15:20,6,413
2022-12-05 18:23,6,421
2022-12-05 21:17,6,422
2022-12-06 01:35,6,424
2022-12-06 03:41,6,428
2022-12-06 06:24,6,433
2022-12-06 09:18,6,434
2022-12-06 12:38,6,436
2022-12-06 15:20,6,439
2022-12-06 18:38,6,443
2022-12-06 21:16,6,445
2022-12-07 01:41,6,445
2022-12-07 03:24,6,446
2022-12-07 09:18,6,452
2022-12-07 12:36,6,453
2022-12-07 15:20,6,456
2022-12-07 18:24,6,462
2022-12-07 21:17,6,462
2022-12-08 01:37,6,462
2022-12-08 03:21,6,464
2022-12-08 06:25,6,466
2022-12-08 09:18,6,466
2022-12-08 12:36,6,468
2022-12-08 15:19,6,468
2022-12-08 18:23,6,469
2022-12-08 21:17,6,469
2022-12-09 01:40,6,469
2022-12-09 03:22,6,470
2022-12-09 06:23,6,470
2022-12-09 09:18,6,470
2022-12-09 12:35,6,470
2022-12-09 15:18,6,473
2022-12-09 18:45,6,477
2022-12-09 21:17,6,477
2022-12-10 01:34,6,477
2022-12-10 03:20,6,477
2022-12-10 06:23,6,478
2022-12-10 09:17,6,479
2022-12-10 12:33,6,479
2022-12-10 15:18,6,479
2022-12-10 18:22,6,479
2022-12-10 21:31,6,479
2022-12-11 01:44,6,479
2022-12-11 03:24,6,479
2022-12-11 06:23,6,480
2022-12-11 09:17,6,481
2022-12-11 12:34,6,481
2022-12-11 15:19,6,482
2022-12-11 19:14,6,482
2022-12-11 21:16,6,482
2022-12-12 01:40,6,482
2022-12-12 03:24,6,483
2022-12-12 06:24,6,483
2022-12-12 09:19,6,484
2022-12-12 12:37,6,485
2022-12-12 15:20,6,485
