updated_at,users,statuses
2022-11-21 09:22,1808,16534
2022-11-21 13:51,1818,16866
2022-11-21 15:23,1820,16930
2022-11-21 18:27,1822,17158
2022-11-21 21:21,1826,17294
2022-11-22 01:59,1837,17626
2022-11-22 03:40,1839,17682
2022-11-22 06:27,1840,17758
2022-11-22 09:21,1842,17905
2022-11-22 12:43,1845,18023
2022-11-22 15:23,1846,18161
2022-11-22 18:26,1847,18372
2022-11-22 21:17,1849,18677
2022-11-23 01:46,1853,18900
2022-11-23 03:34,1854,18933
2022-11-23 06:25,1854,19013
2022-11-23 09:19,1855,19125
2022-11-23 12:40,1856,19225
2022-11-23 15:21,1857,19329
2022-11-23 18:24,1860,19540
2022-11-23 21:17,1864,19729
2022-11-24 01:49,1867,19922
2022-11-24 03:29,1868,19977
2022-11-24 06:25,1869,20042
2022-11-24 09:19,1868,20154
2022-11-24 12:40,1868,20250
2022-11-24 15:20,1869,20355
2022-11-24 18:25,1872,20480
2022-11-24 21:17,1873,20681
2022-11-25 01:46,1873,20864
2022-11-25 03:37,1873,20908
2022-11-25 06:26,1874,20937
2022-11-25 09:19,1873,21049
2022-11-25 12:39,1874,21130
2022-11-25 15:20,1874,21194
2022-11-25 18:25,1875,21352
2022-11-25 21:17,1876,21464
2022-11-26 01:41,1877,21648
2022-11-26 03:26,1879,21688
2022-11-26 06:24,1880,21712
2022-11-26 09:18,1883,21786
2022-11-26 12:35,1882,21892
2022-11-26 15:19,1881,22043
2022-11-26 18:23,1883,22141
2022-11-26 21:17,1886,22325
2022-11-27 01:51,1889,22514
2022-11-27 03:40,1889,22543
2022-11-27 06:24,1890,22633
2022-11-27 09:18,1888,22667
2022-11-27 12:35,1890,22755
2022-11-27 15:19,1891,22902
2022-11-27 18:23,1892,23009
2022-11-27 21:17,1892,23074
2022-11-28 01:44,1893,23231
2022-11-28 03:31,1895,23324
2022-11-28 06:26,1895,23367
2022-11-28 09:20,1897,23404
2022-11-28 12:38,1900,23498
2022-11-28 15:18,1900,23558
2022-11-28 18:25,1901,23694
2022-11-28 21:18,1902,23852
2022-11-29 01:44,1905,23973
2022-11-29 03:30,1905,24002
2022-11-29 06:26,1905,24101
2022-11-29 09:19,1907,24171
2022-11-29 12:39,1909,24275
2022-11-29 15:21,1911,24312
2022-11-29 18:23,1914,24086
2022-11-29 21:18,1915,24219
2022-11-30 01:45,1916,24317
2022-11-30 03:27,1917,24368
2022-11-30 06:25,1919,24401
2022-11-30 09:20,1919,24454
2022-11-30 12:41,1919,24538
2022-11-30 15:22,1921,24656
2022-11-30 18:25,1922,24750
2022-11-30 21:18,1923,24925
2022-12-01 01:56,1925,25089
2022-12-01 03:38,1925,25102
2022-12-01 06:26,1925,25116
2022-12-01 09:20,1925,25163
2022-12-01 12:42,1929,25240
2022-12-01 15:21,1929,25333
2022-12-01 18:25,1929,25455
2022-12-01 21:15,1929,25560
2022-12-02 01:37,1929,25682
2022-12-02 03:24,1929,25722
2022-12-02 06:24,1929,25745
2022-12-02 09:18,1929,25793
2022-12-02 12:35,1929,25881
2022-12-02 15:17,1930,26011
2022-12-02 18:22,1931,26092
2022-12-02 21:16,1932,26178
2022-12-03 01:27,1932,26290
2022-12-03 03:20,1932,26302
2022-12-03 06:22,1933,26324
2022-12-03 09:17,1933,26356
2022-12-03 12:33,1933,26415
2022-12-03 15:18,1935,26488
2022-12-03 18:22,1935,26568
2022-12-03 21:15,1935,26626
2022-12-04 01:39,1937,26682
2022-12-04 03:20,1937,26695
2022-12-04 06:22,1937,26733
2022-12-04 09:17,1937,26764
2022-12-04 12:35,1937,26810
2022-12-04 15:18,1937,26837
2022-12-04 18:27,1939,26919
2022-12-04 21:16,1940,26950
2022-12-05 01:38,1939,27050
2022-12-05 03:20,1939,27071
2022-12-05 06:24,1939,27081
2022-12-05 09:19,1940,27147
2022-12-05 12:37,1940,27176
2022-12-05 15:20,1941,27220
2022-12-05 18:23,1941,27330
2022-12-05 21:17,1942,27413
2022-12-06 01:35,1944,27509
2022-12-06 03:41,1944,27531
2022-12-06 06:24,1945,27542
2022-12-06 09:18,1945,27606
2022-12-06 12:38,1946,27687
2022-12-06 15:20,1946,27733
2022-12-06 18:38,1947,27791
2022-12-06 21:16,1948,27858
2022-12-07 01:41,1949,27943
2022-12-07 03:24,1949,27960
2022-12-07 09:18,1949,28015
2022-12-07 12:36,1950,28097
2022-12-07 15:20,1950,28122
2022-12-07 18:24,1951,28265
2022-12-07 21:17,1951,28407
2022-12-08 01:37,1951,28508
2022-12-08 03:21,1951,28532
2022-12-08 06:25,1951,28596
2022-12-08 09:18,1951,28733
2022-12-08 12:36,1952,28794
2022-12-08 15:19,1954,28841
2022-12-08 18:23,1953,28915
2022-12-08 21:17,1954,29011
2022-12-09 01:40,1954,29100
2022-12-09 03:22,1954,29106
2022-12-09 06:23,1955,29127
