updated_at,users,statuses
2022-11-04 10:13,35,8836
2022-11-04 13:09,35,8845
2022-11-04 15:25,35,8846
2022-11-04 18:28,35,8846
2022-11-04 21:19,35,8851
2022-11-05 02:03,35,8879
2022-11-05 03:49,35,8879
2022-11-05 06:27,35,8879
2022-11-05 09:21,35,8897
2022-11-05 12:38,35,8942
2022-11-05 15:21,35,8983
2022-11-05 18:26,35,8986
2022-11-05 21:18,35,9001
2022-11-06 02:06,35,9002
2022-11-06 03:50,35,9002
2022-11-06 06:27,35,9002
2022-11-06 09:22,35,9003
2022-11-06 12:40,36,9015
2022-11-06 15:24,36,9056
2022-11-06 18:26,36,9074
2022-11-06 21:19,36,9075
2022-11-07 02:00,36,9108
2022-11-07 04:00,36,9108
2022-11-07 06:28,36,9108
2022-11-07 09:22,36,9131
2022-11-07 12:50,36,9142
2022-11-07 15:24,36,9148
2022-11-07 18:27,36,9156
2022-11-07 21:22,37,9160
2022-11-08 02:00,37,9170
2022-11-08 04:00,37,9170
2022-11-08 06:30,37,9170
2022-11-08 09:23,37,9197
2022-11-08 12:51,38,9212
2022-11-08 15:24,38,9230
2022-11-08 18:32,38,9232
2022-11-08 21:20,38,9240
2022-11-09 02:11,38,9251
2022-11-09 04:03,38,9251
2022-11-09 06:35,38,9251
2022-11-09 09:22,38,9260
2022-11-09 12:52,39,9306
2022-11-09 15:25,40,9322
2022-11-09 18:27,41,9368
2022-11-09 21:23,41,9400
2022-11-10 02:04,42,9417
2022-11-10 03:56,42,9417
2022-11-10 06:28,42,9417
2022-11-10 09:23,43,9423
2022-11-10 12:52,43,9444
2022-11-10 15:23,42,9458
2022-11-10 18:28,42,9491
2022-11-10 21:21,42,9495
2022-11-11 02:04,42,9515
2022-11-11 03:56,42,9515
2022-11-11 06:32,43,9516
2022-11-11 09:22,43,9520
2022-11-11 12:51,42,9556
2022-11-11 15:25,42,9562
2022-11-11 18:29,43,9584
2022-11-11 21:20,43,9595
2022-11-12 01:59,43,9611
2022-11-12 03:54,43,9611
2022-11-12 06:27,44,9611
2022-11-12 09:21,45,9617
2022-11-12 12:39,44,9625
2022-11-12 15:23,43,9640
2022-11-12 18:26,43,9644
2022-11-12 21:19,43,9683
2022-11-13 01:59,43,9706
