updated_at,users,statuses
2022-11-04 10:13,2255,11117891
2022-11-04 13:09,2256,11119527
2022-11-04 15:25,2255,11120540
2022-11-04 18:28,2255,11121352
2022-11-04 21:19,2255,11121558
2022-11-05 02:03,2255,11122475
2022-11-05 03:49,2256,11122821
2022-11-05 06:27,2258,11124246
2022-11-05 09:21,2258,11125958
2022-11-05 12:38,2260,11099913
2022-11-05 15:21,2261,11101009
2022-11-05 18:26,2263,11102311
2022-11-05 21:18,2263,11103019
2022-11-06 02:06,2264,11103869
2022-11-06 03:50,2264,11104523
2022-11-06 06:27,2266,11105038
2022-11-06 09:22,2268,11085231
2022-11-06 12:40,2267,11086805
2022-11-06 15:24,2268,11088202
2022-11-06 18:26,2268,11088645
2022-11-06 21:19,2268,11088996
2022-11-07 02:00,2269,11089864
2022-11-07 04:00,2270,11090766
2022-11-07 06:28,2271,11091031
2022-11-07 09:22,2272,11092528
2022-11-07 12:50,2273,11094313
2022-11-07 15:24,2275,11095152
2022-11-07 18:27,2275,11095633
2022-11-07 21:22,2274,11095767
2022-11-08 02:00,2275,11096589
2022-11-08 04:00,2276,11097351
2022-11-08 06:30,2277,11098313
2022-11-08 09:23,2279,11099632
2022-11-08 12:51,2281,11101520
2022-11-08 15:24,2283,11103148
2022-11-08 18:32,2285,11103528
2022-11-08 21:20,2285,11103727
2022-11-09 02:11,2288,11104686
2022-11-09 04:03,2290,11105495
2022-11-09 06:35,2295,11107236
2022-11-09 09:22,2299,11108918
2022-11-09 12:52,2306,11111573
2022-11-09 15:25,2311,11113028
2022-11-09 18:27,2311,11115150
2022-11-09 21:23,2311,11115535
2022-11-10 02:04,2313,11116772
2022-11-10 03:56,2314,11117941
2022-11-10 06:28,2315,11119174
2022-11-10 09:23,2316,11120631
2022-11-10 12:52,2318,11124300
2022-11-10 15:23,2321,11126633
2022-11-10 18:28,2323,11127183
2022-11-10 21:21,2323,11127295
2022-11-11 02:04,2321,11128488
2022-11-11 03:56,2321,11129311
2022-11-11 06:32,2320,11107566
2022-11-11 09:22,2322,11108895
2022-11-11 12:51,2323,11111723
2022-11-11 15:25,2325,11112890
2022-11-11 18:29,2327,11113808
2022-11-11 21:20,2327,11113953
2022-11-12 01:59,2327,11114881
2022-11-12 03:54,2327,11115541
2022-11-12 06:27,2325,11114539
2022-11-12 09:21,2326,11115669
2022-11-12 12:39,2329,11117034
2022-11-12 15:23,2330,11118241
2022-11-12 18:26,2332,11119256
2022-11-12 21:19,2332,11119831
2022-11-13 01:59,2332,11120639
2022-11-13 03:55,2334,11121250
2022-11-13 06:27,2335,11122324
2022-11-13 09:21,2335,11123763
2022-11-13 12:41,2336,11125389
2022-11-13 15:22,2338,11126830
2022-11-13 18:26,2338,11127200
2022-11-13 21:19,2338,11127308
2022-11-14 01:58,2338,11127918
2022-11-14 03:58,2338,11128334
2022-11-14 06:29,2339,11129202
2022-11-14 09:23,2339,11130805
2022-11-14 12:53,2340,11132760
2022-11-14 15:25,2340,11133959
2022-11-14 18:27,2340,11134299
2022-11-14 21:21,2340,11134484
2022-11-15 01:56,2341,11135423
2022-11-15 03:47,2341,11136014
2022-11-15 06:26,2341,11137194
2022-11-15 09:21,2341,11138217
2022-11-15 12:44,2343,11140787
2022-11-15 15:23,2346,11142269
2022-11-15 18:27,2346,11143078
2022-11-15 21:19,2346,11143218
2022-11-16 01:57,2346,11144354
2022-11-16 03:48,2346,11145092
2022-11-16 06:26,2347,11146057
2022-11-16 09:21,2347,11147051
2022-11-16 12:43,2349,11148881
2022-11-16 15:22,2350,11150280
2022-11-16 18:26,2351,11151643
2022-11-16 21:18,2351,11151714
2022-11-17 01:56,2351,11152409
2022-11-17 03:43,2351,11152969
2022-11-17 06:27,2351,11154163
2022-11-17 09:21,2351,11155528
2022-11-17 12:45,2352,11157561
2022-11-17 15:22,2352,11158867
2022-11-17 18:26,2352,11159649
2022-11-17 21:18,2352,11159786
2022-11-18 02:01,2352,11160723
2022-11-18 03:43,2353,11161263
2022-11-18 06:27,2353,11161993
2022-11-18 09:21,2361,11163631
2022-11-18 12:40,2364,11165389
2022-11-18 15:22,2369,11166560
2022-11-18 18:28,2375,11167483
2022-11-18 21:18,2377,11167787
2022-11-19 01:53,2380,11169183
2022-11-19 03:41,2381,11169697
2022-11-19 06:26,2384,11170872
2022-11-19 09:19,2386,11171967
2022-11-19 12:37,2390,11173606
2022-11-19 15:21,2391,11175083
2022-11-19 18:25,2392,11175860
2022-11-19 21:18,2393,11176212
2022-11-20 02:01,2396,11176970
2022-11-20 03:46,2396,11177641
2022-11-20 06:26,2398,11178530
2022-11-20 09:19,2398,11179766
2022-11-20 12:38,2403,11181198
2022-11-20 15:20,2405,11182722
2022-11-20 18:25,2406,11183270
2022-11-20 21:18,2406,11183410
2022-11-21 01:57,2408,11184244
2022-11-21 07:13,2410,11185908
2022-11-21 09:22,2411,11187069
2022-11-21 13:51,2413,11188843
2022-11-21 15:23,2414,11189225
2022-11-21 18:27,2414,11189888
2022-11-21 21:21,2414,11190129
2022-11-22 01:59,2414,11191026
2022-11-22 03:40,2414,11191601
2022-11-22 06:27,2414,11192861
2022-11-22 09:21,2417,11194142
2022-11-22 12:43,2418,11195757
2022-11-22 15:23,2419,11197357
2022-11-22 18:26,2420,11197959
2022-11-22 21:17,2419,11198308
2022-11-23 01:46,2421,11198892
2022-11-23 03:34,2422,11199622
2022-11-23 06:25,2424,11200932
2022-11-23 09:19,2425,11202174
2022-11-23 12:40,2426,11204218
2022-11-23 15:21,2429,11206036
2022-11-23 18:24,2430,11207283
2022-11-23 21:17,2430,11208031
2022-11-24 01:49,2430,11208400
2022-11-24 03:29,2429,11208784
2022-11-24 06:25,2430,11209850
2022-11-24 09:19,2433,11210266
2022-11-24 12:40,2434,11212187
2022-11-24 15:20,2434,11213779
2022-11-24 18:25,2433,11142004
2022-11-24 21:17,2433,11133787
2022-11-25 01:46,2434,11133853
2022-11-25 03:37,2435,11134387
2022-11-25 06:26,2436,11135769
2022-11-25 09:19,2436,11136374
2022-11-25 12:39,2436,11137801
2022-11-25 15:20,2435,11121597
2022-11-25 18:25,2435,11122518
2022-11-25 21:17,2435,11122680
2022-11-26 01:41,2434,11123261
2022-11-26 03:26,2434,11123806
2022-11-26 06:24,2436,11124888
2022-11-26 09:18,2436,11125281
2022-11-26 12:35,2436,11127800
2022-11-26 15:19,2437,11128725
2022-11-26 18:23,2438,11129674
2022-11-26 21:17,2438,11130005
2022-11-27 01:51,2438,11130478
2022-11-27 03:40,2438,11130726
2022-11-27 06:24,2439,11131922
2022-11-27 09:18,2438,11131604
2022-11-27 12:35,2439,11133127
2022-11-27 15:19,2439,11133967
2022-11-27 18:23,2441,11134836
2022-11-27 21:17,2441,11135570
2022-11-28 01:44,2441,11136003
2022-11-28 03:31,2441,11136416
2022-11-28 06:26,2441,11137281
2022-11-28 09:20,2443,11138477
2022-11-28 12:38,2445,11140103
2022-11-28 15:18,2446,11140792
2022-11-28 18:25,2446,11142038
2022-11-28 21:18,2446,11142215
2022-11-29 01:44,2446,11142620
2022-11-29 03:30,2446,11143090
2022-11-29 06:26,2448,11143971
2022-11-29 09:19,2448,11144944
2022-11-29 12:39,2449,11146275
2022-11-29 15:21,2450,11147907
2022-11-29 18:23,2449,11137810
2022-11-29 21:18,2449,11137312
2022-11-30 01:45,2449,11137700
2022-11-30 03:27,2449,11138035
2022-11-30 06:25,2450,11139337
2022-11-30 09:20,2453,11140460
2022-11-30 12:41,2454,11142320
2022-11-30 15:22,2454,11143391
2022-11-30 18:25,2455,11144453
2022-11-30 21:18,2455,11144547
2022-12-01 01:56,2454,11144953
2022-12-01 03:38,2455,11145354
2022-12-01 06:26,2455,11146442
2022-12-01 09:20,2456,11146978
2022-12-01 12:42,2456,11148311
2022-12-01 15:21,2456,11149144
2022-12-01 18:25,2456,11149477
2022-12-01 21:15,2456,11149725
2022-12-02 01:37,2456,11150314
2022-12-02 03:24,2456,11150528
2022-12-02 06:24,2456,11151136
2022-12-02 09:18,2457,11151778
2022-12-02 12:35,2456,11152895
2022-12-02 15:17,2456,11154336
2022-12-02 18:22,2456,11154691
2022-12-02 21:16,2456,11154979
2022-12-03 01:27,2456,11155321
2022-12-03 03:20,2456,11156019
2022-12-03 06:22,2457,11157360
2022-12-03 09:17,2458,11157934
2022-12-03 12:33,2457,11159243
2022-12-03 15:18,2457,11160162
2022-12-03 18:22,2458,11161863
2022-12-03 21:15,2458,11162222
2022-12-04 01:39,2458,11162677
2022-12-04 03:20,2459,11163263
2022-12-04 06:22,2459,11164229
2022-12-04 09:17,2460,11164682
2022-12-04 12:35,2461,11165585
2022-12-04 15:18,2461,11166228
2022-12-04 18:27,2461,11167603
2022-12-04 21:16,2461,11167768
2022-12-05 01:38,2461,11168306
2022-12-05 03:20,2461,11168980
2022-12-05 06:24,2461,11169580
2022-12-05 09:19,2461,11170356
2022-12-05 12:37,2462,11171972
2022-12-05 15:20,2461,11171051
2022-12-05 18:23,2461,11171812
2022-12-05 21:17,2461,11172189
2022-12-06 01:35,2461,11172558
2022-12-06 03:41,2461,11172969
2022-12-06 06:24,2461,11173954
2022-12-06 09:18,2461,11174324
2022-12-06 12:38,2462,11175870
2022-12-06 15:20,2462,11176879
2022-12-06 18:38,2462,11177093
2022-12-06 21:16,2462,11177323
2022-12-07 01:41,2462,11177838
2022-12-07 03:24,2462,11178048
2022-12-07 09:18,2462,11179955
2022-12-07 12:36,2464,11181704
2022-12-07 15:20,2465,11181085
2022-12-07 18:24,2466,11181367
2022-12-07 21:17,2467,11181559
2022-12-08 01:37,2467,11182270
2022-12-08 03:21,2467,11182406
2022-12-08 06:25,2467,11183170
2022-12-08 09:18,2463,11183942
2022-12-08 12:36,2464,11184991
2022-12-08 15:19,2464,11185510
