updated_at,users,statuses
2022-11-21 09:22,34,3719
2022-11-21 13:51,36,3726
2022-11-21 15:23,36,3729
2022-11-21 18:27,38,3753
2022-11-21 21:21,41,3763
2022-11-22 01:59,43,3782
2022-11-22 03:40,43,3783
2022-11-22 06:27,44,3783
2022-11-22 09:21,44,3786
2022-11-22 12:43,46,3788
2022-11-22 15:23,46,3790
2022-11-22 18:26,47,3797
2022-11-22 21:17,47,3803
2022-11-23 01:46,48,3827
2022-11-23 03:34,48,3828
2022-11-23 06:25,48,3829
2022-11-23 09:19,49,3835
2022-11-23 12:40,49,3839
2022-11-23 15:21,49,3846
2022-11-23 18:24,49,3863
2022-11-23 21:17,49,3874
2022-11-24 01:49,49,3877
2022-11-24 03:29,49,3877
2022-11-24 06:25,49,3878
2022-11-24 09:19,49,3887
2022-11-24 12:40,49,3891
2022-11-24 15:20,49,3901
2022-11-24 18:25,49,3916
2022-11-24 21:17,49,3921
2022-11-25 01:46,49,3932
2022-11-25 03:37,49,3932
2022-11-25 06:26,49,3932
2022-11-25 09:19,49,3946
2022-11-25 12:39,49,3953
2022-11-25 15:20,49,3961
2022-11-25 18:25,49,3974
2022-11-25 21:17,49,3989
2022-11-26 01:41,49,4006
2022-11-26 03:26,49,4007
2022-11-26 06:24,49,4007
2022-11-26 09:18,49,4009
2022-11-26 12:35,49,4020
2022-11-26 15:19,51,4044
2022-11-26 18:23,51,4047
2022-11-26 21:17,52,4066
2022-11-27 01:51,57,4083
2022-11-27 03:40,57,4083
2022-11-27 06:24,57,4083
2022-11-27 09:18,57,4083
2022-11-27 12:35,58,4093
2022-11-27 15:19,58,4112
2022-11-27 18:23,58,4131
2022-11-27 21:17,59,4138
2022-11-28 01:44,61,4155
2022-11-28 03:31,61,4156
2022-11-28 06:26,61,4156
2022-11-28 09:20,61,4159
2022-11-28 12:38,62,4162
2022-11-28 15:18,62,4169
2022-11-28 18:25,62,4174
2022-11-28 21:18,62,4182
2022-11-29 01:44,62,4187
2022-11-29 03:30,62,4187
2022-11-29 06:26,62,4187
2022-11-29 09:19,62,4189
2022-11-29 12:39,62,4192
2022-11-29 15:21,62,4202
2022-11-29 18:23,62,4209
2022-11-29 21:18,62,4215
2022-11-30 01:45,62,4223
2022-11-30 03:27,63,4228
2022-11-30 06:25,63,4228
2022-11-30 09:20,63,4231
2022-11-30 12:41,63,4233
2022-11-30 15:22,63,4248
2022-11-30 18:25,63,4256
2022-11-30 21:18,63,4262
2022-12-01 01:56,63,4275
2022-12-01 03:38,63,4275
2022-12-01 06:26,63,4277
2022-12-01 09:20,63,4278
2022-12-01 12:42,63,4288
2022-12-01 15:21,63,4294
2022-12-01 18:25,63,4300
2022-12-01 21:15,63,4308
2022-12-02 01:37,63,4330
2022-12-02 03:24,63,4331
2022-12-02 06:24,63,4331
2022-12-02 09:18,63,4333
2022-12-02 12:35,63,4341
2022-12-02 15:17,64,4349
2022-12-02 18:22,64,4357
2022-12-02 21:16,64,4358
2022-12-03 01:27,64,4364
2022-12-03 03:20,64,4372
2022-12-03 06:22,65,4378
2022-12-03 09:17,65,4382
2022-12-03 12:33,65,4386
2022-12-03 15:18,65,4404
2022-12-03 18:22,65,4412
2022-12-03 21:15,65,4427
2022-12-04 01:39,65,4435
2022-12-04 03:20,65,4436
2022-12-04 06:22,65,4436
2022-12-04 09:17,65,4436
2022-12-04 12:35,65,4442
2022-12-04 15:18,65,4443
2022-12-04 18:27,65,4446
2022-12-04 21:16,65,4470
2022-12-05 01:38,65,4484
2022-12-05 03:20,65,4485
2022-12-05 06:24,65,4487
2022-12-05 09:19,65,4494
2022-12-05 12:37,65,4499
2022-12-05 15:20,66,4506
2022-12-05 18:23,66,4512
2022-12-05 21:17,66,4512
2022-12-06 01:35,66,4521
2022-12-06 03:41,66,4522
2022-12-06 06:24,66,4522
2022-12-06 09:18,66,4537
2022-12-06 12:38,66,4547
2022-12-06 15:20,66,4555
2022-12-06 18:38,66,4559
2022-12-06 21:16,66,4576
2022-12-07 01:41,67,4582
2022-12-07 03:24,67,4582
2022-12-07 09:18,67,4588
2022-12-07 12:36,67,4603
2022-12-07 15:20,67,4606
2022-12-07 18:24,67,4612
2022-12-07 21:17,67,4622
2022-12-08 01:37,67,4631
2022-12-08 03:21,67,4632
2022-12-08 06:25,67,4635
2022-12-08 09:18,67,4640
2022-12-08 12:36,68,4650
2022-12-08 15:19,68,4656
2022-12-08 18:23,68,4659
2022-12-08 21:17,68,4665
2022-12-09 01:40,68,4675
2022-12-09 03:22,68,4675
2022-12-09 06:23,68,4677
2022-12-09 09:18,68,4685
2022-12-09 12:35,68,4690
2022-12-09 15:18,68,4697
2022-12-09 18:45,68,4701
2022-12-09 21:17,68,4714
2022-12-10 01:34,68,4731
2022-12-10 03:20,68,4731
2022-12-10 06:23,68,4731
2022-12-10 09:17,68,4735
2022-12-10 12:33,68,4743
2022-12-10 15:18,68,4753
2022-12-10 18:22,68,4763
2022-12-10 21:31,68,4778
2022-12-11 01:44,69,4787
2022-12-11 03:24,69,4788
2022-12-11 06:23,69,4791
2022-12-11 09:17,69,4792
2022-12-11 12:34,69,4799
2022-12-11 15:19,69,4804
2022-12-11 19:14,70,4808
2022-12-11 21:16,70,4808
2022-12-12 01:40,70,4816
2022-12-12 03:24,70,4816
2022-12-12 06:24,70,4819
2022-12-12 09:19,70,4821
2022-12-12 12:37,70,4835
2022-12-12 15:20,70,4843
2022-12-12 18:24,70,4850
2022-12-12 21:17,70,4857
2022-12-13 01:43,70,4876
2022-12-13 03:27,70,4876
2022-12-13 06:25,70,4876
2022-12-13 09:19,70,4878
2022-12-13 12:37,70,4890
2022-12-13 15:24,70,4899
2022-12-13 18:23,70,4912
2022-12-13 21:17,70,4917
2022-12-14 01:40,70,4925
2022-12-14 03:23,70,4926
2022-12-14 06:24,70,4926
2022-12-14 09:18,70,4933
2022-12-14 12:37,70,4939
2022-12-14 15:20,70,4945
2022-12-14 18:23,70,4952
2022-12-14 21:17,70,4958
2022-12-15 01:41,70,4965
2022-12-15 03:24,70,4966
2022-12-15 06:24,70,4967
2022-12-15 09:19,70,4970
2022-12-15 12:36,69,4977
2022-12-15 15:20,69,4980
2022-12-15 18:21,70,4993
2022-12-15 21:15,70,5001
2022-12-16 01:26,70,5001
2022-12-16 09:17,70,5005
2022-12-16 12:33,70,5016
2022-12-16 15:20,70,5018
2022-12-16 18:22,70,5031
2022-12-16 21:16,71,5038
2022-12-17 01:24,71,5046
2022-12-17 03:19,71,5046
2022-12-17 06:21,71,5046
2022-12-17 09:16,71,5048
2022-12-17 12:31,71,5051
2022-12-17 15:17,71,5052
2022-12-17 18:20,71,5058
2022-12-17 21:14,71,5062
2022-12-18 01:27,71,5067
2022-12-18 03:19,71,5070
2022-12-18 06:21,71,5070
2022-12-18 09:16,71,5073
2022-12-18 12:32,71,5084
2022-12-18 15:17,71,5092
2022-12-18 18:20,71,5101
2022-12-18 21:14,71,5110
2022-12-19 01:24,72,5133
2022-12-19 03:19,72,5135
2022-12-19 06:23,72,5136
2022-12-19 09:18,72,5143
2022-12-20 01:28,72,5182
2022-12-20 03:19,72,5183
2022-12-20 06:24,72,5183
2022-12-20 09:18,72,5186
2022-12-20 12:35,72,5189
2022-12-20 15:20,73,5193
2022-12-20 18:22,73,5197
2022-12-20 21:16,73,5200
2022-12-21 01:25,73,5203
2022-12-21 03:20,73,5204
2022-12-21 12:18,73,5209
2022-12-21 12:35,73,5209
2022-12-21 15:20,73,5211
2022-12-21 18:22,73,5235
2022-12-21 21:16,73,5237
2022-12-22 01:32,73,5246
2022-12-22 03:19,73,5253
2022-12-22 06:23,73,5254
2022-12-22 09:17,73,5255
2022-12-22 12:35,73,5268
2022-12-22 15:20,73,5278
2022-12-22 18:23,73,5284
2022-12-22 21:16,73,5287
2022-12-23 01:27,73,5309
2022-12-23 03:20,73,5316
2022-12-23 06:23,73,5318
2022-12-23 09:17,73,5318
2022-12-23 12:34,73,5329
2022-12-23 15:18,73,5333
2022-12-23 18:22,73,5347
2022-12-23 21:15,73,5360
2022-12-24 01:21,73,5373
2022-12-24 03:19,73,5378
2022-12-24 06:21,73,5384
2022-12-24 09:16,73,5384
2022-12-24 12:31,73,5394
2022-12-24 15:17,73,5405
2022-12-24 18:21,73,5436
2022-12-24 21:15,73,5438
2022-12-25 01:37,73,5455
2022-12-25 03:19,73,5458
2022-12-25 06:21,73,5459
2022-12-25 09:16,73,5460
2022-12-25 12:32,73,5473
2022-12-25 15:17,73,5480
2022-12-25 18:21,73,5484
2022-12-25 21:15,73,5500
2022-12-26 01:33,73,5520
2022-12-26 03:20,73,5526
2022-12-26 06:23,73,5527
2022-12-26 09:17,73,5528
2022-12-26 12:33,73,5531
2022-12-26 15:18,73,5534
2022-12-26 18:21,73,5546
2022-12-26 21:15,73,5553
2022-12-27 01:26,73,5574
2022-12-27 03:19,73,5580
2022-12-27 06:23,73,5580
2022-12-27 09:17,73,5581
2022-12-27 12:34,73,5593
2022-12-27 15:18,73,5605
2022-12-27 18:22,73,5614
2022-12-27 21:15,73,5622
2022-12-28 01:26,73,5638
2022-12-28 03:20,73,5638
2022-12-28 06:23,73,5638
2022-12-28 09:17,73,5639
2022-12-28 12:33,74,5644
2022-12-28 15:18,74,5651
2022-12-28 18:22,74,5659
2022-12-28 21:16,74,5661
2022-12-29 01:34,74,5669
2022-12-29 03:20,74,5669
2022-12-29 06:22,74,5669
2022-12-29 09:17,74,5671
2022-12-29 12:33,74,5674
2022-12-29 18:22,74,5698
2022-12-29 21:16,74,5707
2022-12-30 01:34,74,5713
2022-12-30 03:20,74,5727
2022-12-30 06:23,74,5728
2022-12-30 09:17,74,5729
2022-12-30 12:32,74,5769
2022-12-30 15:18,74,5770
2022-12-30 18:21,74,5779
2022-12-30 21:15,74,5791
2022-12-31 01:26,74,5794
2022-12-31 03:19,73,5794
2022-12-31 06:21,73,5800
2022-12-31 09:16,73,5802
2022-12-31 12:31,73,5814
2022-12-31 15:17,73,5822
2022-12-31 18:21,73,5837
2022-12-31 21:15,73,5843
2023-01-01 01:48,73,5866
2023-01-01 03:24,73,5871
2023-01-01 06:22,73,5873
2023-01-01 09:17,73,5878
2023-01-01 12:33,73,5883
2023-01-01 15:17,73,5889
2023-01-01 18:21,73,5893
2023-01-01 21:15,73,5898
2023-01-02 01:34,73,5898
2023-01-02 03:20,73,5899
2023-01-02 06:23,73,5901
2023-01-02 09:18,73,5902
2023-01-02 12:35,73,5917
2023-01-02 15:19,73,5929
2023-01-02 18:21,73,5943
2023-01-02 21:15,73,5957
2023-01-03 01:27,73,5962
2023-01-03 03:19,73,5963
2023-01-03 06:22,73,5963
2023-01-03 09:18,73,5964
2023-01-03 12:36,73,5968
2023-01-03 15:20,73,5969
2023-01-03 18:21,73,5978
2023-01-03 21:16,75,5979
2023-01-04 01:35,75,5983
