updated_at,users,statuses
2022-11-11 02:04,3,1
2022-11-11 03:56,3,3
2022-11-11 06:32,3,3
2022-11-11 09:22,3,3
2022-11-11 12:51,3,3
2022-11-11 15:25,3,3
2022-11-11 18:29,4,6
2022-11-11 21:20,4,10
2022-11-12 01:59,4,25
2022-11-12 03:54,4,25
2022-11-12 06:27,4,27
2022-11-12 09:21,4,29
2022-11-12 12:39,4,30
2022-11-12 15:23,4,37
2022-11-12 18:26,4,40
2022-11-12 21:19,4,44
2022-11-13 01:59,4,51
2022-11-13 03:55,4,54
2022-11-13 06:27,4,56
2022-11-13 09:21,4,58
2022-11-13 12:41,4,61
2022-11-13 15:22,4,68
2022-11-13 18:26,4,75
2022-11-13 21:19,5,81
2022-11-14 01:58,5,87
2022-11-14 03:58,5,91
2022-11-14 06:29,5,94
2022-11-14 09:23,5,99
2022-11-14 12:53,5,111
2022-11-14 15:25,5,118
2022-11-14 18:27,5,131
2022-11-14 21:21,5,149
2022-11-15 01:56,5,169
2022-11-15 03:47,5,173
2022-11-15 06:26,5,176
2022-11-15 09:21,5,178
2022-11-15 12:44,5,193
2022-11-15 15:23,5,209
2022-11-15 18:27,5,221
2022-11-15 21:19,5,232
2022-11-16 01:57,5,251
2022-11-16 03:48,5,257
2022-11-16 06:26,5,259
2022-11-16 09:21,5,262
2022-11-16 12:43,5,274
2022-11-16 15:22,5,290
2022-11-16 18:26,5,305
2022-11-16 21:18,5,318
2022-11-17 01:56,5,330
2022-11-17 03:43,5,336
2022-11-17 06:27,6,339
2022-11-17 09:21,6,342
2022-11-17 12:45,6,354
2022-11-17 15:22,6,370
2022-11-17 18:26,6,382
2022-11-17 21:18,6,392
2022-11-18 02:01,7,448
2022-11-18 03:43,7,451
2022-11-18 06:27,7,455
2022-11-18 09:21,7,457
2022-11-18 12:40,7,465
2022-11-18 15:22,7,472
2022-11-18 18:28,7,479
2022-11-18 21:18,8,493
2022-11-19 01:53,8,501
2022-11-19 03:41,8,503
2022-11-19 06:26,8,504
2022-11-19 09:19,8,507
2022-11-19 12:37,8,510
2022-11-19 15:21,8,516
2022-11-19 18:25,9,522
2022-11-19 21:18,9,524
2022-11-20 02:01,9,526
2022-11-20 03:46,9,527
2022-11-20 06:26,10,529
2022-11-20 09:19,10,530
2022-11-20 12:38,10,533
2022-11-20 15:20,10,535
2022-11-20 18:25,11,538
2022-11-20 21:18,11,542
2022-11-21 01:57,11,551
2022-11-21 07:13,11,556
2022-11-21 09:22,11,560
2022-11-21 13:51,11,573
2022-11-21 15:23,11,576
2022-11-21 18:27,11,585
2022-11-21 21:21,11,598
2022-11-22 01:59,11,616
2022-11-22 03:40,11,618
2022-11-22 06:27,11,622
2022-11-22 09:21,11,627
2022-11-22 12:43,11,638
2022-11-22 15:23,11,650
2022-11-22 18:26,11,659
2022-11-22 21:17,12,673
2022-11-23 01:46,12,685
2022-11-23 03:34,12,687
2022-11-23 06:25,12,694
2022-11-23 09:19,12,696
2022-11-23 12:40,12,707
2022-11-23 15:21,12,716
2022-11-23 18:24,12,730
2022-11-23 21:17,12,743
2022-11-24 01:49,12,751
2022-11-24 03:29,12,755
2022-11-24 06:25,12,758
2022-11-24 09:19,12,762
2022-11-24 12:40,12,770
2022-11-24 15:20,12,778
2022-11-24 18:25,12,788
2022-11-24 21:17,12,792
2022-11-25 01:46,12,797
2022-11-25 03:37,12,800
2022-11-25 06:26,12,801
2022-11-25 09:19,12,804
2022-11-25 12:39,12,811
2022-11-25 15:20,12,828
2022-11-25 18:25,12,834
2022-11-25 21:17,12,841
2022-11-26 01:41,12,846
2022-11-26 03:26,12,846
2022-11-26 06:24,12,847
2022-11-26 09:18,12,848
2022-11-26 12:35,12,851
2022-11-26 15:19,12,855
2022-11-26 18:23,12,861
2022-11-26 21:17,12,863
2022-11-27 01:51,12,867
2022-11-27 03:40,12,867
2022-11-27 06:24,12,867
2022-11-27 09:18,12,868
2022-11-27 12:35,12,869
2022-11-27 15:19,12,870
2022-11-27 18:23,12,873
2022-11-27 21:17,12,877
2022-11-28 01:44,12,883
2022-11-28 03:31,12,884
2022-11-28 06:26,13,888
2022-11-28 09:20,13,892
2022-11-28 12:38,13,903
2022-11-28 15:18,13,910
2022-11-28 18:25,13,922
2022-11-28 21:18,13,939
2022-11-29 01:44,13,955
2022-11-29 03:30,13,956
2022-11-29 06:26,13,960
2022-11-29 09:19,13,962
2022-11-29 12:39,13,975
2022-11-29 15:21,13,980
2022-11-29 18:23,13,996
2022-11-29 21:18,13,1006
2022-11-30 01:45,13,1022
2022-11-30 03:27,13,1025
2022-11-30 06:25,13,1030
2022-11-30 09:20,13,1035
2022-11-30 12:41,13,1040
2022-11-30 15:22,13,1054
2022-11-30 18:25,13,1068
2022-11-30 21:18,13,1077
2022-12-01 01:56,13,1098
2022-12-01 03:38,13,1099
2022-12-01 06:26,13,1104
2022-12-01 09:20,13,1104
2022-12-01 12:42,13,1112
2022-12-01 15:21,13,1120
2022-12-01 18:25,13,1138
2022-12-01 21:15,13,1147
2022-12-02 01:37,13,1160
2022-12-02 03:24,13,1166
2022-12-02 06:24,13,1169
2022-12-02 09:18,13,1170
2022-12-02 12:35,13,1179
2022-12-02 15:17,13,1190
2022-12-02 18:22,13,1202
2022-12-02 21:16,13,1207
2022-12-03 01:27,13,1221
2022-12-03 03:20,13,1221
2022-12-03 06:22,13,1222
2022-12-03 09:17,13,1223
2022-12-03 12:33,13,1224
2022-12-03 15:18,13,1225
2022-12-03 18:22,13,1230
2022-12-03 21:15,13,1232
2022-12-04 01:39,13,1236
2022-12-04 03:20,13,1236
2022-12-04 06:22,13,1237
2022-12-04 09:17,13,1238
2022-12-04 12:35,13,1241
2022-12-04 15:18,13,1241
2022-12-04 18:27,13,1246
2022-12-04 21:16,13,1250
2022-12-05 01:38,13,1254
2022-12-05 03:20,13,1259
2022-12-05 06:24,13,1261
2022-12-05 09:19,13,1266
2022-12-05 12:37,13,1275
2022-12-05 15:20,13,1282
2022-12-05 18:23,13,1295
2022-12-05 21:17,13,1308
2022-12-06 01:35,13,1320
2022-12-06 03:41,13,1323
2022-12-06 06:24,13,1325
2022-12-06 09:18,13,1332
2022-12-06 12:38,13,1343
2022-12-06 15:20,13,1352
