updated_at,users,statuses
2022-11-21 09:22,5,46
2022-11-21 13:51,5,46
2022-11-21 15:23,5,46
2022-11-21 18:27,5,46
2022-11-21 21:21,5,47
2022-11-22 01:59,5,51
2022-11-22 03:40,5,51
2022-11-22 06:27,5,51
2022-11-22 09:21,5,51
2022-11-22 12:43,5,51
2022-11-22 15:23,5,51
2022-11-22 18:26,5,51
2022-11-22 21:17,5,51
2022-11-23 01:46,5,53
2022-11-23 03:34,5,53
2022-11-23 06:25,5,53
2022-11-23 09:19,5,53
2022-11-23 12:40,5,53
2022-11-23 15:21,5,53
2022-11-23 18:24,5,54
2022-11-23 21:17,5,54
2022-11-24 01:49,5,54
2022-11-24 03:29,5,54
2022-11-24 06:25,5,54
2022-11-24 09:19,5,54
2022-11-24 12:40,5,54
2022-11-24 15:20,5,54
2022-11-24 18:25,5,54
2022-11-24 21:17,5,54
2022-11-25 01:46,5,54
2022-11-25 03:37,5,54
2022-11-25 06:26,5,54
2022-11-25 09:19,5,54
2022-11-25 12:39,5,54
2022-11-25 15:20,5,54
2022-11-25 18:25,5,54
2022-11-25 21:17,5,55
2022-11-26 01:41,5,55
2022-11-26 03:26,5,55
2022-11-26 06:24,5,55
2022-11-26 09:18,5,55
2022-11-26 12:35,5,58
2022-11-26 15:19,5,58
2022-11-26 18:23,5,58
2022-11-26 21:17,5,58
2022-11-27 01:51,5,58
2022-11-27 03:40,5,58
2022-11-27 06:24,5,58
2022-11-27 09:18,5,58
2022-11-27 12:35,5,58
2022-11-27 15:19,5,58
2022-11-27 18:23,5,58
2022-11-27 21:17,5,58
2022-11-28 01:44,5,58
2022-11-28 03:31,5,58
2022-11-28 06:26,5,58
2022-11-28 09:20,5,58
2022-11-28 12:38,5,58
2022-11-28 15:18,5,58
2022-11-28 18:25,5,58
2022-11-28 21:18,5,58
2022-11-29 01:44,5,58
2022-11-29 03:30,5,58
2022-11-29 06:26,5,58
2022-11-29 09:19,5,58
2022-11-29 12:39,5,58
2022-11-29 15:21,5,58
2022-11-29 18:23,5,58
2022-11-29 21:18,5,58
2022-11-30 01:45,5,58
2022-11-30 03:27,5,58
2022-11-30 06:25,5,58
2022-11-30 09:20,5,58
2022-11-30 12:41,5,58
2022-11-30 15:22,5,58
2022-11-30 18:25,5,58
2022-11-30 21:18,5,58
2022-12-01 01:56,5,58
2022-12-01 03:38,5,58
2022-12-01 06:26,5,58
2022-12-01 09:20,5,58
2022-12-01 12:42,5,58
2022-12-01 15:21,5,58
2022-12-01 18:25,5,58
2022-12-01 21:15,5,58
2022-12-02 01:37,5,59
2022-12-02 03:24,5,59
2022-12-02 06:24,5,59
2022-12-02 09:18,5,59
2022-12-02 12:35,5,61
2022-12-02 15:17,5,61
2022-12-02 18:22,5,61
2022-12-02 21:16,5,61
2022-12-03 01:27,5,61
2022-12-03 03:20,5,61
2022-12-03 06:22,5,61
2022-12-03 09:17,5,61
2022-12-03 12:33,5,61
2022-12-03 15:18,5,61
2022-12-03 18:22,5,61
2022-12-03 21:15,5,61
2022-12-04 01:39,5,61
2022-12-04 03:20,5,61
2022-12-04 06:22,5,61
2022-12-04 09:17,5,61
2022-12-04 12:35,5,65
2022-12-04 15:18,6,66
2022-12-04 18:27,6,66
2022-12-04 21:16,7,71
2022-12-05 01:38,6,69
2022-12-05 03:20,6,69
2022-12-05 06:24,6,69
2022-12-05 09:19,6,69
2022-12-05 12:37,6,69
2022-12-05 15:20,6,69
2022-12-05 18:23,6,69
2022-12-05 21:17,6,69
2022-12-06 01:35,6,69
2022-12-06 03:41,6,69
2022-12-06 06:24,6,69
2022-12-06 09:18,6,69
2022-12-06 12:38,6,69
2022-12-06 15:20,6,69
2022-12-06 18:38,6,74
2022-12-06 21:16,6,74
2022-12-07 01:41,6,74
2022-12-07 03:24,6,74
2022-12-07 09:18,6,75
2022-12-07 12:36,6,75
2022-12-07 15:20,6,75
2022-12-07 18:24,6,75
2022-12-07 21:17,6,76
2022-12-08 01:37,6,76
2022-12-08 03:21,6,76
2022-12-08 06:25,6,76
2022-12-08 09:18,6,76
2022-12-08 12:36,6,76
2022-12-08 15:19,6,76
2022-12-08 18:23,6,76
2022-12-08 21:17,6,78
2022-12-09 01:40,6,79
2022-12-09 03:22,6,79
2022-12-09 06:23,6,79
2022-12-09 09:18,6,84
2022-12-09 12:35,6,87
2022-12-09 15:18,6,87
2022-12-09 18:45,6,90
2022-12-09 21:17,6,90
2022-12-10 01:34,6,91
2022-12-10 03:20,6,91
2022-12-10 06:23,6,91
2022-12-10 09:17,6,91
2022-12-10 12:33,6,91
2022-12-10 15:18,6,91
2022-12-10 18:22,6,91
2022-12-10 21:31,6,91
2022-12-11 01:44,6,95
2022-12-11 03:24,6,95
2022-12-11 06:23,6,95
2022-12-11 09:17,6,95
2022-12-11 12:34,6,99
2022-12-11 15:19,6,100
2022-12-11 19:14,6,101
2022-12-11 21:16,6,101
2022-12-12 01:40,6,101
2022-12-12 03:24,6,101
2022-12-12 06:24,6,101
2022-12-12 09:19,6,101
2022-12-12 12:37,6,101
2022-12-12 15:20,6,101
2022-12-12 18:24,6,101
2022-12-12 21:17,6,103
2022-12-13 01:43,6,103
2022-12-13 03:27,6,103
2022-12-13 06:25,6,103
2022-12-13 09:19,6,103
2022-12-13 15:24,6,106
2022-12-13 18:23,6,106
2022-12-13 21:17,6,106
2022-12-14 01:40,6,106
2022-12-14 03:23,6,106
2022-12-14 06:24,6,106
2022-12-14 09:18,6,106
2022-12-14 12:37,6,106
2022-12-14 15:20,6,106
2022-12-14 18:23,6,106
2022-12-14 21:17,6,106
2022-12-15 01:41,6,106
2022-12-15 03:24,6,106
2022-12-15 06:24,6,106
2022-12-15 09:19,6,106
2022-12-15 12:36,6,106
2022-12-15 15:20,6,106
2022-12-15 18:21,6,106
2022-12-15 21:15,6,106
2022-12-16 01:26,6,107
2022-12-16 12:33,6,109
2022-12-16 15:20,7,109
2022-12-16 18:22,7,111
2022-12-16 21:16,7,112
2022-12-17 01:24,7,112
2022-12-17 03:19,7,112
2022-12-17 06:21,7,112
2022-12-17 09:16,7,115
2022-12-17 12:31,7,116
2022-12-17 15:17,7,117
2022-12-17 18:20,7,117
2022-12-17 21:14,7,117
2022-12-18 01:27,7,117
2022-12-18 03:19,7,117
2022-12-18 06:21,7,117
2022-12-18 09:16,7,118
2022-12-18 12:32,7,118
2022-12-18 15:17,7,118
2022-12-18 18:20,7,119
2022-12-18 21:14,7,121
2022-12-19 01:24,7,124
2022-12-19 03:19,7,124
2022-12-19 06:23,7,124
2022-12-19 09:18,7,125
2022-12-20 01:28,7,130
2022-12-20 03:19,7,130
2022-12-20 06:24,7,130
2022-12-20 09:18,7,130
2022-12-20 12:35,7,130
2022-12-20 15:20,7,130
2022-12-20 18:22,7,130
2022-12-20 21:16,7,134
2022-12-21 01:25,7,138
2022-12-21 03:20,7,138
2022-12-21 12:18,7,144
2022-12-21 12:35,7,144
2022-12-21 15:20,7,144
2022-12-21 18:22,7,144
2022-12-21 21:16,7,144
2022-12-22 01:32,7,146
2022-12-22 03:19,7,146
2022-12-22 06:23,7,146
2022-12-22 09:17,7,146
2022-12-22 12:35,7,146
2022-12-22 15:20,7,146
2022-12-22 18:23,7,146
2022-12-22 21:16,7,146
2022-12-23 01:27,7,146
2022-12-23 03:20,7,146
2022-12-23 06:23,7,146
2022-12-23 09:17,7,146
2022-12-23 12:34,7,149
2022-12-23 15:18,7,150
