updated_at,users,statuses
2022-11-21 07:13,687,3383
2022-11-21 09:22,687,3383
2022-11-21 13:51,687,3383
2022-11-21 15:23,688,3383
2022-11-21 18:27,688,3383
2022-11-21 21:21,688,3383
2022-11-22 01:59,688,3383
2022-11-22 03:40,689,3388
2022-11-22 06:27,689,3388
2022-11-22 09:21,689,3388
2022-11-22 12:43,689,3390
2022-11-22 15:23,689,3392
2022-11-22 18:26,689,3394
2022-11-22 21:17,690,3396
2022-11-23 01:46,691,3397
2022-11-23 03:34,691,3399
2022-11-23 06:25,691,3399
2022-11-23 09:19,691,3399
2022-11-23 12:40,694,3402
2022-11-23 15:21,695,3404
2022-11-23 18:24,696,3411
2022-11-23 21:17,699,3414
2022-11-24 01:49,698,3414
2022-11-24 03:29,698,3414
2022-11-24 06:25,699,3417
2022-11-24 09:19,700,3419
2022-11-24 12:40,700,3419
2022-11-24 15:20,701,3420
2022-11-24 18:25,702,3420
2022-11-24 21:17,703,3423
2022-11-25 01:46,703,3431
2022-11-25 03:37,703,3431
2022-11-25 06:26,704,3432
2022-11-25 09:19,704,3432
2022-11-25 12:39,706,3439
2022-11-25 15:20,706,3459
2022-11-25 18:25,706,3459
2022-11-25 21:17,706,3458
2022-11-26 01:41,706,3459
2022-11-26 03:26,706,3459
2022-11-26 06:24,706,3459
2022-11-26 09:18,706,3459
2022-11-26 12:35,706,3459
2022-11-26 15:19,706,3459
2022-11-26 18:23,706,3459
2022-11-26 21:17,706,3459
2022-11-27 01:51,707,3460
2022-11-27 03:40,707,3460
2022-11-27 06:24,707,3460
2022-11-27 09:18,707,3462
2022-11-27 12:35,707,3468
2022-11-27 15:19,707,3468
2022-11-27 18:23,707,3468
2022-11-27 21:17,707,3468
2022-11-28 01:44,707,3468
2022-11-28 03:31,707,3468
2022-11-28 06:26,707,3470
2022-11-28 09:20,707,3470
2022-11-28 12:38,707,3470
2022-11-28 15:18,707,3470
2022-11-28 18:25,707,3470
2022-11-28 21:18,707,3470
2022-11-29 01:44,707,3471
2022-11-29 03:30,707,3471
2022-11-29 06:26,707,3471
2022-11-29 09:19,707,3471
2022-11-29 12:39,707,3471
2022-11-29 15:21,707,3471
2022-11-29 18:23,707,3471
2022-11-29 21:18,707,3471
2022-11-30 01:45,709,3474
2022-11-30 03:27,709,3474
2022-11-30 06:25,709,3474
2022-11-30 09:20,709,3474
2022-11-30 12:41,709,3474
2022-11-30 15:22,709,3474
2022-11-30 18:25,709,3474
2022-11-30 21:18,709,3474
2022-12-01 01:56,710,3474
2022-12-01 03:38,710,3476
2022-12-01 06:26,710,3476
2022-12-01 09:20,710,3477
2022-12-01 12:42,710,3479
2022-12-01 15:21,710,3479
2022-12-01 18:25,710,3481
2022-12-01 21:15,710,3481
2022-12-02 01:37,710,3485
2022-12-02 03:24,710,3485
2022-12-02 06:24,710,3485
2022-12-02 09:18,710,3485
2022-12-02 12:35,710,3486
2022-12-02 15:17,710,3487
2022-12-02 18:22,710,3488
2022-12-02 21:16,710,3488
2022-12-03 01:27,710,3488
2022-12-03 03:20,710,3488
2022-12-03 06:22,710,3488
2022-12-03 09:17,710,3489
2022-12-03 12:33,710,3489
2022-12-03 15:18,710,3489
2022-12-03 18:22,710,3490
2022-12-03 21:15,710,3490
2022-12-04 01:39,710,3490
2022-12-04 03:20,710,3490
2022-12-04 06:22,710,3490
2022-12-04 09:17,710,3490
2022-12-04 12:35,710,3490
2022-12-04 15:18,710,3490
2022-12-04 18:27,710,3491
2022-12-04 21:16,710,3491
2022-12-05 01:38,710,3491
2022-12-05 03:20,710,3491
2022-12-05 06:24,710,3491
2022-12-05 09:19,710,3491
2022-12-05 12:37,710,3491
2022-12-05 15:20,710,3492
2022-12-05 18:23,710,3492
2022-12-05 21:17,710,3492
2022-12-06 01:35,710,3492
2022-12-06 03:41,710,3492
2022-12-06 06:24,710,3492
2022-12-06 09:18,710,3492
2022-12-06 12:38,710,3493
2022-12-06 15:20,710,3493
2022-12-06 18:38,710,3493
2022-12-06 21:16,710,3493
2022-12-07 01:41,710,3493
2022-12-07 03:24,710,3493
2022-12-07 09:18,710,3493
2022-12-07 12:36,710,3493
2022-12-07 15:20,710,3493
2022-12-07 18:24,711,3495
2022-12-07 21:17,711,3495
2022-12-08 01:37,711,3495
2022-12-08 03:21,711,3495
2022-12-08 06:25,711,3495
2022-12-08 09:18,711,3495
2022-12-08 12:36,711,3495
2022-12-08 15:19,711,3496
2022-12-08 18:23,711,3496
2022-12-08 21:17,711,3496
2022-12-09 01:40,711,3496
2022-12-09 03:22,711,3496
2022-12-09 06:23,711,3496
2022-12-09 09:18,711,3497
2022-12-09 12:35,711,3497
2022-12-09 15:18,711,3497
2022-12-09 18:45,711,3497
2022-12-09 21:17,711,3497
2022-12-10 01:34,712,3498
2022-12-10 03:20,712,3498
2022-12-10 06:23,712,3498
2022-12-10 09:17,712,3498
2022-12-10 12:33,712,3498
2022-12-10 15:18,712,3498
2022-12-10 18:22,712,3498
2022-12-10 21:31,712,3499
2022-12-11 01:44,712,3499
2022-12-11 03:24,712,3499
2022-12-11 06:23,712,3499
2022-12-11 09:17,712,3499
2022-12-11 12:34,712,3499
2022-12-11 15:19,712,3500
2022-12-11 19:14,712,3500
2022-12-11 21:16,712,3500
2022-12-12 01:40,712,3500
2022-12-12 03:24,712,3500
2022-12-12 06:24,712,3500
2022-12-12 09:19,712,3500
2022-12-12 12:37,712,3500
2022-12-12 15:20,712,3501
2022-12-12 18:24,712,3501
2022-12-12 21:17,712,3501
2022-12-13 01:43,712,3501
2022-12-13 03:27,712,3501
2022-12-13 06:25,712,3501
2022-12-13 09:19,712,3501
2022-12-13 12:37,712,3501
2022-12-13 15:24,712,3501
2022-12-13 18:23,712,3504
2022-12-13 21:17,712,3504
2022-12-14 01:40,712,3504
2022-12-14 03:23,712,3504
2022-12-14 06:24,712,3504
2022-12-14 09:18,712,3504
