updated_at,users,statuses
2022-11-21 09:22,2,102
2022-11-21 13:51,2,108
2022-11-21 15:23,2,108
2022-11-21 18:27,2,109
2022-11-21 21:21,2,111
2022-11-22 01:59,2,113
2022-11-22 03:40,2,113
2022-11-22 06:27,2,113
2022-11-22 09:21,2,115
2022-11-22 12:43,2,119
2022-11-22 15:23,2,123
2022-11-22 18:26,2,124
2022-11-22 21:17,2,129
2022-11-23 01:46,2,130
2022-11-23 03:34,2,130
2022-11-23 06:25,2,130
2022-11-23 09:19,2,135
2022-11-23 12:40,2,137
2022-11-23 15:21,2,138
2022-11-23 18:24,2,139
2022-11-23 21:17,2,142
2022-11-24 01:49,2,142
2022-11-24 03:29,2,142
2022-11-24 06:25,2,142
2022-11-24 09:19,2,144
2022-11-24 12:40,2,145
2022-11-24 15:20,2,145
2022-11-24 18:25,2,145
2022-11-24 21:17,2,147
2022-11-25 01:46,2,151
2022-11-25 03:37,2,151
2022-11-25 06:26,2,151
2022-11-25 09:19,2,151
2022-11-25 12:39,2,151
2022-11-25 15:20,2,151
2022-11-25 18:25,2,151
2022-11-25 21:17,2,151
2022-11-26 01:41,2,151
2022-11-26 03:26,2,151
2022-11-26 06:24,2,151
2022-11-26 09:18,2,151
2022-11-26 12:35,2,151
2022-11-26 15:19,2,151
2022-11-26 18:23,2,151
2022-11-26 21:17,2,151
2022-11-27 01:51,2,153
2022-11-27 03:40,2,153
2022-11-27 06:24,2,153
2022-11-27 09:18,2,154
2022-11-27 12:35,2,154
2022-11-27 15:19,2,154
2022-11-27 18:23,2,154
2022-11-27 21:17,2,157
2022-11-28 01:44,2,163
2022-11-28 03:31,2,163
2022-11-28 06:26,2,163
2022-11-28 09:20,2,163
2022-11-28 12:38,2,165
2022-11-28 15:18,2,165
2022-11-28 18:25,2,165
2022-11-28 21:18,2,165
2022-11-29 01:44,2,166
2022-11-29 03:30,2,166
2022-11-29 06:26,2,166
2022-11-29 09:19,2,167
2022-11-29 12:39,2,167
2022-11-29 15:21,2,167
2022-11-29 18:23,2,167
2022-11-29 21:18,2,169
2022-11-30 01:45,2,169
2022-11-30 03:27,2,169
2022-11-30 06:25,2,169
2022-11-30 09:20,2,170
2022-11-30 12:41,2,170
2022-11-30 15:22,2,170
2022-11-30 18:25,2,171
2022-11-30 21:18,2,171
2022-12-01 01:56,2,173
2022-12-01 03:38,2,173
2022-12-01 06:26,2,173
2022-12-01 09:20,2,173
2022-12-01 12:42,2,176
2022-12-01 15:21,2,176
2022-12-01 18:25,2,178
