updated_at,users,statuses
2022-11-21 09:22,8,607
2022-11-21 13:51,8,638
2022-11-21 15:23,8,642
2022-11-21 18:27,8,665
2022-11-21 21:21,8,676
2022-11-22 01:59,8,689
2022-11-22 03:40,8,689
2022-11-22 06:27,8,689
2022-11-22 09:21,8,707
2022-11-22 12:43,8,726
2022-11-22 15:23,8,737
2022-11-22 18:26,8,742
2022-11-22 21:17,8,765
2022-11-23 01:46,8,767
2022-11-23 03:34,8,768
2022-11-23 06:25,8,769
2022-11-23 09:19,8,784
2022-11-23 12:40,8,795
2022-11-23 15:21,8,800
2022-11-23 18:24,8,807
2022-11-23 21:17,8,818
2022-11-24 01:49,8,820
2022-11-24 03:29,8,820
2022-11-24 06:25,8,821
2022-11-24 09:19,8,830
2022-11-24 12:40,8,831
2022-11-24 15:20,8,836
2022-11-24 18:25,8,838
2022-11-24 21:17,8,842
2022-11-25 01:46,8,843
2022-11-25 03:37,8,843
2022-11-25 06:26,8,844
2022-11-25 09:19,8,849
2022-11-25 12:39,8,864
2022-11-25 15:20,8,870
2022-11-25 18:25,8,872
2022-11-25 21:17,8,883
2022-11-26 01:41,8,886
2022-11-26 03:26,8,893
2022-11-26 06:24,8,899
2022-11-26 09:18,8,899
2022-11-26 12:35,8,905
2022-11-26 15:19,8,906
2022-11-26 18:23,8,913
2022-11-26 21:17,8,921
2022-11-27 01:51,8,924
2022-11-27 03:40,8,931
2022-11-27 06:24,8,931
2022-11-27 09:18,8,931
2022-11-27 12:35,8,939
2022-11-27 15:19,8,944
2022-11-27 18:23,8,949
2022-11-27 21:17,8,951
2022-11-28 01:44,8,961
2022-11-28 03:31,8,962
2022-11-28 06:26,8,963
2022-11-28 09:20,8,980
2022-11-28 12:38,8,992
2022-11-28 15:18,8,993
2022-11-28 18:25,8,1000
2022-11-28 21:18,8,1007
2022-11-29 01:44,8,1022
2022-11-29 03:30,8,1023
2022-11-29 06:26,8,1024
2022-11-29 09:19,8,1030
2022-11-29 12:39,8,1032
