updated_at,users,statuses
2022-11-21 07:13,31,46132
2022-11-21 09:22,31,46132
2022-11-21 13:51,31,46126
2022-11-21 15:23,31,46125
2022-11-21 18:27,31,46122
2022-11-21 21:21,31,46116
2022-11-22 01:59,31,46109
2022-11-22 03:40,31,46103
2022-11-22 06:27,31,46098
2022-11-22 09:21,31,46094
2022-11-22 12:43,31,46084
2022-11-22 15:23,31,46081
2022-11-22 18:26,31,46081
2022-11-22 21:17,31,46072
2022-11-23 01:46,31,46071
2022-11-23 03:34,31,46066
2022-11-23 06:25,31,46063
2022-11-23 09:19,31,46056
2022-11-23 12:40,31,46054
2022-11-23 15:21,31,46054
2022-11-23 18:24,31,46054
2022-11-23 21:17,31,46047
2022-11-24 01:49,31,46043
2022-11-24 03:29,31,46042
2022-11-24 06:25,31,46042
2022-11-24 09:19,31,46042
2022-11-24 12:40,31,46042
2022-11-24 15:20,31,46042
2022-11-24 18:25,31,46033
2022-11-24 21:17,31,46023
2022-11-25 01:46,31,46021
2022-11-25 03:37,31,46020
2022-11-25 06:26,31,46020
2022-11-25 09:19,31,46020
2022-11-25 12:39,31,46020
2022-11-25 15:20,31,46020
2022-11-25 18:25,31,46020
2022-11-25 21:17,31,46020
2022-11-26 01:41,31,46018
2022-11-26 03:26,31,46016
2022-11-26 06:24,31,46016
2022-11-26 09:18,31,46016
2022-11-26 12:35,31,46017
2022-11-26 15:19,31,46017
2022-11-26 18:23,31,46017
2022-11-26 21:17,31,46017
2022-11-27 01:51,31,46017
2022-11-27 03:40,31,46017
2022-11-27 06:24,31,46017
2022-11-27 09:18,31,46017
2022-11-27 12:35,31,46017
2022-11-27 15:19,31,46019
2022-11-27 18:23,31,46017
2022-11-27 21:17,31,46017
2022-11-28 01:44,31,46017
2022-11-28 03:31,31,46017
2022-11-28 06:26,31,46017
2022-11-28 09:20,31,46017
