updated_at,users,statuses
2022-11-09 18:27,2,415
2022-11-09 21:23,2,418
2022-11-10 02:04,2,418
2022-11-10 03:56,2,418
2022-11-10 06:28,2,418
2022-11-10 09:23,2,418
2022-11-10 12:52,2,418
2022-11-10 15:23,2,418
2022-11-10 18:28,2,419
2022-11-10 21:21,2,419
2022-11-11 02:04,2,419
2022-11-11 03:56,2,419
2022-11-11 06:32,2,422
2022-11-11 09:22,2,422
2022-11-11 12:51,2,422
2022-11-11 15:25,2,424
2022-11-11 18:29,2,430
2022-11-11 21:20,2,432
2022-11-12 01:59,2,433
2022-11-12 03:54,2,433
2022-11-12 06:27,2,433
2022-11-12 09:21,2,433
2022-11-12 12:39,2,433
2022-11-12 15:23,2,433
2022-11-12 18:26,2,434
2022-11-12 21:19,2,446
2022-11-13 01:59,2,446
2022-11-13 03:55,2,446
2022-11-13 06:27,2,446
2022-11-13 09:21,2,446
2022-11-13 12:41,2,446
2022-11-13 15:22,2,446
2022-11-13 18:26,2,446
2022-11-13 21:19,2,448
2022-11-14 01:58,2,448
2022-11-14 03:58,2,448
2022-11-14 06:29,2,449
2022-11-14 09:23,2,449
2022-11-14 12:53,2,449
2022-11-14 15:25,2,450
2022-11-14 18:27,2,450
2022-11-14 21:21,2,450
2022-11-15 01:56,2,450
2022-11-15 03:47,2,450
2022-11-15 06:26,2,451
2022-11-15 09:21,2,451
2022-11-15 12:44,2,451
2022-11-15 15:23,2,451
2022-11-15 18:27,2,451
2022-11-15 21:19,2,462
2022-11-16 01:57,2,462
2022-11-16 03:48,2,462
2022-11-16 06:26,2,462
2022-11-16 09:21,2,462
2022-11-16 12:43,2,462
2022-11-16 15:22,2,468
2022-11-16 18:26,2,470
2022-11-16 21:18,2,470
2022-11-17 01:56,2,470
2022-11-17 03:43,2,470
2022-11-17 06:27,2,471
2022-11-17 09:21,2,471
2022-11-17 12:45,2,471
2022-11-17 15:22,2,471
2022-11-17 18:26,2,471
2022-11-17 21:18,2,486
2022-11-18 02:01,2,486
2022-11-18 03:43,2,486
2022-11-18 06:27,2,488
2022-11-18 09:21,2,488
2022-11-18 12:40,2,488
2022-11-18 15:22,2,488
2022-11-18 18:28,2,488
2022-11-18 21:18,2,518
2022-11-19 01:53,2,518
2022-11-19 03:41,2,518
2022-11-19 06:26,2,518
2022-11-19 09:19,2,518
2022-11-19 12:37,2,525
2022-11-19 15:21,2,525
2022-11-19 18:25,2,525
2022-11-19 21:18,2,530
2022-11-20 02:01,2,530
2022-11-20 03:46,2,530
2022-11-20 06:26,2,530
2022-11-20 09:19,2,530
2022-11-20 12:38,2,530
2022-11-20 15:20,2,530
2022-11-20 18:25,2,530
2022-11-20 21:18,2,535
2022-11-21 01:57,2,535
2022-11-21 07:13,2,536
2022-11-21 09:22,2,536
2022-11-21 13:51,2,536
2022-11-21 15:23,2,536
2022-11-21 18:27,2,537
2022-11-21 21:21,2,538
2022-11-22 01:59,2,538
2022-11-22 03:40,2,538
2022-11-22 06:27,2,538
2022-11-22 09:21,2,538
2022-11-22 12:43,2,538
2022-11-22 15:23,2,538
2022-11-22 18:26,2,555
2022-11-22 21:17,2,557
2022-11-23 01:46,2,557
2022-11-23 03:34,2,557
2022-11-23 06:25,2,560
2022-11-23 09:19,2,560
2022-11-23 12:40,2,560
2022-11-23 15:21,2,561
2022-11-23 18:24,2,561
2022-11-23 21:17,2,572
2022-11-24 01:49,2,579
2022-11-24 03:29,2,579
2022-11-24 06:25,2,579
2022-11-24 09:19,2,579
2022-11-24 12:40,2,579
2022-11-24 15:20,2,579
2022-11-24 18:25,2,581
2022-11-24 21:17,2,583
2022-11-25 01:46,2,583
2022-11-25 03:37,2,583
2022-11-25 06:26,2,583
2022-11-25 09:19,2,588
2022-11-25 12:39,2,588
2022-11-25 15:20,2,588
2022-11-25 18:25,2,590
2022-11-25 21:17,2,611
2022-11-26 06:24,2,611
2022-11-26 09:18,2,611
2022-11-26 12:35,2,611
2022-11-26 15:19,2,612
2022-11-26 18:23,2,645
2022-11-26 21:17,2,659
2022-11-27 01:51,2,659
2022-11-27 03:40,2,659
2022-11-27 06:24,2,659
2022-11-27 09:18,2,659
2022-11-27 12:35,2,670
2022-11-27 15:19,2,681
2022-11-27 18:23,2,684
2022-11-27 21:17,2,691
2022-11-28 01:44,2,691
2022-11-28 03:31,2,691
2022-11-28 06:26,2,691
2022-11-28 09:20,2,692
2022-11-28 12:38,2,692
2022-11-28 15:18,2,692
2022-11-28 18:25,3,699
2022-11-28 21:18,3,718
2022-11-29 01:44,3,718
2022-11-29 03:30,3,718
2022-11-29 06:26,3,718
2022-11-29 09:19,3,718
2022-11-29 12:39,3,718
2022-11-29 15:21,3,718
2022-11-29 18:23,3,718
2022-11-29 21:18,3,730
2022-11-30 01:45,3,730
2022-11-30 03:27,3,730
2022-11-30 06:25,3,730
2022-11-30 09:20,3,731
2022-11-30 12:41,3,731
2022-11-30 15:22,3,731
2022-11-30 18:25,3,731
2022-11-30 21:18,3,749
2022-12-01 01:56,3,749
2022-12-01 03:38,3,749
2022-12-01 06:26,3,749
2022-12-01 09:20,3,749
2022-12-01 12:42,3,756
2022-12-01 15:21,3,758
2022-12-01 18:25,3,759
2022-12-01 21:15,3,762
2022-12-02 01:37,3,762
2022-12-02 03:24,3,762
2022-12-02 06:24,3,762
2022-12-02 09:18,3,762
2022-12-02 12:35,3,762
2022-12-02 15:17,3,762
2022-12-02 18:22,3,772
2022-12-02 21:16,3,767
2022-12-03 01:27,3,767
2022-12-03 03:20,3,767
2022-12-03 06:22,3,767
2022-12-03 09:17,3,767
2022-12-03 12:33,3,774
2022-12-03 15:18,3,783
2022-12-03 18:22,3,784
2022-12-03 21:15,3,785
2022-12-04 01:39,3,785
2022-12-04 03:20,3,785
2022-12-04 06:22,3,785
2022-12-04 09:17,3,785
2022-12-04 12:35,3,792
2022-12-04 15:18,3,796
2022-12-04 18:27,3,797
2022-12-04 21:16,3,798
2022-12-05 01:38,3,798
2022-12-05 03:20,3,798
2022-12-05 06:24,3,803
2022-12-05 09:19,3,803
2022-12-05 12:37,3,803
2022-12-05 15:20,3,803
2022-12-05 18:23,3,804
2022-12-05 21:17,3,808
2022-12-06 01:35,3,811
2022-12-06 03:41,3,811
2022-12-06 06:24,3,811
2022-12-06 09:18,3,811
2022-12-06 12:38,3,811
2022-12-06 15:20,3,811
2022-12-06 18:38,3,812
2022-12-06 21:16,3,812
2022-12-07 01:41,3,813
2022-12-07 03:24,3,813
2022-12-07 09:18,3,813
2022-12-07 12:36,3,813
2022-12-07 15:20,3,814
2022-12-07 18:24,3,814
2022-12-07 21:17,3,819
2022-12-08 01:37,3,821
2022-12-08 03:21,3,821
2022-12-08 06:25,3,821
2022-12-08 09:18,3,821
2022-12-08 12:36,3,821
2022-12-08 15:19,3,821
2022-12-08 18:23,3,821
2022-12-08 21:17,3,821
2022-12-09 01:40,3,821
2022-12-09 03:22,3,821
2022-12-09 06:23,3,821
2022-12-09 09:18,3,821
2022-12-09 12:35,3,821
2022-12-09 15:18,3,821
2022-12-09 18:45,3,823
2022-12-09 21:17,3,829
2022-12-10 01:34,3,834
2022-12-10 03:20,3,834
2022-12-10 06:23,3,834
2022-12-10 09:17,3,837
2022-12-10 12:33,3,837
2022-12-10 15:18,3,838
2022-12-10 18:22,3,838
2022-12-10 21:31,3,852
2022-12-11 01:44,3,852
2022-12-11 03:24,3,852
2022-12-11 06:23,3,852
2022-12-11 09:17,3,852
2022-12-11 12:34,3,865
2022-12-11 15:19,3,874
2022-12-11 19:14,3,874
2022-12-11 21:16,3,878
2022-12-12 01:40,3,878
2022-12-12 03:24,3,878
2022-12-12 06:24,3,878
2022-12-12 09:19,3,878
2022-12-12 12:37,3,879
2022-12-12 15:20,3,881
2022-12-12 18:24,3,881
2022-12-12 21:17,3,881
2022-12-13 01:43,3,881
2022-12-13 03:27,3,881
2022-12-13 06:25,3,881
2022-12-13 09:19,3,882
2022-12-13 12:37,3,888
2022-12-13 15:24,3,888
2022-12-13 18:23,3,888
2022-12-13 21:17,3,897
2022-12-14 01:40,3,900
2022-12-14 03:23,3,900
2022-12-14 06:24,3,900
