updated_at,users,statuses
2022-11-21 09:22,174,850
2022-11-21 13:51,178,936
2022-11-21 15:23,180,947
2022-11-21 18:27,182,968
2022-11-21 21:21,185,987
2022-11-22 01:59,186,996
2022-11-22 03:40,186,996
2022-11-22 06:27,186,999
2022-11-22 09:21,190,1031
2022-11-22 12:43,194,1060
2022-11-22 15:23,198,1072
2022-11-22 18:26,202,1101
2022-11-22 21:17,202,1123
2022-11-23 01:46,203,1147
2022-11-23 03:34,203,1147
2022-11-23 06:25,203,1149
2022-11-23 09:19,203,1164
2022-11-23 12:40,203,1179
2022-11-23 15:21,204,1200
2022-11-23 18:24,206,1214
2022-11-23 21:17,206,1226
2022-11-24 01:49,206,1234
2022-11-24 03:29,206,1234
2022-11-24 06:25,206,1236
2022-11-24 09:19,207,1253
2022-11-24 12:40,208,1284
2022-11-24 15:20,208,1317
2022-11-24 18:25,211,1351
2022-11-24 21:17,210,1370
2022-11-25 01:46,210,1381
2022-11-25 03:37,210,1381
2022-11-25 06:26,210,1386
2022-11-25 09:19,212,1409
2022-11-25 12:39,213,1438
2022-11-25 15:20,216,1458
2022-11-25 18:25,216,1478
2022-11-25 21:17,216,1496
2022-11-26 01:41,216,1508
2022-11-26 03:26,216,1508
2022-11-26 06:24,216,1508
2022-11-26 09:18,217,1522
2022-11-26 12:35,217,1532
2022-11-26 15:19,217,1541
2022-11-26 18:23,217,1555
2022-11-26 21:17,217,1567
2022-11-27 01:51,219,1579
2022-11-27 03:40,219,1579
2022-11-27 06:24,219,1581
2022-11-27 09:18,219,1588
2022-11-27 12:35,219,1605
2022-11-27 15:19,219,1619
2022-11-27 18:23,220,1623
2022-11-27 21:17,222,1636
2022-11-28 01:44,222,1636
2022-11-28 03:31,222,1636
2022-11-28 06:26,222,1641
2022-11-28 09:20,223,1659
2022-11-28 12:38,223,1676
2022-11-28 15:18,223,1686
2022-11-28 18:25,224,1695
2022-11-28 21:18,224,1718
2022-11-29 01:44,224,1734
2022-11-29 03:30,224,1734
2022-11-29 06:26,224,1739
2022-11-29 09:19,224,1757
2022-11-29 12:39,224,1797
2022-11-29 15:21,225,1812
2022-11-29 18:23,225,1837
2022-11-29 21:18,225,1840
2022-11-30 01:45,225,1845
2022-11-30 03:27,225,1845
2022-11-30 06:25,225,1849
2022-11-30 09:20,225,1871
2022-11-30 12:41,225,1883
2022-11-30 15:22,226,1895
2022-11-30 18:25,226,1911
2022-11-30 21:18,226,1948
2022-12-01 01:56,226,1958
2022-12-01 03:38,226,1959
2022-12-01 06:26,226,1963
2022-12-01 09:20,226,1983
2022-12-01 12:42,226,2004
2022-12-01 15:21,227,2034
2022-12-01 18:25,227,2047
2022-12-01 21:15,228,2056
2022-12-02 01:37,228,2064
2022-12-02 03:24,228,2064
2022-12-02 06:24,228,2066
2022-12-02 09:18,228,2087
2022-12-02 12:35,230,2116
2022-12-02 15:17,230,2123
2022-12-02 18:22,232,2132
2022-12-02 21:16,232,2133
2022-12-03 01:27,232,2146
2022-12-03 03:20,232,2146
2022-12-03 06:22,232,2146
2022-12-03 09:17,232,2146
2022-12-03 12:33,232,2156
2022-12-03 15:18,232,2170
2022-12-03 18:22,232,2175
2022-12-03 21:15,232,2185
2022-12-04 01:39,232,2195
2022-12-04 03:20,233,2195
2022-12-04 06:22,233,2195
2022-12-04 09:17,233,2196
2022-12-04 12:35,233,2199
2022-12-04 15:18,233,2205
2022-12-04 18:27,234,2218
2022-12-04 21:16,234,2224
2022-12-05 01:38,234,2238
2022-12-05 03:20,234,2238
2022-12-05 06:24,234,2243
2022-12-05 09:19,234,2246
2022-12-05 12:37,234,2263
2022-12-05 15:20,234,2282
2022-12-05 18:23,234,2289
2022-12-05 21:17,234,2298
2022-12-06 01:35,234,2302
2022-12-06 03:41,235,2304
2022-12-06 06:24,235,2312
2022-12-06 09:18,235,2330
2022-12-06 12:38,235,2348
2022-12-06 15:20,235,2371
2022-12-06 18:38,235,2375
2022-12-06 21:16,235,2382
2022-12-07 01:41,235,2388
2022-12-07 03:24,235,2388
2022-12-07 09:18,235,2401
2022-12-07 12:36,236,2415
2022-12-07 15:20,237,2429
2022-12-07 18:24,238,2449
2022-12-07 21:17,239,2457
2022-12-08 01:37,239,2463
2022-12-08 03:21,239,2463
2022-12-08 06:25,239,2465
2022-12-08 09:18,239,2470
2022-12-08 12:36,239,2477
2022-12-08 15:19,243,2484
2022-12-08 18:23,246,2498
2022-12-08 21:17,246,2509
2022-12-09 01:40,246,2509
2022-12-09 03:22,246,2510
2022-12-09 06:23,246,2510
2022-12-09 09:18,248,2538
2022-12-09 12:35,250,2560
2022-12-09 15:18,250,2564
2022-12-09 18:45,252,2576
2022-12-09 21:17,253,2587
2022-12-10 01:34,253,2592
2022-12-10 03:20,253,2592
2022-12-10 06:23,253,2592
2022-12-10 09:17,253,2598
2022-12-10 12:33,253,2616
2022-12-10 15:18,253,2621
2022-12-10 18:22,253,2626
2022-12-10 21:31,253,2629
2022-12-11 01:44,254,2634
2022-12-11 03:24,254,2634
2022-12-11 06:23,254,2634
2022-12-11 09:17,254,2637
2022-12-11 12:34,254,2641
2022-12-11 15:19,254,2648
2022-12-11 19:14,254,2652
2022-12-11 21:16,254,2656
2022-12-12 01:40,254,2664
2022-12-12 03:24,254,2664
2022-12-12 06:24,254,2668
2022-12-12 09:19,255,2683
2022-12-12 12:37,256,2702
2022-12-12 15:20,257,2720
2022-12-12 18:24,257,2735
