updated_at,users,statuses
2022-11-04 10:13,17,457700
2022-11-04 13:09,17,457711
2022-11-04 15:25,17,457732
2022-11-04 18:28,17,457747
2022-11-04 21:19,17,457747
2022-11-05 02:03,17,457780
2022-11-05 03:49,17,457790
2022-11-05 06:27,17,457822
2022-11-05 09:21,17,457836
2022-11-05 12:38,17,457846
2022-11-05 15:21,17,457851
2022-11-05 18:26,17,457857
2022-11-05 21:18,17,457852
2022-11-06 02:06,17,457857
2022-11-06 03:50,17,457874
2022-11-06 06:27,17,457877
2022-11-06 09:22,17,457875
2022-11-06 12:40,17,457886
2022-11-06 15:24,17,457888
2022-11-06 18:26,17,457889
2022-11-06 21:19,17,457889
2022-11-07 02:00,17,457891
2022-11-07 04:00,17,457911
2022-11-07 06:28,17,457914
2022-11-07 09:22,17,457912
2022-11-07 12:50,17,457912
2022-11-07 15:24,17,457977
2022-11-07 18:27,17,458058
2022-11-07 21:22,17,458058
2022-11-08 02:00,17,458065
2022-11-08 04:00,17,458068
2022-11-08 06:30,17,458081
2022-11-08 09:23,17,458082
2022-11-08 12:51,17,458108
2022-11-08 15:24,17,458139
2022-11-08 18:32,17,458170
2022-11-08 21:20,17,458169
2022-11-09 02:11,17,458178
2022-11-09 04:03,17,458213
2022-11-09 06:35,17,458219
2022-11-09 09:22,17,458236
2022-11-09 12:52,17,458246
2022-11-09 15:25,17,458266
