updated_at,users,statuses
2022-12-04 01:39,1,5
2022-12-04 03:20,1,5
2022-12-04 06:22,1,6
2022-12-04 09:17,1,6
2022-12-04 12:35,1,6
2022-12-04 15:18,1,6
2022-12-04 18:27,1,12
2022-12-04 21:16,1,13
2022-12-05 01:38,1,27
2022-12-05 03:20,1,29
2022-12-05 06:24,1,29
2022-12-05 09:19,1,29
2022-12-05 12:37,1,29
2022-12-05 15:20,1,29
2022-12-05 18:23,1,29
2022-12-05 21:17,1,29
2022-12-06 01:35,1,29
2022-12-06 03:41,1,31
2022-12-06 06:24,1,31
2022-12-06 09:18,1,31
2022-12-06 12:38,1,31
2022-12-06 15:20,1,31
2022-12-06 18:38,1,31
2022-12-06 21:16,1,31
2022-12-07 01:41,1,31
2022-12-07 03:24,1,31
2022-12-07 09:18,1,31
2022-12-07 12:36,1,31
2022-12-07 15:20,1,31
2022-12-07 18:24,1,31
2022-12-07 21:17,1,31
2022-12-08 01:37,1,32
2022-12-08 03:21,1,32
2022-12-08 06:25,1,32
2022-12-08 09:18,1,32
2022-12-08 12:36,1,32
2022-12-08 15:19,1,32
2022-12-08 18:23,1,32
2022-12-08 21:17,1,32
2022-12-09 01:40,1,35
2022-12-09 03:22,1,37
2022-12-09 06:23,1,37
2022-12-09 09:18,1,37
2022-12-09 12:35,1,37
2022-12-09 15:18,1,37
2022-12-09 18:45,1,37
2022-12-09 21:17,1,37
2022-12-10 01:34,1,37
2022-12-10 03:20,1,37
2022-12-10 06:23,1,37
2022-12-10 09:17,1,37
2022-12-10 12:33,1,37
2022-12-10 15:18,1,37
2022-12-10 18:22,1,42
2022-12-10 21:31,1,42
2022-12-11 01:44,1,44
2022-12-11 03:24,1,44
2022-12-11 06:23,1,45
2022-12-11 09:17,1,45
2022-12-11 12:34,1,45
2022-12-11 15:19,1,46
2022-12-11 19:14,1,50
2022-12-11 21:16,1,57
2022-12-12 01:40,1,70
2022-12-12 03:24,1,70
2022-12-12 06:24,1,83
2022-12-12 09:19,1,83
2022-12-12 12:37,1,84
2022-12-12 15:20,1,84
2022-12-12 18:24,1,84
2022-12-12 21:17,1,88
2022-12-13 01:43,1,92
2022-12-13 03:27,1,92
2022-12-13 06:25,1,92
2022-12-13 09:19,1,92
2022-12-13 12:37,1,92
2022-12-13 15:24,1,92
2022-12-13 18:23,1,93
2022-12-13 21:17,1,93
2022-12-14 01:40,1,93
2022-12-14 03:23,1,94
2022-12-14 06:24,1,94
2022-12-14 09:18,1,94
2022-12-14 12:37,1,95
2022-12-14 15:20,1,95
2022-12-14 18:23,1,95
2022-12-14 21:17,1,95
2022-12-15 01:41,1,95
2022-12-15 03:24,1,97
2022-12-15 06:24,1,97
2022-12-15 09:19,1,97
2022-12-15 12:36,1,97
2022-12-15 15:20,1,97
2022-12-15 18:21,1,97
2022-12-15 21:15,1,97
2022-12-16 01:26,1,97
2022-12-16 09:17,1,101
2022-12-16 12:33,1,101
2022-12-16 15:20,1,109
2022-12-16 18:22,1,118
2022-12-16 21:16,1,118
2022-12-17 01:24,1,118
2022-12-17 03:19,1,118
2022-12-17 06:21,1,118
