updated_at,users,statuses
2022-11-04 10:13,125,1903
2022-11-04 13:09,125,1903
2022-11-04 15:25,125,1903
2022-11-04 18:28,125,1904
2022-11-04 21:19,126,1907
2022-11-05 02:03,126,1907
2022-11-05 03:49,127,1907
2022-11-05 06:27,128,1909
2022-11-05 09:21,128,1909
2022-11-05 12:38,128,1909
2022-11-05 15:21,128,1909
2022-11-05 18:26,128,1912
2022-11-05 21:18,128,1912
2022-11-06 02:06,130,1912
2022-11-06 03:50,130,1912
2022-11-06 06:27,130,1914
2022-11-06 09:22,132,1915
2022-11-06 12:40,132,1915
2022-11-06 15:24,132,1917
2022-11-06 18:26,132,1917
2022-11-06 21:19,132,1921
2022-11-07 02:00,132,1927
2022-11-07 04:00,132,1929
2022-11-07 06:28,132,1929
2022-11-07 09:22,132,1929
2022-11-07 12:50,134,1930
2022-11-07 15:24,134,1930
2022-11-07 18:27,134,1933
2022-11-07 21:22,134,1910
2022-11-08 02:00,134,1910
2022-11-08 04:00,134,1910
2022-11-08 06:30,134,1911
2022-11-08 09:23,135,1911
2022-11-08 12:51,135,1911
2022-11-08 15:24,135,1913
2022-11-08 18:32,135,1922
2022-11-08 21:20,135,1925
2022-11-09 02:11,135,1934
2022-11-09 04:03,135,1937
2022-11-09 06:35,135,1938
2022-11-09 09:22,135,1942
2022-11-09 12:52,135,1943
2022-11-09 15:25,135,1944
2022-11-09 18:27,135,1944
2022-11-09 21:23,135,1945
2022-11-10 02:04,135,1947
2022-11-10 03:56,135,1947
2022-11-10 06:28,135,1951
2022-11-10 09:23,135,1951
2022-11-10 12:52,135,1951
2022-11-10 15:23,135,1952
2022-11-10 18:28,135,1952
2022-11-10 21:21,135,1953
2022-11-11 02:04,136,1955
2022-11-11 03:56,136,1956
2022-11-11 06:32,136,1956
2022-11-11 09:22,136,1957
2022-11-11 12:51,136,1957
2022-11-11 15:25,136,1958
2022-11-11 18:29,136,1958
2022-11-11 21:20,136,1959
2022-11-12 01:59,137,1959
2022-11-12 03:54,138,1960
2022-11-12 06:27,138,1960
2022-11-12 09:21,138,1961
2022-11-12 12:39,138,1961
2022-11-12 15:23,138,1961
2022-11-12 18:26,138,1962
2022-11-12 21:19,138,1962
2022-11-13 01:59,138,1964
2022-11-13 03:55,138,1964
2022-11-13 06:27,138,1965
2022-11-13 09:21,138,1965
2022-11-13 12:41,138,1965
2022-11-13 15:22,138,1965
2022-11-13 18:26,138,1965
2022-11-13 21:19,138,1965
2022-11-14 01:58,139,1965
2022-11-14 03:58,139,1966
2022-11-14 06:29,139,1967
2022-11-14 09:23,139,1967
2022-11-14 12:53,140,1968
2022-11-14 15:25,140,1970
2022-11-14 18:27,140,1970
2022-11-14 21:21,140,1972
2022-11-15 01:56,140,1973
2022-11-15 03:47,140,1973
2022-11-15 06:26,140,1974
2022-11-15 09:21,140,1975
2022-11-15 12:44,140,1975
2022-11-15 15:23,140,1975
2022-11-15 18:27,140,1975
2022-11-15 21:19,140,1988
2022-11-16 01:57,140,1990
2022-11-16 03:48,140,1990
2022-11-16 06:26,140,1996
2022-11-16 09:21,140,1996
2022-11-16 12:43,140,1997
2022-11-16 15:22,140,1997
2022-11-16 18:26,140,1998
2022-11-16 21:18,140,2000
