updated_at,users,statuses
2022-11-21 09:22,1,273
2022-11-21 13:51,1,273
2022-11-21 15:23,1,273
2022-11-21 18:27,1,278
2022-11-21 21:21,1,285
2022-11-22 01:59,1,288
2022-11-22 03:40,1,288
2022-11-22 06:27,1,290
2022-11-22 09:21,1,291
2022-11-22 12:43,1,296
2022-11-22 15:23,1,300
2022-11-22 18:26,1,300
2022-11-22 21:17,1,300
2022-11-23 01:46,1,300
2022-11-23 03:34,1,300
2022-11-23 06:25,1,302
2022-11-23 09:19,1,306
2022-11-23 12:40,1,307
2022-11-23 15:21,1,309
2022-11-23 18:24,1,311
2022-11-23 21:17,1,312
2022-11-24 01:49,1,313
2022-11-24 03:29,1,313
2022-11-24 06:25,1,314
2022-11-24 09:19,1,314
2022-11-24 12:40,1,314
2022-11-24 15:20,1,314
2022-11-24 18:25,1,315
2022-11-24 21:17,1,315
2022-11-25 01:46,1,318
2022-11-25 03:37,1,318
2022-11-25 06:26,1,319
2022-11-25 09:19,1,321
2022-11-25 12:39,1,321
2022-11-25 15:20,1,321
2022-11-25 18:25,1,321
2022-11-25 21:17,1,320
2022-11-26 01:41,1,321
2022-11-26 03:26,1,321
2022-11-26 06:24,1,321
2022-11-26 09:18,1,321
2022-11-26 12:35,1,321
2022-11-26 15:19,1,321
2022-11-26 18:23,1,321
2022-11-26 21:17,1,323
2022-11-27 01:51,1,323
2022-11-27 03:40,1,324
2022-11-27 06:24,1,324
2022-11-27 09:18,1,326
2022-11-27 12:35,1,329
2022-11-27 15:19,1,329
2022-11-27 18:23,1,332
2022-11-27 21:17,1,336
2022-11-28 01:44,1,339
2022-11-28 03:31,1,339
2022-11-28 06:26,1,339
2022-11-28 09:20,1,341
2022-11-28 12:38,1,341
2022-11-28 15:18,1,341
2022-11-28 18:25,1,346
2022-11-28 21:18,1,347
2022-11-29 01:44,1,347
2022-11-29 03:30,1,347
2022-11-29 06:26,1,348
2022-11-29 09:19,1,351
2022-11-29 12:39,1,352
2022-11-29 15:21,1,352
2022-11-29 18:23,1,356
2022-11-29 21:18,1,359
2022-11-30 01:45,1,359
2022-11-30 03:27,1,359
2022-11-30 06:25,1,360
2022-11-30 09:20,1,361
2022-11-30 12:41,1,361
2022-11-30 15:22,1,362
2022-11-30 18:25,1,362
2022-11-30 21:18,1,367
2022-12-01 01:56,1,371
2022-12-01 03:38,1,371
2022-12-01 06:26,1,373
2022-12-01 09:20,1,374
2022-12-01 12:42,1,375
2022-12-01 15:21,1,375
2022-12-01 18:25,1,377
2022-12-01 21:15,1,379
2022-12-02 01:37,1,379
2022-12-02 03:24,1,379
2022-12-02 06:24,1,379
2022-12-02 09:18,1,383
2022-12-02 12:35,1,384
2022-12-02 15:17,1,385
2022-12-02 18:22,1,385
2022-12-02 21:16,1,386
2022-12-03 01:27,1,388
2022-12-03 03:20,1,388
2022-12-03 06:22,1,388
2022-12-03 09:17,1,394
2022-12-03 12:33,1,395
2022-12-03 15:18,1,395
2022-12-03 18:22,1,395
2022-12-03 21:15,1,395
2022-12-04 01:39,1,395
2022-12-04 03:20,1,395
2022-12-04 06:22,1,395
2022-12-04 09:17,1,395
