updated_at,users,statuses
2022-11-13 18:26,3,1
2022-11-13 21:19,3,1
2022-11-14 01:58,3,2
2022-11-14 03:58,3,2
2022-11-14 06:29,3,2
2022-11-14 09:23,3,2
2022-11-14 12:53,3,2
2022-11-14 15:25,3,2
2022-11-14 18:27,3,2
2022-11-14 21:21,3,2
2022-11-15 01:56,3,2
2022-11-15 03:47,3,2
2022-11-15 06:26,3,2
2022-11-15 09:21,3,2
2022-11-15 12:44,3,2
2022-11-15 15:23,3,2
2022-11-15 18:27,3,2
2022-11-15 21:19,3,2
2022-11-16 01:57,3,2
2022-11-16 03:48,3,2
2022-11-16 06:26,3,2
2022-11-16 09:21,3,2
2022-11-16 12:43,3,2
2022-11-16 15:22,3,2
2022-11-16 18:26,3,2
2022-11-16 21:18,3,2
2022-11-17 01:56,3,2
2022-11-17 03:43,3,2
2022-11-17 06:27,3,2
2022-11-17 09:21,3,2
2022-11-17 12:45,3,2
2022-11-17 15:22,3,2
2022-11-17 18:26,3,2
2022-11-17 21:18,3,2
2022-11-18 02:01,3,2
2022-11-18 03:43,3,2
2022-11-18 06:27,3,2
2022-11-18 09:21,3,2
2022-11-18 12:40,3,2
2022-11-18 15:22,3,2
2022-11-18 18:28,3,2
2022-11-18 21:18,3,2
2022-11-19 01:53,3,2
2022-11-19 03:41,3,2
2022-11-19 06:26,3,2
2022-11-19 09:19,3,2
2022-11-19 12:37,3,2
2022-11-19 15:21,3,2
2022-11-19 18:25,3,2
2022-11-19 21:18,3,2
2022-11-20 02:01,3,2
2022-11-20 03:46,3,2
2022-11-20 06:26,3,2
2022-11-20 09:19,3,2
2022-11-20 12:38,3,2
2022-11-20 15:20,3,2
2022-11-20 18:25,3,2
2022-11-20 21:18,3,2
2022-11-21 01:57,3,2
2022-11-21 07:13,3,2
2022-11-21 09:22,3,2
2022-11-21 13:51,3,2
2022-11-21 15:23,3,2
2022-11-21 18:27,4,2
2022-11-21 21:21,4,2
2022-11-22 01:59,4,2
2022-11-22 03:40,4,2
2022-11-22 06:27,4,2
2022-11-22 09:21,4,2
2022-11-22 12:43,4,2
2022-11-22 15:23,4,2
2022-11-22 18:26,4,2
2022-11-22 21:17,4,2
2022-11-23 01:46,4,2
2022-11-23 03:34,4,2
2022-11-23 06:25,4,2
2022-11-23 09:19,4,2
2022-11-23 12:40,4,2
2022-11-23 15:21,4,2
2022-11-23 18:24,4,2
2022-11-23 21:17,4,2
2022-11-24 01:49,4,2
2022-11-24 03:29,4,2
2022-11-24 06:25,4,2
2022-11-24 09:19,4,2
2022-11-24 12:40,4,2
2022-11-24 15:20,4,2
2022-11-24 18:25,4,2
2022-11-24 21:17,4,2
2022-11-25 01:46,4,2
2022-11-25 03:37,4,2
2022-11-25 06:26,4,2
2022-11-25 09:19,4,2
2022-11-25 12:39,4,2
2022-11-25 15:20,4,2
2022-11-25 18:25,4,2
2022-11-25 21:17,5,2
2022-11-26 01:41,5,2
2022-11-26 03:26,5,3
2022-11-26 06:24,6,4
2022-11-26 09:18,6,4
2022-11-26 12:35,6,4
2022-11-26 15:19,6,4
2022-11-26 18:23,6,4
2022-11-26 21:17,6,4
2022-11-27 01:51,6,4
2022-11-27 03:40,6,4
2022-11-27 06:24,6,4
2022-11-27 09:18,6,4
2022-11-27 12:35,6,4
2022-11-27 15:19,6,4
2022-11-27 18:23,6,4
2022-11-27 21:17,6,4
2022-11-28 01:44,6,4
2022-11-28 03:31,6,4
2022-11-28 06:26,6,4
2022-11-28 09:20,6,4
2022-11-28 12:38,6,4
2022-11-28 15:18,6,4
2022-11-28 18:25,6,4
2022-11-28 21:18,6,4
2022-11-29 01:44,6,4
2022-11-29 03:30,6,4
2022-11-29 06:26,6,4
2022-11-29 09:19,6,4
2022-11-29 12:39,6,4
2022-11-29 15:21,6,4
2022-11-29 18:23,6,4
2022-11-29 21:18,6,4
2022-11-30 01:45,6,4
2022-11-30 03:27,6,4
2022-11-30 06:25,6,4
2022-11-30 09:20,6,4
2022-11-30 12:41,6,4
2022-11-30 15:22,6,4
2022-11-30 18:25,6,4
2022-11-30 21:18,6,4
2022-12-01 01:56,6,4
2022-12-01 03:38,6,4
2022-12-01 06:26,6,4
2022-12-01 09:20,6,4
2022-12-01 12:42,6,4
2022-12-01 15:21,6,4
2022-12-01 18:25,6,4
2022-12-01 21:15,6,4
2022-12-02 01:37,6,4
2022-12-02 03:24,6,4
2022-12-02 06:24,6,4
2022-12-02 09:18,6,4
2022-12-02 12:35,6,4
2022-12-02 15:17,6,4
2022-12-02 18:22,6,4
2022-12-02 21:16,6,4
2022-12-03 01:27,6,4
2022-12-03 03:20,6,4
2022-12-03 06:22,6,4
2022-12-03 09:17,6,4
2022-12-03 12:33,6,4
2022-12-03 15:18,6,4
2022-12-03 18:22,6,4
2022-12-03 21:15,6,4
2022-12-04 01:39,6,4
2022-12-04 03:20,6,4
2022-12-04 06:22,6,4
2022-12-04 09:17,6,4
2022-12-04 12:35,6,4
2022-12-04 15:18,6,4
2022-12-04 18:27,6,4
2022-12-04 21:16,6,4
2022-12-05 01:38,6,4
2022-12-05 03:20,6,4
2022-12-05 06:24,6,4
2022-12-05 09:19,6,4
2022-12-05 12:37,6,4
2022-12-05 15:20,6,4
2022-12-05 18:23,6,4
2022-12-05 21:17,6,4
2022-12-06 01:35,6,4
