updated_at,users,statuses
2022-11-04 10:13,2,2
2022-11-04 13:09,3,23
2022-11-04 15:25,3,24
2022-11-04 18:28,3,30
2022-11-04 21:19,3,36
2022-11-05 02:03,3,37
2022-11-05 03:49,3,37
2022-11-05 06:27,3,44
2022-11-05 09:21,3,44
2022-11-05 12:38,3,46
2022-11-05 15:21,3,47
2022-11-05 18:26,3,54
2022-11-05 21:18,3,59
2022-11-06 02:06,3,60
2022-11-06 03:50,3,60
2022-11-06 06:27,3,60
2022-11-06 09:22,3,64
2022-11-06 12:40,3,65
2022-11-06 15:24,3,68
2022-11-06 18:26,3,73
2022-11-06 21:19,3,78
2022-11-07 02:00,3,78
2022-11-07 04:00,3,78
2022-11-07 06:28,3,79
2022-11-07 09:22,3,85
2022-11-07 12:50,3,85
2022-11-07 15:24,3,83
2022-11-07 18:27,4,89
2022-11-07 21:22,4,95
2022-11-08 02:00,4,95
2022-11-08 04:00,4,95
2022-11-08 06:30,4,95
2022-11-08 09:23,4,108
2022-11-08 12:51,4,110
2022-11-08 15:24,4,117
2022-11-08 18:32,4,120
2022-11-08 21:20,4,134
2022-11-09 02:11,4,134
2022-11-09 04:03,4,134
2022-11-09 06:35,4,135
2022-11-09 09:22,4,139
2022-11-09 12:52,4,142
2022-11-09 15:25,4,145
2022-11-09 18:27,4,152
2022-11-09 21:23,4,150
2022-11-10 02:04,4,151
2022-11-10 03:56,4,151
2022-11-10 06:28,4,153
2022-11-10 09:23,4,153
2022-11-10 12:52,4,156
2022-11-10 15:23,4,158
2022-11-10 18:28,4,158
2022-11-10 21:21,4,158
