updated_at,users,statuses
2022-11-21 09:22,20,373
2022-11-21 13:51,20,374
2022-11-21 15:23,20,375
2022-11-21 18:27,20,375
2022-11-21 21:21,20,377
2022-11-22 01:59,20,382
2022-11-22 03:40,20,382
2022-11-22 06:27,20,382
2022-11-22 09:21,20,382
2022-11-22 12:43,20,382
2022-11-22 15:23,20,382
2022-11-22 18:26,20,386
2022-11-22 21:17,20,393
2022-11-23 01:46,20,393
2022-11-23 03:34,20,393
2022-11-23 06:25,20,393
2022-11-23 09:19,20,393
2022-11-23 12:40,20,394
2022-11-23 15:21,20,394
2022-11-23 18:24,20,396
2022-11-23 21:17,20,397
2022-11-24 01:49,20,403
2022-11-24 03:29,20,404
2022-11-24 06:25,20,404
2022-11-24 09:19,20,405
2022-11-24 12:40,20,406
2022-11-24 15:20,20,408
2022-11-24 18:25,20,409
2022-11-24 21:17,20,414
2022-11-25 01:46,20,419
2022-11-25 03:37,20,421
2022-11-25 06:26,20,422
2022-11-25 09:19,20,426
2022-11-25 12:39,20,426
2022-11-25 15:20,20,426
2022-11-25 18:25,20,428
2022-11-25 21:17,20,428
2022-11-26 01:41,20,428
2022-11-26 03:26,20,428
2022-11-26 06:24,20,428
2022-11-26 09:18,20,429
2022-11-26 12:35,20,433
2022-11-26 15:19,20,433
2022-11-26 18:23,20,435
2022-11-26 21:17,20,438
2022-11-27 01:51,20,440
2022-11-27 03:40,20,444
2022-11-27 06:24,20,446
2022-11-27 09:18,20,446
2022-11-27 12:35,20,448
2022-11-27 15:19,20,448
2022-11-27 18:23,20,450
2022-11-27 21:17,20,453
2022-11-28 01:44,20,462
2022-11-28 03:31,20,462
2022-11-28 06:26,20,463
2022-11-28 09:20,20,463
2022-11-28 12:38,20,463
2022-11-28 15:18,20,464
2022-11-28 18:25,20,466
2022-11-28 21:18,20,467
2022-11-29 01:44,20,468
2022-11-29 03:30,20,469
2022-11-29 06:26,20,469
2022-11-29 09:19,20,470
2022-11-29 12:39,20,471
2022-11-29 15:21,20,471
2022-11-29 18:23,20,473
2022-11-29 21:18,20,473
2022-11-30 01:45,20,475
2022-11-30 03:27,20,478
2022-11-30 06:25,20,479
2022-11-30 09:20,20,479
2022-11-30 12:41,20,479
2022-11-30 15:22,20,479
2022-11-30 18:25,20,480
2022-11-30 21:18,20,482
2022-12-01 01:56,20,482
2022-12-01 03:38,20,482
2022-12-01 06:26,20,483
2022-12-01 09:20,20,483
2022-12-01 12:42,20,485
