updated_at,users,statuses
2022-12-05 18:23,5,3
2022-12-05 21:17,5,3
2022-12-06 01:35,5,3
2022-12-06 03:41,5,3
2022-12-06 06:24,5,3
2022-12-06 09:18,5,3
2022-12-06 12:38,6,3
2022-12-06 15:20,6,3
2022-12-06 18:38,6,3
2022-12-06 21:16,6,3
2022-12-07 01:41,6,3
2022-12-07 03:24,6,3
2022-12-07 09:18,6,3
2022-12-07 12:36,6,3
2022-12-07 15:20,6,3
2022-12-07 18:24,6,3
2022-12-07 21:17,6,3
2022-12-08 01:37,6,3
2022-12-08 03:21,6,3
2022-12-08 06:25,6,3
2022-12-08 09:18,6,5
2022-12-22 18:23,5,2
2022-12-22 21:16,5,2
2022-12-23 01:27,5,2
2022-12-23 03:20,5,2
2022-12-23 06:23,5,2
