updated_at,users,statuses
2022-11-21 09:22,4,448
2022-11-21 13:51,4,450
2022-11-21 15:23,4,450
2022-11-21 18:27,4,450
2022-11-21 21:21,4,450
2022-11-22 01:59,4,462
2022-11-22 03:40,4,462
2022-11-22 06:27,4,464
2022-11-22 09:21,4,464
2022-11-22 12:43,4,466
2022-11-22 15:23,4,467
2022-11-22 18:26,4,468
2022-11-22 21:17,4,468
2022-11-23 01:46,4,471
2022-11-23 03:34,4,471
2022-11-23 06:25,4,471
2022-11-23 09:19,4,471
2022-11-23 12:40,4,471
2022-11-23 15:21,4,471
2022-11-23 18:24,4,473
2022-11-23 21:17,4,478
2022-11-24 01:49,4,482
2022-11-24 03:29,4,482
2022-11-24 06:25,4,482
2022-11-24 09:19,4,482
2022-11-24 12:40,4,485
2022-11-24 15:20,4,491
2022-11-24 18:25,4,505
2022-11-24 21:17,4,506
2022-11-25 01:46,4,506
2022-11-25 03:37,4,507
2022-11-25 06:26,4,508
2022-11-25 09:19,4,508
2022-11-25 12:39,4,508
2022-11-25 15:20,4,508
2022-11-25 18:25,4,509
2022-11-25 21:17,4,512
2022-11-26 01:41,4,517
2022-11-26 03:26,4,517
2022-11-26 06:24,4,517
2022-11-26 09:18,4,518
2022-11-26 12:35,4,518
2022-11-26 15:19,4,518
2022-11-26 18:23,4,518
2022-11-26 21:17,4,520
2022-11-27 01:51,4,528
2022-11-27 03:40,4,528
2022-11-27 06:24,4,528
2022-11-27 09:18,4,528
2022-11-27 12:35,4,528
2022-11-27 15:19,4,528
2022-11-27 18:23,4,531
2022-11-27 21:17,4,531
2022-11-28 01:44,4,531
2022-11-28 03:31,4,531
2022-11-28 06:26,4,531
2022-11-28 09:20,4,531
2022-11-28 12:38,4,531
2022-11-28 15:18,4,531
2022-11-28 18:25,4,531
2022-11-28 21:18,4,536
2022-11-29 01:44,4,537
2022-11-29 03:30,4,537
2022-11-29 06:26,4,537
2022-11-29 09:19,4,537
2022-11-29 12:39,4,539
2022-11-29 15:21,4,539
2022-11-29 18:23,4,547
2022-11-29 21:18,4,548
2022-11-30 01:45,4,556
2022-11-30 03:27,4,559
2022-11-30 06:25,4,559
2022-11-30 09:20,4,559
2022-11-30 12:41,4,560
2022-11-30 15:22,4,577
2022-11-30 18:25,5,590
2022-11-30 21:18,5,590
2022-12-01 01:56,5,597
2022-12-01 03:38,5,597
2022-12-01 06:26,5,597
2022-12-01 09:20,5,597
2022-12-01 12:42,5,604
2022-12-01 15:21,5,629
2022-12-01 18:25,5,630
2022-12-01 21:15,5,630
2022-12-02 01:37,5,630
2022-12-02 03:24,5,631
2022-12-02 06:24,5,631
2022-12-02 09:18,5,631
2022-12-02 12:35,5,633
2022-12-02 15:17,5,634
2022-12-02 18:22,5,637
2022-12-02 21:16,5,637
2022-12-03 01:27,5,637
2022-12-03 03:20,5,637
2022-12-03 06:22,5,637
2022-12-03 09:17,5,637
2022-12-03 12:33,5,637
2022-12-03 15:18,5,637
2022-12-03 18:22,5,637
2022-12-03 21:15,5,637
2022-12-04 01:39,5,637
2022-12-04 03:20,5,637
2022-12-04 06:22,5,637
2022-12-04 09:17,5,637
2022-12-04 12:35,5,638
2022-12-04 15:18,5,638
2022-12-04 18:27,5,638
2022-12-04 21:16,5,638
2022-12-05 01:38,5,641
2022-12-05 03:20,5,641
2022-12-05 06:24,5,641
2022-12-05 09:19,5,641
2022-12-05 12:37,5,642
2022-12-05 15:20,6,644
2022-12-05 18:23,6,652
2022-12-05 21:17,6,652
2022-12-06 01:35,6,652
2022-12-06 03:41,6,652
2022-12-06 06:24,6,652
2022-12-06 09:18,6,652
2022-12-06 12:38,6,653
2022-12-06 15:20,6,654
2022-12-06 18:38,6,655
2022-12-06 21:16,6,655
2022-12-07 01:41,6,656
2022-12-07 03:24,6,656
2022-12-07 09:18,6,656
2022-12-07 12:36,6,656
2022-12-07 15:20,6,657
2022-12-07 18:24,6,657
2022-12-07 21:17,6,658
2022-12-08 01:37,6,658
2022-12-08 03:21,6,658
2022-12-08 06:25,6,658
2022-12-08 09:18,6,658
2022-12-08 12:36,6,666
2022-12-08 15:19,6,666
2022-12-08 18:23,6,667
2022-12-08 21:17,6,667
2022-12-09 01:40,6,669
2022-12-09 03:22,6,669
2022-12-09 06:23,6,669
2022-12-09 09:18,6,669
2022-12-09 12:35,6,669
2022-12-09 15:18,6,679
2022-12-09 18:45,6,679
2022-12-09 21:17,6,679
2022-12-10 01:34,6,679
2022-12-10 03:20,6,679
2022-12-10 06:23,6,679
2022-12-10 09:17,6,679
2022-12-10 12:33,6,679
2022-12-10 15:18,6,679
2022-12-10 18:22,6,685
2022-12-10 21:31,6,687
2022-12-11 01:44,6,689
2022-12-11 03:24,6,689
2022-12-11 06:23,6,689
2022-12-11 09:17,6,689
2022-12-11 12:34,6,689
2022-12-11 15:19,6,689
2022-12-11 19:14,6,693
2022-12-11 21:16,6,696
2022-12-12 01:40,6,696
2022-12-12 03:24,6,696
2022-12-12 06:24,6,696
2022-12-12 09:19,6,696
2022-12-12 12:37,6,696
2022-12-12 15:20,6,696
2022-12-12 18:24,6,698
2022-12-12 21:17,6,698
2022-12-13 01:43,6,698
2022-12-13 03:27,6,698
2022-12-13 06:25,6,698
2022-12-13 09:19,6,698
2022-12-13 12:37,6,698
2022-12-13 15:24,6,698
2022-12-13 18:23,6,698
2022-12-13 21:17,6,698
2022-12-14 01:40,6,698
2022-12-14 03:23,6,698
2022-12-14 06:24,6,698
2022-12-14 09:18,6,698
2022-12-14 12:37,6,698
2022-12-14 15:20,6,699
2022-12-14 18:23,6,702
2022-12-14 21:17,6,704
2022-12-15 01:41,6,705
2022-12-15 03:24,6,705
2022-12-15 06:24,6,705
2022-12-15 09:19,6,705
2022-12-15 12:36,6,706
2022-12-15 15:20,6,706
2022-12-15 18:21,6,706
2022-12-15 21:15,6,707
2022-12-16 01:26,6,707
2022-12-16 09:17,6,707
2022-12-16 12:33,6,707
2022-12-16 15:20,6,707
2022-12-16 18:22,6,708
2022-12-16 21:16,6,707
2022-12-17 01:24,6,707
2022-12-17 03:19,6,707
2022-12-17 06:21,6,707
2022-12-17 09:16,6,707
2022-12-17 12:31,6,707
2022-12-17 15:17,6,707
2022-12-17 18:20,6,708
2022-12-17 21:14,6,708
2022-12-18 01:27,6,708
2022-12-18 03:19,6,708
2022-12-18 06:21,6,708
2022-12-18 09:16,6,708
2022-12-18 12:32,6,708
2022-12-18 15:17,6,708
2022-12-18 18:20,6,708
2022-12-18 21:14,6,708
2022-12-19 01:24,6,708
2022-12-19 03:19,6,708
2022-12-19 06:23,6,708
2022-12-19 09:18,6,708
2022-12-20 01:28,6,711
2022-12-20 03:19,6,711
2022-12-20 06:24,6,711
2022-12-20 09:18,6,711
2022-12-20 12:35,6,711
2022-12-20 15:20,6,712
2022-12-20 18:22,6,713
2022-12-20 21:16,6,713
2022-12-21 01:25,6,713
2022-12-21 03:20,6,714
2022-12-21 06:23,6,714
2022-12-21 12:18,6,714
2022-12-21 12:35,6,714
2022-12-21 15:20,6,714
2022-12-21 18:22,6,719
2022-12-21 21:16,6,719
2022-12-22 01:32,6,720
