updated_at,users,statuses
2022-11-21 07:13,2,348
2022-11-21 09:22,2,348
2022-11-21 13:51,2,349
2022-11-21 15:23,2,359
2022-11-21 18:27,2,364
2022-11-21 21:21,2,365
2022-11-22 01:59,2,367
2022-11-22 03:40,2,367
2022-11-22 06:27,2,367
2022-11-22 09:21,2,367
2022-11-22 12:43,2,369
2022-11-22 15:23,2,376
2022-11-22 18:26,2,378
2022-11-22 21:17,2,382
2022-11-23 01:46,2,395
2022-11-23 03:34,2,395
2022-11-23 06:25,2,398
2022-11-23 09:19,2,398
2022-11-23 12:40,2,398
2022-11-23 15:21,2,402
2022-11-23 18:24,2,407
2022-11-23 21:17,2,411
2022-11-24 01:49,2,416
2022-11-24 03:29,2,417
2022-11-24 06:25,2,417
2022-11-24 09:19,2,417
2022-11-24 12:40,2,417
2022-11-24 15:20,2,418
2022-11-24 18:25,2,430
2022-11-24 21:17,2,430
2022-11-25 01:46,2,432
2022-11-25 03:37,2,433
2022-11-25 06:26,2,436
2022-11-25 09:19,2,436
2022-11-25 12:39,2,436
2022-11-25 15:20,2,446
2022-11-25 18:25,2,454
2022-11-25 21:17,2,454
2022-11-26 01:41,2,455
2022-11-26 03:26,2,461
2022-11-26 06:24,2,461
2022-11-26 09:18,2,461
2022-11-26 12:35,2,461
2022-11-26 15:19,2,480
2022-11-26 18:23,2,480
2022-11-26 21:17,2,483
2022-11-27 01:51,2,484
2022-11-27 03:40,2,484
2022-11-27 06:24,2,484
2022-11-27 09:18,2,484
2022-11-27 12:35,2,484
2022-11-27 15:19,2,485
2022-11-27 18:23,2,498
2022-11-27 21:17,2,500
2022-11-28 01:44,2,502
2022-11-28 03:31,2,502
2022-11-28 06:26,2,503
2022-11-28 09:20,2,503
2022-11-28 12:38,2,505
2022-11-28 15:18,2,505
2022-11-28 18:25,2,505
2022-11-28 21:18,2,505
2022-11-29 01:44,2,511
2022-11-29 03:30,2,513
2022-11-29 06:26,2,513
2022-11-29 09:19,2,513
2022-11-29 12:39,2,513
2022-11-29 15:21,2,523
2022-11-29 18:23,2,526
2022-11-29 21:18,2,526
2022-11-30 01:45,2,535
2022-11-30 03:27,2,540
2022-11-30 06:25,2,540
2022-11-30 09:20,2,540
2022-11-30 12:41,2,540
2022-11-30 15:22,2,540
2022-11-30 18:25,2,548
2022-11-30 21:18,2,550
2022-12-01 01:56,2,556
2022-12-01 03:38,2,558
2022-12-01 06:26,2,558
2022-12-01 09:20,2,558
2022-12-01 12:42,2,558
2022-12-01 15:21,2,560
2022-12-01 18:25,2,560
2022-12-01 21:15,2,560
2022-12-02 01:37,2,575
2022-12-02 03:24,2,581
2022-12-02 06:24,2,581
2022-12-02 09:18,2,581
2022-12-02 12:35,2,581
2022-12-02 15:17,2,585
2022-12-02 18:22,2,585
2022-12-02 21:16,2,593
2022-12-03 01:27,2,597
2022-12-03 03:20,2,598
2022-12-03 06:22,2,598
2022-12-03 09:17,2,598
2022-12-03 12:33,2,598
2022-12-03 15:18,2,600
2022-12-03 18:22,2,601
2022-12-03 21:15,2,600
2022-12-04 01:39,2,607
2022-12-04 03:20,2,608
2022-12-04 06:22,2,608
2022-12-04 09:17,2,608
2022-12-04 12:35,2,608
2022-12-04 15:18,2,608
2022-12-04 18:27,2,612
2022-12-04 21:16,2,614
2022-12-05 01:38,2,618
2022-12-05 03:20,2,618
2022-12-05 06:24,2,621
2022-12-05 09:19,2,621
2022-12-05 12:37,2,621
2022-12-05 15:20,2,629
2022-12-05 18:23,2,633
2022-12-05 21:17,2,641
2022-12-06 01:35,2,643
2022-12-06 03:41,2,643
2022-12-06 06:24,2,645
2022-12-06 09:18,2,645
2022-12-06 12:38,2,645
2022-12-06 15:20,2,644
2022-12-06 18:38,2,644
2022-12-06 21:16,2,645
2022-12-07 01:41,2,645
2022-12-07 03:24,2,645
2022-12-07 09:18,2,648
2022-12-07 12:36,2,647
2022-12-07 15:20,2,647
2022-12-07 18:24,2,648
2022-12-07 21:17,2,648
2022-12-08 01:37,2,648
2022-12-08 03:21,2,647
2022-12-08 06:25,2,647
2022-12-08 09:18,2,647
2022-12-08 12:36,2,647
2022-12-08 15:19,2,647
2022-12-08 18:23,2,647
2022-12-08 21:17,2,647
2022-12-09 01:40,2,646
2022-12-09 03:22,2,646
2022-12-09 06:23,2,651
2022-12-09 09:18,2,651
2022-12-09 12:35,2,651
2022-12-09 15:18,2,650
2022-12-09 18:45,2,651
2022-12-09 21:17,2,651
2022-12-10 01:34,2,651
2022-12-10 03:20,2,651
2022-12-10 06:23,2,651
2022-12-10 09:17,2,651
2022-12-10 12:33,2,651
2022-12-10 15:18,2,651
2022-12-10 18:22,2,651
2022-12-10 21:31,2,651
2022-12-11 01:44,2,651
2022-12-11 03:24,2,651
2022-12-11 06:23,2,651
2022-12-11 09:17,2,651
2022-12-11 12:34,2,651
2022-12-11 15:19,2,651
2022-12-11 19:14,2,651
2022-12-11 21:16,2,650
2022-12-12 01:40,2,650
2022-12-12 03:24,2,650
2022-12-12 06:24,2,650
2022-12-12 09:19,2,650
2022-12-12 12:37,2,650
2022-12-12 15:20,2,650
2022-12-12 18:24,2,650
2022-12-12 21:17,2,650
2022-12-13 01:43,2,651
2022-12-13 03:27,2,651
2022-12-13 06:25,2,651
2022-12-13 09:19,2,651
2022-12-13 12:37,2,651
2022-12-13 15:24,2,653
2022-12-13 18:23,2,653
2022-12-13 21:17,2,656
2022-12-14 01:40,2,657
2022-12-14 03:23,2,665
2022-12-14 06:24,2,665
2022-12-14 09:18,2,665
2022-12-14 12:37,2,665
2022-12-14 15:20,2,667
2022-12-14 18:23,2,667
2022-12-14 21:17,2,668
2022-12-15 01:41,2,673
2022-12-15 03:24,2,673
2022-12-15 06:24,2,673
2022-12-15 09:19,2,673
2022-12-15 12:36,2,673
2022-12-15 15:20,2,673
2022-12-15 18:21,2,674
2022-12-15 21:15,2,674
2022-12-16 01:26,2,673
2022-12-16 12:33,2,675
2022-12-16 15:20,2,678
2022-12-16 18:22,2,688
2022-12-16 21:16,2,696
2022-12-17 01:24,2,696
2022-12-17 03:19,2,702
2022-12-17 06:21,2,702
2022-12-17 09:16,2,702
2022-12-17 12:31,2,702
2022-12-17 15:17,2,705
2022-12-17 18:20,2,709
