updated_at,users,statuses
2022-11-21 07:13,3,312
2022-11-21 09:22,3,316
2022-11-21 13:51,3,324
2022-11-21 15:23,3,324
2022-11-21 18:27,3,324
2022-11-21 21:21,3,325
2022-11-22 01:59,3,334
2022-11-22 03:40,3,334
2022-11-22 06:27,3,334
2022-11-22 09:21,3,345
2022-11-22 12:43,3,348
2022-11-22 15:23,3,348
2022-11-22 18:26,3,348
2022-11-22 21:17,3,353
2022-11-23 01:46,3,359
2022-11-23 03:34,3,359
2022-11-23 06:25,3,359
2022-11-23 09:19,3,365
2022-11-23 12:40,3,366
2022-11-23 15:21,3,366
2022-11-23 18:24,3,366
2022-11-23 21:17,3,371
2022-11-24 01:49,3,377
2022-11-24 03:29,3,377
2022-11-24 06:25,3,377
2022-11-24 09:19,3,379
2022-11-24 12:40,3,386
2022-11-24 15:20,3,387
2022-11-24 18:25,3,395
2022-11-24 21:17,3,399
2022-11-25 01:46,3,400
2022-11-25 03:37,3,400
2022-11-25 06:26,3,400
2022-11-25 09:19,3,407
2022-11-25 12:39,3,407
2022-11-25 15:20,3,408
2022-11-25 18:25,3,408
2022-11-25 21:17,3,417
2022-11-26 01:41,3,422
2022-11-26 03:26,3,422
2022-11-26 06:24,3,422
2022-11-26 09:18,3,422
2022-11-26 12:35,3,422
2022-11-26 15:19,3,431
2022-11-26 18:23,3,431
2022-11-26 21:17,3,432
2022-11-27 01:51,3,432
2022-11-27 03:40,3,432
2022-11-27 06:24,3,432
2022-11-27 09:18,3,432
2022-11-27 12:35,3,433
2022-11-27 15:19,3,434
2022-11-27 18:23,3,435
2022-11-27 21:17,3,439
2022-11-28 01:44,3,442
2022-11-28 03:31,3,442
2022-11-28 06:26,3,442
2022-11-28 09:20,3,446
2022-11-28 12:38,3,449
2022-11-28 15:18,3,450
2022-11-28 18:25,3,450
2022-11-28 21:18,3,455
2022-11-29 01:44,3,455
2022-11-29 03:30,3,455
2022-11-29 06:26,3,455
2022-11-29 09:19,3,465
2022-11-29 12:39,3,469
2022-11-29 15:21,3,470
2022-11-29 18:23,3,470
2022-11-29 21:18,3,479
2022-11-30 01:45,3,481
2022-11-30 03:27,3,481
2022-11-30 06:25,3,481
2022-11-30 09:20,3,483
2022-11-30 12:41,3,493
2022-11-30 15:22,3,505
2022-11-30 18:25,3,506
2022-11-30 21:18,3,508
2022-12-01 01:56,3,514
2022-12-01 03:38,3,514
2022-12-01 06:26,3,514
2022-12-01 09:20,3,516
2022-12-01 12:42,3,517
2022-12-01 15:21,3,519
2022-12-01 18:25,3,523
2022-12-01 21:15,3,523
2022-12-02 01:37,3,529
2022-12-02 03:24,3,529
2022-12-02 06:24,3,529
2022-12-02 09:18,3,533
2022-12-02 12:35,3,536
2022-12-02 15:17,3,538
2022-12-02 18:22,3,540
2022-12-02 21:16,3,545
2022-12-03 01:27,3,550
2022-12-03 03:20,3,550
2022-12-03 06:22,3,550
2022-12-03 09:17,3,550
2022-12-03 12:33,3,558
2022-12-03 15:18,3,563
2022-12-03 18:22,3,566
2022-12-03 21:15,3,567
2022-12-04 01:39,3,567
2022-12-04 03:20,3,567
2022-12-04 06:22,3,567
2022-12-04 09:17,3,567
2022-12-04 12:35,3,571
2022-12-04 15:18,3,572
2022-12-04 18:27,3,576
2022-12-04 21:16,3,578
2022-12-05 01:38,3,581
2022-12-05 03:20,3,580
2022-12-05 06:24,3,580
2022-12-05 09:19,3,582
2022-12-05 12:37,3,585
2022-12-05 15:20,3,586
2022-12-05 18:23,3,587
2022-12-05 21:17,3,588
2022-12-06 01:35,3,593
2022-12-06 03:41,3,593
2022-12-06 06:24,3,593
2022-12-06 09:18,3,595
2022-12-06 12:38,3,598
2022-12-06 15:20,3,600
2022-12-06 18:38,3,601
2022-12-06 21:16,3,605
2022-12-07 01:41,3,607
