updated_at,users,statuses
2022-11-04 10:13,72,1394
2022-11-04 13:09,72,1405
2022-11-04 15:25,72,1421
2022-11-04 18:28,73,1461
2022-11-04 21:19,78,1490
2022-11-05 02:03,81,1556
2022-11-05 03:49,81,1562
2022-11-05 06:27,81,1565
2022-11-05 09:21,81,1567
2022-11-05 12:38,81,1593
2022-11-05 15:21,82,1620
2022-11-05 18:26,84,1646
2022-11-05 21:18,84,1660
2022-11-06 02:06,87,1747
2022-11-06 03:50,87,1767
2022-11-06 06:27,89,1770
2022-11-06 09:22,89,1771
2022-11-06 12:40,89,1793
2022-11-06 15:24,91,1850
2022-11-06 18:26,101,1922
2022-11-06 21:19,102,1973
2022-11-07 02:00,119,2046
2022-11-07 04:00,129,1848
2022-11-07 06:28,131,1870
2022-11-07 09:22,131,1870
2022-11-07 12:50,145,1926
2022-11-07 15:24,153,1978
2022-11-07 18:27,166,2097
2022-11-07 21:22,188,2253
2022-11-08 02:00,231,2484
2022-11-08 04:00,261,2556
2022-11-08 06:30,267,2573
2022-11-08 09:23,269,2579
2022-11-08 12:51,283,2688
2022-11-08 15:24,314,2815
2022-11-08 18:32,345,2990
2022-11-08 21:20,358,3116
2022-11-09 02:11,381,3318
2022-11-09 04:03,386,3384
2022-11-09 06:35,387,3391
2022-11-09 09:22,387,3397
2022-11-09 12:52,394,3482
2022-11-09 15:25,404,3619
2022-11-09 18:27,417,3751
2022-11-09 21:23,436,3887
2022-11-10 02:04,472,4133
2022-11-10 03:56,483,4159
2022-11-10 06:28,488,4161
2022-11-10 09:23,489,4172
2022-11-10 12:52,499,4294
2022-11-10 15:23,545,4529
2022-11-10 18:28,584,4806
2022-11-10 21:21,612,5088
2022-11-11 02:04,653,5450
2022-11-11 03:56,669,5585
2022-11-11 06:32,674,5620
2022-11-11 09:22,675,5645
2022-11-11 12:51,693,5802
2022-11-11 15:25,705,6100
2022-11-11 18:29,729,6396
2022-11-11 21:20,741,6574
2022-11-12 01:59,759,6889
2022-11-12 03:54,764,6972
2022-11-12 06:27,765,7003
2022-11-12 09:21,766,7007
2022-11-12 12:39,771,7093
2022-11-12 15:23,780,7278
2022-11-12 18:26,790,7541
2022-11-12 21:19,796,7717
2022-11-13 01:59,807,8055
2022-11-13 03:55,818,8334
2022-11-13 06:27,822,8382
2022-11-13 09:21,824,8393
2022-11-13 12:41,837,8475
2022-11-13 15:22,852,8664
2022-11-13 18:26,860,8923
2022-11-13 21:19,870,9098
2022-11-14 01:58,900,9659
2022-11-14 03:58,913,9975
2022-11-14 06:29,919,10084
2022-11-14 09:23,920,10133
2022-11-14 12:53,922,10519
2022-11-14 15:25,926,10923
2022-11-14 18:27,930,11362
2022-11-14 21:21,933,11762
2022-11-15 01:56,959,12679
