updated_at,users,statuses
2022-11-04 10:13,70,5550
2022-11-04 13:09,70,5552
2022-11-04 15:25,70,5555
2022-11-04 18:28,70,5558
2022-11-04 21:19,70,5564
2022-11-05 02:03,70,5566
2022-11-05 03:49,70,5565
2022-11-05 06:27,70,5565
2022-11-05 09:21,70,5572
2022-11-05 12:38,70,5575
2022-11-05 15:21,70,5575
2022-11-05 18:26,70,5580
2022-11-05 21:18,70,5582
2022-11-06 02:06,70,5582
2022-11-06 03:50,70,5582
2022-11-06 06:27,70,5582
2022-11-06 09:22,70,5582
2022-11-06 12:40,70,5584
2022-11-06 15:24,70,5589
2022-11-06 18:26,70,5600
2022-11-06 21:19,70,5625
2022-11-07 02:00,70,5621
2022-11-07 04:00,70,5621
2022-11-07 06:28,70,5622
2022-11-07 09:22,70,5641
2022-11-07 12:50,70,5662
2022-11-07 15:24,70,5675
2022-11-07 18:27,70,5682
2022-11-07 21:22,70,5690
2022-11-08 02:00,70,5692
2022-11-08 04:00,70,5691
2022-11-08 06:30,70,5708
2022-11-08 09:23,71,5718
2022-11-08 12:51,71,5734
2022-11-08 15:24,71,5742
2022-11-08 18:32,71,5754
2022-11-08 21:20,71,5768
2022-11-09 02:11,72,5771
2022-11-09 04:03,72,5767
2022-11-09 06:35,72,5772
2022-11-09 09:22,72,5798
2022-11-09 12:52,72,5821
2022-11-09 15:25,72,5833
2022-11-09 18:27,72,5857
2022-11-09 21:23,72,5862
2022-11-10 02:04,72,5863
2022-11-10 03:56,72,5863
2022-11-10 06:28,72,5866
2022-11-10 09:23,72,5874
2022-11-10 12:52,72,5883
2022-11-10 15:23,72,5889
2022-11-10 18:28,72,5898
2022-11-10 21:21,72,5904
2022-11-11 02:04,72,5868
2022-11-11 03:56,72,5868
2022-11-11 06:32,72,5868
2022-11-11 09:22,72,5878
2022-11-11 12:51,72,5881
2022-11-11 15:25,72,5887
2022-11-11 18:29,72,5913
2022-11-11 21:20,72,5918
2022-11-12 01:59,72,5914
2022-11-12 03:54,72,5914
2022-11-12 06:27,72,5912
2022-11-12 09:21,72,5911
2022-11-12 12:39,72,5913
2022-11-12 15:23,72,5921
2022-11-12 18:26,72,5928
2022-11-12 21:19,72,5936
2022-11-13 01:59,72,5940
2022-11-13 03:55,72,5940
2022-11-13 06:27,72,5940
2022-11-13 09:21,72,5939
