updated_at,users,statuses
2022-11-07 18:27,2,14
2022-11-07 21:22,3,23
2022-11-08 02:00,3,36
2022-11-08 04:00,4,37
2022-11-08 06:30,4,40
2022-11-08 09:23,4,58
2022-11-08 12:51,4,73
2022-11-08 15:24,5,91
2022-11-08 18:32,5,97
2022-11-08 21:20,6,113
2022-11-09 02:11,6,117
2022-11-09 04:03,6,117
2022-11-09 06:35,6,126
2022-11-09 09:22,6,144
2022-11-09 12:52,6,153
2022-11-09 15:25,6,163
2022-11-09 18:27,6,178
2022-11-09 21:23,6,197
2022-11-10 02:04,6,207
2022-11-10 03:56,7,207
2022-11-10 06:28,7,207
2022-11-10 09:23,7,211
2022-11-10 12:52,7,220
2022-11-10 15:23,7,220
2022-11-10 18:28,7,241
2022-11-10 21:21,8,251
2022-11-11 02:04,9,263
2022-11-11 03:56,9,267
2022-11-11 06:32,9,269
2022-11-11 09:22,10,273
2022-11-11 12:51,10,295
2022-11-11 15:25,10,310
2022-11-11 18:29,10,315
2022-11-11 21:20,10,322
2022-11-12 01:59,10,326
2022-11-12 03:54,10,326
2022-11-12 06:27,10,326
2022-11-12 09:21,10,330
2022-11-12 12:39,11,346
2022-11-12 15:23,11,382
2022-11-12 18:26,11,384
2022-11-12 21:19,11,389
2022-11-13 01:59,11,400
2022-11-13 03:55,11,400
2022-11-13 06:27,11,400
2022-11-13 09:21,11,407
2022-11-13 12:41,11,429
2022-11-13 15:22,11,444
2022-11-13 18:26,11,479
2022-11-13 21:19,11,511
2022-11-14 01:58,11,528
2022-11-14 03:58,11,528
2022-11-14 06:29,12,530
2022-11-14 09:23,12,539
2022-11-14 12:53,12,533
2022-11-14 15:25,12,536
2022-11-14 18:27,12,544
2022-11-14 21:21,12,560
2022-11-15 01:56,12,565
2022-11-15 03:47,12,565
2022-11-15 06:26,12,565
2022-11-15 09:21,12,571
2022-11-15 12:44,12,577
2022-11-15 15:23,12,591
2022-11-15 18:27,12,591
2022-11-15 21:19,13,602
2022-11-16 01:57,13,611
2022-11-16 03:48,13,611
2022-11-16 06:26,13,613
2022-11-16 09:21,13,614
2022-11-16 12:43,14,615
2022-11-16 15:22,14,626
2022-11-16 18:26,14,633
2022-11-16 21:18,14,648
2022-11-17 01:56,14,657
2022-11-17 03:43,14,657
2022-11-17 06:27,14,657
2022-11-17 09:21,14,668
2022-11-17 12:45,14,677
2022-11-17 15:22,14,676
2022-11-17 18:26,14,681
2022-11-17 21:18,15,683
2022-11-18 02:01,16,692
2022-11-18 03:43,16,692
2022-11-18 06:27,16,693
2022-11-18 09:21,18,718
2022-11-18 12:40,21,744
2022-11-18 15:22,22,807
2022-11-18 18:28,23,838
2022-11-18 21:18,23,880
2022-11-19 01:53,23,894
2022-11-19 03:41,23,894
2022-11-19 06:26,23,899
2022-11-19 09:19,24,910
2022-11-19 12:37,24,920
2022-11-19 15:21,24,934
2022-11-19 18:25,24,996
2022-11-19 21:18,25,1038
2022-11-20 02:01,25,1095
2022-11-20 03:46,25,1095
2022-11-20 06:26,26,1104
2022-11-20 09:19,26,1115
2022-11-20 12:38,28,1132
2022-11-20 15:20,29,1149
2022-11-20 18:25,29,1164
2022-11-20 21:18,29,1204
2022-11-21 01:57,29,1214
2022-11-21 07:13,29,1215
2022-11-21 09:22,29,1228
2022-11-21 13:51,29,1246
2022-11-21 15:23,29,1250
2022-11-21 18:27,29,1264
2022-11-21 21:21,29,1285
2022-11-22 01:59,30,1294
2022-11-22 03:40,30,1294
2022-11-22 06:27,30,1295
2022-11-22 09:21,30,1312
2022-11-22 12:43,30,1327
2022-11-22 15:23,30,1353
2022-11-22 18:26,31,1380
2022-11-22 21:17,31,1398
2022-11-23 01:46,32,1404
2022-11-23 03:34,32,1404
2022-11-23 06:25,32,1407
2022-11-23 09:19,32,1425
