updated_at,users,statuses
2022-11-04 10:13,546,28402
2022-11-04 13:09,546,28404
2022-11-04 15:25,546,28410
2022-11-04 18:28,546,28418
2022-11-04 21:19,546,28419
2022-11-05 02:03,546,28421
2022-11-05 03:49,546,28422
2022-11-05 06:27,546,28425
2022-11-05 09:21,546,28430
2022-11-05 12:38,546,28462
2022-11-05 15:21,546,28473
2022-11-05 18:26,546,28488
2022-11-05 21:18,546,28491
2022-11-06 02:06,546,28491
2022-11-06 03:50,546,28494
2022-11-06 06:27,546,28496
2022-11-06 09:22,546,28500
2022-11-06 12:40,546,28506
2022-11-06 15:24,546,28519
2022-11-06 18:26,546,28533
2022-11-06 21:19,546,28534
2022-11-07 02:00,546,28539
2022-11-07 04:00,546,28540
2022-11-07 06:28,546,28546
2022-11-07 09:22,546,28553
2022-11-07 12:50,546,28556
2022-11-07 15:24,546,28558
2022-11-07 18:27,546,28566
2022-11-07 21:22,546,28566
2022-11-08 02:00,546,28571
2022-11-08 04:00,546,28571
2022-11-08 06:30,547,28572
2022-11-08 09:23,547,28574
2022-11-08 12:51,547,28574
2022-11-08 15:24,547,28574
2022-11-08 18:32,547,28586
2022-11-08 21:20,547,28588
2022-11-09 02:11,547,28591
2022-11-09 04:03,547,28591
2022-11-09 06:35,547,28594
2022-11-09 09:22,547,28597
2022-11-09 12:52,547,28608
2022-11-09 15:25,547,28614
2022-11-09 18:27,547,28620
2022-11-09 21:23,547,28622
2022-11-10 02:04,547,28624
2022-11-10 03:56,547,28624
2022-11-10 06:28,547,28625
2022-11-10 09:23,547,28625
2022-11-10 12:52,547,28628
2022-11-10 15:23,547,28631
2022-11-10 18:28,547,28636
2022-11-10 21:21,547,28636
2022-11-11 02:04,547,28639
2022-11-11 03:56,547,28640
2022-11-11 06:32,547,28639
2022-11-11 09:22,547,28647
2022-11-11 12:51,547,28649
2022-11-11 15:25,547,28652
2022-11-11 18:29,547,28654
2022-11-11 21:20,547,28654
