updated_at,users,statuses
2022-11-21 09:22,2,418
2022-11-21 13:51,2,421
2022-11-21 15:23,2,421
2022-11-21 18:27,2,421
2022-11-21 21:21,2,425
2022-11-22 01:59,2,429
2022-11-22 03:40,2,428
2022-11-22 06:27,2,431
2022-11-22 09:21,2,431
2022-11-22 12:43,2,431
2022-11-22 15:23,2,438
2022-11-22 18:26,2,439
2022-11-22 21:17,2,447
2022-11-23 01:46,2,456
2022-11-23 03:34,2,456
2022-11-23 06:25,2,462
2022-11-23 09:19,2,462
2022-11-23 12:40,2,462
2022-11-23 15:21,2,467
2022-11-23 18:24,2,471
2022-11-23 21:17,2,472
2022-11-24 01:49,2,474
2022-11-24 03:29,2,475
2022-11-24 06:25,2,478
2022-11-24 09:19,2,478
2022-11-24 12:40,2,478
2022-11-24 15:20,2,481
2022-11-24 18:25,2,485
2022-11-24 21:17,2,485
2022-11-25 01:46,2,487
2022-11-25 03:37,2,487
2022-11-25 06:26,2,489
2022-11-25 09:19,2,489
2022-11-25 12:39,2,489
2022-11-25 15:20,2,489
2022-11-25 18:25,2,501
2022-11-26 01:41,2,504
2022-11-26 06:24,2,508
2022-11-26 09:18,2,508
2022-11-26 12:35,2,508
2022-11-26 18:23,2,512
2022-11-26 21:17,2,515
2022-11-27 01:51,2,519
2022-11-27 03:40,2,519
2022-11-27 06:24,2,519
2022-11-27 09:18,2,519
2022-11-27 12:35,2,520
2022-11-27 21:17,2,529
2022-11-28 01:44,2,530
2022-11-28 06:26,2,556
2022-11-28 09:20,2,556
2022-11-28 12:38,2,556
2022-11-28 15:18,2,560
2022-11-28 18:25,2,560
2022-11-28 21:18,2,560
2022-11-29 01:44,2,560
2022-11-29 03:30,2,564
2022-11-29 06:26,2,568
2022-11-29 09:19,2,568
2022-11-29 12:39,2,568
2022-11-29 15:21,2,572
2022-11-29 18:23,2,573
2022-11-29 21:18,2,575
2022-11-30 01:45,2,579
2022-11-30 03:27,2,582
2022-11-30 06:25,2,582
2022-11-30 09:20,2,582
2022-11-30 12:41,2,582
2022-11-30 15:22,2,582
2022-11-30 18:25,2,582
2022-11-30 21:18,2,583
2022-12-01 01:56,2,595
2022-12-01 03:38,2,595
2022-12-01 06:26,2,599
2022-12-01 09:20,2,599
2022-12-01 12:42,2,599
2022-12-01 15:21,2,602
2022-12-01 18:25,2,606
2022-12-01 21:15,2,608
2022-12-02 01:37,2,609
2022-12-02 03:24,2,609
2022-12-02 06:24,2,609
2022-12-02 09:18,2,609
2022-12-02 12:35,2,609
2022-12-02 15:17,2,609
2022-12-02 18:22,2,609
2022-12-02 21:16,2,610
2022-12-03 01:27,2,610
2022-12-03 03:20,2,610
2022-12-03 06:22,2,613
2022-12-03 09:17,2,613
2022-12-03 12:33,2,613
2022-12-03 15:18,2,617
2022-12-03 18:22,2,618
2022-12-03 21:15,2,618
2022-12-04 01:39,2,620
2022-12-04 03:20,2,620
2022-12-04 06:22,2,620
2022-12-04 09:17,2,620
2022-12-04 12:35,2,622
2022-12-04 15:18,2,629
2022-12-04 18:27,2,631
2022-12-04 21:16,2,631
2022-12-05 01:38,2,633
2022-12-05 03:20,2,633
2022-12-05 06:24,2,633
2022-12-05 09:19,2,633
2022-12-05 12:37,2,633
2022-12-05 15:20,2,634
2022-12-05 18:23,2,635
2022-12-05 21:17,2,635
2022-12-06 01:35,2,638
2022-12-06 03:41,2,638
2022-12-06 06:24,2,639
2022-12-06 09:18,2,639
2022-12-06 12:38,2,639
2022-12-06 15:20,2,646
2022-12-06 18:38,2,646
2022-12-06 21:16,2,646
2022-12-07 01:41,2,655
2022-12-07 03:24,2,656
2022-12-07 09:18,2,657
2022-12-07 12:36,2,658
2022-12-07 15:20,2,662
2022-12-07 18:24,2,665
2022-12-07 21:17,2,665
2022-12-08 01:37,2,665
2022-12-08 03:21,2,666
2022-12-08 06:25,2,666
2022-12-08 09:18,2,666
2022-12-08 12:36,2,666
2022-12-08 15:19,2,666
2022-12-08 18:23,2,675
2022-12-08 21:17,2,687
2022-12-09 01:40,2,692
2022-12-09 03:22,2,692
2022-12-09 06:23,2,696
2022-12-09 09:18,2,696
2022-12-09 12:35,2,697
2022-12-09 15:18,2,697
2022-12-09 18:45,2,697
2022-12-09 21:17,2,700
2022-12-10 01:34,2,705
2022-12-10 03:20,2,705
2022-12-10 06:23,2,705
2022-12-10 09:17,2,705
2022-12-10 12:33,2,705
2022-12-10 15:18,2,705
2022-12-10 18:22,2,705
2022-12-10 21:31,2,705
2022-12-11 01:44,2,710
2022-12-11 03:24,2,710
2022-12-11 06:23,2,711
2022-12-11 09:17,2,711
2022-12-11 12:34,2,711
2022-12-11 15:19,2,711
2022-12-11 19:14,2,711
2022-12-11 21:16,2,711
2022-12-12 01:40,2,712
2022-12-12 03:24,2,712
2022-12-12 06:24,2,713
2022-12-12 09:19,2,713
2022-12-12 12:37,2,713
2022-12-12 15:20,2,714
2022-12-12 18:24,2,714
2022-12-12 21:17,2,715
2022-12-13 01:43,2,719
2022-12-13 03:27,2,719
2022-12-13 06:25,2,720
2022-12-13 09:19,2,720
2022-12-13 12:37,2,723
2022-12-13 15:24,2,724
2022-12-13 18:23,2,726
2022-12-13 21:17,2,726
2022-12-14 01:40,2,727
2022-12-14 03:23,2,727
2022-12-14 06:24,2,727
2022-12-14 09:18,2,727
2022-12-14 12:37,2,728
2022-12-14 15:20,2,730
2022-12-14 18:23,2,730
2022-12-14 21:17,2,734
2022-12-15 01:41,2,736
2022-12-15 03:24,2,736
2022-12-15 06:24,2,736
2022-12-15 09:19,2,736
2022-12-15 12:36,2,736
2022-12-15 15:20,2,738
2022-12-15 18:21,2,738
2022-12-15 21:15,2,740
2022-12-16 01:26,2,743
2022-12-16 09:17,2,756
2022-12-16 12:33,2,756
2022-12-16 15:20,2,756
2022-12-16 18:22,2,758
2022-12-16 21:16,2,760
2022-12-17 01:24,2,760
2022-12-17 03:19,2,762
2022-12-17 06:21,2,774
2022-12-17 09:16,2,774
2022-12-17 12:31,2,774
2022-12-17 15:17,2,774
2022-12-17 18:20,2,778
2022-12-17 21:14,2,781
2022-12-18 01:27,2,783
2022-12-18 03:19,2,786
2022-12-18 06:21,2,787
2022-12-18 09:16,2,787
2022-12-18 12:32,2,787
2022-12-18 15:17,2,790
2022-12-18 18:20,2,793
2022-12-18 21:14,2,796
2022-12-19 01:24,2,798
2022-12-19 03:19,2,798
2022-12-19 06:23,2,804
2022-12-19 09:18,2,806
2022-12-20 01:28,2,827
2022-12-20 03:19,2,826
2022-12-20 06:24,2,829
2022-12-20 09:18,2,829
2022-12-20 12:35,2,829
2022-12-20 15:20,2,830
2022-12-20 18:22,2,830
2022-12-20 21:16,2,838
2022-12-21 01:25,2,839
2022-12-21 03:20,2,843
2022-12-21 12:18,2,843
2022-12-21 12:35,2,843
2022-12-21 15:20,2,843
2022-12-21 18:22,2,843
2022-12-21 21:16,2,843
2022-12-22 01:32,2,846
2022-12-22 03:19,2,848
2022-12-22 06:23,2,853
2022-12-22 09:17,2,853
2022-12-22 12:35,2,854
2022-12-22 15:20,2,858
2022-12-22 18:23,2,858
