updated_at,users,statuses
2022-11-04 10:13,2,417
2022-11-04 13:09,2,417
2022-11-04 15:25,2,417
2022-11-04 18:28,2,419
2022-11-04 21:19,2,419
2022-11-05 02:03,2,419
2022-11-05 03:49,2,418
2022-11-05 06:27,2,418
2022-11-05 09:21,2,418
2022-11-05 12:38,2,419
2022-11-05 15:21,2,420
2022-11-05 18:26,2,417
2022-11-05 21:18,2,417
2022-11-06 02:06,2,417
2022-11-06 03:50,2,417
2022-11-06 06:27,2,416
2022-11-06 09:22,2,421
2022-11-06 12:40,2,422
2022-11-06 15:24,2,422
2022-11-06 18:26,2,426
2022-11-06 21:19,2,427
2022-11-07 02:00,2,427
2022-11-07 04:00,2,426
2022-11-07 06:28,2,426
2022-11-07 09:22,2,429
2022-11-07 12:50,2,429
2022-11-07 15:24,2,429
2022-11-07 18:27,2,430
2022-11-07 21:22,2,430
2022-11-08 02:00,2,430
2022-11-08 04:00,2,430
2022-11-08 06:30,2,430
2022-11-08 09:23,2,430
2022-11-08 12:51,2,431
2022-11-08 15:24,2,431
2022-11-08 18:32,2,433
2022-11-08 21:20,2,434
2022-11-09 02:11,2,436
2022-11-09 04:03,2,436
2022-11-09 06:35,2,436
2022-11-09 09:22,2,436
2022-11-09 12:52,2,436
2022-11-09 15:25,2,437
2022-11-09 18:27,2,438
2022-11-09 21:23,2,437
2022-11-10 02:04,2,437
2022-11-10 03:56,2,435
2022-11-10 06:28,2,436
2022-11-10 09:23,2,435
2022-11-10 12:52,2,435
2022-11-10 15:23,2,435
2022-11-10 18:28,2,437
2022-11-10 21:21,2,437
2022-11-11 02:04,2,437
2022-11-11 03:56,2,437
2022-11-11 06:32,2,433
2022-11-11 09:22,2,433
2022-11-11 12:51,2,433
2022-11-11 15:25,2,433
2022-11-11 18:29,2,436
2022-11-11 21:20,2,436
2022-11-12 01:59,2,436
2022-11-12 03:54,2,436
2022-11-12 06:27,2,436
2022-11-12 09:21,2,436
2022-11-12 12:39,2,442
2022-11-12 15:23,2,452
2022-11-12 18:26,2,448
2022-11-12 21:19,2,448
2022-11-13 01:59,2,448
2022-11-13 03:55,2,448
