updated_at,users,statuses
2022-11-21 09:22,1,47
2022-11-21 13:51,1,47
2022-11-21 15:23,1,51
2022-11-21 18:27,1,51
2022-11-21 21:21,1,53
2022-11-22 01:59,1,54
2022-11-22 03:40,1,54
2022-11-22 06:27,1,54
2022-11-22 09:21,1,54
2022-11-22 12:43,1,54
2022-11-22 15:23,1,54
2022-11-22 18:26,1,54
2022-11-22 21:17,1,54
2022-11-23 01:46,1,54
2022-11-23 03:34,1,54
2022-11-23 06:25,1,56
2022-11-23 09:19,1,56
2022-11-23 12:40,1,56
2022-11-23 15:21,1,57
2022-11-23 18:24,1,57
2022-11-23 21:17,1,57
2022-11-24 01:49,1,60
2022-11-24 03:29,1,60
2022-11-24 06:25,1,60
2022-11-24 09:19,1,60
2022-11-24 12:40,1,60
2022-11-24 15:20,1,60
2022-11-24 18:25,1,61
2022-11-24 21:17,1,61
2022-11-25 01:46,1,61
2022-11-25 03:37,1,61
2022-11-25 06:26,1,61
2022-11-25 09:19,1,61
2022-11-25 12:39,1,61
2022-11-25 15:20,1,61
2022-11-25 18:25,1,61
2022-11-25 21:17,1,61
2022-11-26 01:41,2,68
2022-11-26 03:26,2,68
2022-11-26 06:24,2,70
2022-11-26 09:18,2,70
2022-11-26 12:35,2,70
2022-11-26 15:19,2,70
2022-11-26 18:23,2,73
2022-11-26 21:17,2,73
2022-11-27 01:51,2,73
2022-11-27 03:40,2,73
2022-11-27 06:24,2,76
2022-11-27 09:18,2,76
2022-11-27 12:35,2,76
2022-11-27 15:19,2,77
2022-11-27 18:23,3,79
2022-11-27 21:17,3,82
2022-11-28 01:44,3,92
2022-11-28 03:31,3,95
2022-11-28 06:26,3,113
2022-11-28 09:20,3,115
2022-11-28 12:38,3,117
2022-11-28 15:18,3,122
2022-11-28 18:25,3,127
2022-11-28 21:18,3,133
2022-11-29 01:44,3,148
2022-11-29 03:30,3,153
2022-11-29 06:26,3,157
2022-11-29 09:19,3,158
2022-11-29 12:39,3,161
2022-11-29 15:21,3,168
2022-11-29 18:23,3,184
2022-11-29 21:18,3,202
2022-11-30 01:45,3,209
2022-11-30 03:27,3,215
2022-11-30 06:25,3,222
2022-11-30 09:20,3,224
2022-11-30 12:41,3,229
2022-11-30 15:22,3,235
2022-11-30 18:25,3,235
2022-11-30 21:18,3,235
2022-12-01 01:56,3,236
2022-12-01 03:38,3,236
2022-12-01 06:26,3,282
2022-12-01 09:20,3,322
2022-12-01 12:42,3,383
2022-12-01 15:21,3,416
2022-12-01 18:25,3,457
2022-12-01 21:15,3,536
2022-12-02 01:37,3,756
2022-12-02 03:24,3,796
2022-12-02 06:24,3,849
2022-12-02 09:18,3,858
2022-12-02 12:35,3,912
2022-12-02 15:17,3,974
2022-12-02 18:22,3,1114
2022-12-02 21:16,3,1212
2022-12-03 01:27,3,1294
2022-12-03 03:20,3,1337
2022-12-03 06:22,3,1394
2022-12-03 09:17,3,1412
2022-12-03 12:33,3,1424
2022-12-03 15:18,3,1455
2022-12-03 18:22,3,1542
2022-12-03 21:15,3,1589
2022-12-04 01:39,3,1665
2022-12-04 03:20,3,1706
2022-12-04 06:22,3,1730
2022-12-04 09:17,3,1753
2022-12-04 12:35,3,1778
2022-12-04 15:18,3,1802
2022-12-04 18:27,3,1886
2022-12-04 21:16,3,1975
2022-12-05 01:38,3,2040
2022-12-05 03:20,3,2082
2022-12-05 06:24,3,2141
2022-12-05 09:19,3,2167
2022-12-05 12:37,3,2185
2022-12-05 15:20,3,2213
2022-12-05 18:23,3,2320
2022-12-05 21:17,3,2373
2022-12-06 01:35,3,2450
2022-12-06 03:41,3,2475
2022-12-06 06:24,3,2492
2022-12-06 09:18,3,2524
2022-12-06 12:38,3,2544
2022-12-06 15:20,3,2569
2022-12-06 18:38,3,2634
2022-12-06 21:16,3,2705
2022-12-07 01:41,3,2743
2022-12-07 03:24,3,2772
2022-12-07 09:18,3,2828
2022-12-07 12:36,3,2843
2022-12-07 15:20,3,2871
2022-12-07 18:24,3,2929
2022-12-07 21:17,3,3028
2022-12-08 01:37,3,3131
2022-12-08 03:21,3,3168
2022-12-08 06:25,3,3177
2022-12-08 09:18,3,3171
2022-12-08 12:36,3,3122
2022-12-08 15:19,3,3148
2022-12-08 18:23,3,3196
2022-12-08 21:17,3,3191
2022-12-09 01:40,3,3074
2022-12-09 03:22,3,3095
2022-12-09 06:23,3,3149
2022-12-09 09:18,3,3167
2022-12-09 12:35,3,3148
2022-12-09 15:18,3,3138
2022-12-09 18:45,3,3107
2022-12-09 21:17,3,3074
2022-12-10 01:34,3,3073
2022-12-10 03:20,3,3076
2022-12-10 06:23,3,3046
2022-12-10 09:17,3,3066
2022-12-10 12:33,3,3064
2022-12-10 15:18,3,3061
2022-12-10 18:22,3,3029
2022-12-10 21:31,3,3092
2022-12-11 01:44,3,3081
2022-12-11 03:24,3,3081
2022-12-11 06:23,3,3075
2022-12-11 09:17,3,3069
2022-12-11 12:34,3,3058
2022-12-11 15:19,3,3074
2022-12-11 19:14,3,3093
2022-12-11 21:16,3,3074
2022-12-12 01:40,3,3085
2022-12-12 03:24,3,3045
2022-12-12 06:24,3,3021
2022-12-12 09:19,3,3058
2022-12-12 12:37,3,3075
2022-12-12 15:20,3,3117
2022-12-12 18:24,3,3051
2022-12-12 21:17,3,3074
2022-12-13 01:43,3,3098
2022-12-13 03:27,3,3095
2022-12-13 06:25,3,3084
2022-12-13 09:19,3,3077
2022-12-13 12:37,3,3113
2022-12-13 15:24,3,3124
2022-12-13 18:23,3,3074
2022-12-13 21:17,3,3131
2022-12-14 01:40,3,3171
2022-12-14 03:23,3,3170
2022-12-14 06:24,3,3145
2022-12-14 09:18,3,3149
2022-12-14 12:37,3,3183
2022-12-14 15:20,3,3187
2022-12-14 18:23,3,3192
2022-12-14 21:17,3,3227
2022-12-15 01:41,3,3169
2022-12-15 03:24,3,3150
