updated_at,users,statuses
2022-11-23 03:34,1,21
2022-11-23 06:25,1,21
2022-11-23 09:19,1,21
2022-11-23 12:40,1,36
2022-11-23 15:21,1,48
2022-11-23 18:24,1,66
2022-11-23 21:17,1,74
2022-11-24 01:49,1,100
2022-11-24 03:29,1,100
2022-11-24 06:25,1,100
2022-11-24 09:19,1,103
2022-11-24 12:40,1,120
2022-11-24 15:20,1,136
2022-11-24 18:25,1,146
2022-11-24 21:17,1,162
2022-11-25 01:46,1,179
2022-11-25 03:37,1,181
2022-11-25 06:26,1,181
2022-11-25 09:19,1,183
2022-11-25 12:39,1,198
2022-11-25 15:20,1,207
2022-11-25 18:25,1,221
2022-11-25 21:17,1,233
2022-11-26 01:41,1,241
2022-11-26 03:26,1,241
2022-11-26 06:24,1,241
2022-11-26 09:18,1,245
2022-11-26 12:35,1,264
2022-11-26 15:19,1,274
2022-11-26 18:23,1,295
2022-11-26 21:17,1,307
2022-11-27 01:51,1,329
2022-11-27 03:40,1,329
2022-11-27 06:24,1,329
2022-11-27 09:18,1,332
2022-11-27 12:35,1,345
2022-11-27 15:19,1,357
2022-11-27 18:23,1,364
2022-11-27 21:17,1,370
2022-11-28 01:44,1,377
2022-11-28 03:31,1,378
2022-11-28 06:26,1,378
2022-11-28 09:20,1,383
2022-11-28 12:38,1,402
2022-11-28 15:18,1,407
2022-11-28 18:25,1,421
2022-11-28 21:18,1,433
2022-11-29 01:44,1,446
2022-11-29 03:30,1,446
2022-11-29 06:26,1,446
2022-11-29 09:19,1,454
2022-11-29 12:39,1,462
2022-11-29 15:21,1,468
2022-11-29 18:23,1,489
2022-11-29 21:18,1,500
2022-11-30 01:45,1,509
2022-11-30 03:27,1,509
2022-11-30 06:25,1,509
2022-11-30 09:20,1,514
2022-11-30 12:41,1,524
2022-11-30 15:22,1,526
2022-11-30 18:25,1,526
2022-11-30 21:18,1,528
2022-12-01 01:56,1,533
2022-12-01 03:38,1,533
2022-12-01 06:26,1,541
2022-12-01 09:20,1,541
2022-12-01 12:42,1,544
2022-12-01 15:21,1,547
2022-12-01 18:25,1,553
2022-12-01 21:15,1,557
2022-12-02 01:37,1,560
2022-12-02 03:24,1,560
2022-12-02 06:24,1,560
2022-12-02 09:18,1,560
2022-12-02 12:35,1,569
2022-12-02 15:17,1,576
2022-12-02 18:22,1,578
2022-12-02 21:16,1,586
2022-12-03 01:27,1,590
2022-12-03 03:20,1,590
2022-12-03 06:22,1,590
2022-12-03 09:17,1,591
2022-12-03 12:33,1,599
2022-12-03 15:18,1,599
2022-12-03 18:22,1,605
2022-12-03 21:15,1,605
2022-12-04 01:39,1,606
2022-12-04 03:20,1,606
2022-12-04 06:22,1,606
2022-12-04 09:17,1,610
2022-12-04 12:35,1,614
2022-12-04 15:18,1,616
2022-12-04 18:27,1,617
2022-12-04 21:16,1,617
2022-12-05 01:38,1,624
2022-12-05 03:20,1,624
2022-12-05 06:24,1,624
2022-12-05 09:19,1,624
2022-12-05 12:37,1,629
2022-12-05 15:20,1,634
2022-12-05 18:23,1,640
2022-12-05 21:17,1,652
2022-12-06 01:35,1,671
2022-12-06 03:41,1,672
2022-12-06 06:24,1,672
2022-12-06 09:18,1,676
2022-12-06 12:38,1,686
2022-12-06 15:20,1,686
2022-12-06 18:38,1,694
2022-12-06 21:16,1,704
2022-12-07 01:41,1,714
2022-12-07 03:24,1,714
2022-12-07 09:18,1,716
2022-12-07 12:36,1,719
2022-12-07 15:20,1,725
2022-12-07 18:24,1,739
2022-12-07 21:17,1,746
2022-12-08 01:37,1,750
2022-12-08 03:21,1,750
2022-12-08 06:25,1,750
2022-12-08 09:18,1,760
2022-12-08 12:36,1,769
2022-12-08 15:19,1,774
2022-12-08 18:23,1,782
2022-12-08 21:17,1,790
2022-12-09 01:40,1,795
2022-12-09 03:22,1,797
2022-12-09 06:23,1,797
2022-12-09 09:18,1,798
2022-12-09 12:35,1,804
2022-12-09 15:18,1,811
2022-12-09 18:45,1,824
2022-12-09 21:17,1,832
2022-12-10 01:34,1,844
2022-12-10 03:20,1,844
2022-12-10 06:23,1,844
2022-12-10 09:17,1,844
2022-12-10 12:33,1,858
2022-12-10 15:18,1,866
2022-12-10 18:22,1,869
2022-12-10 21:31,1,874
2022-12-11 01:44,1,881
2022-12-11 03:24,1,881
2022-12-11 06:23,1,881
2022-12-11 09:17,1,883
2022-12-11 12:34,1,895
2022-12-11 15:19,1,905
2022-12-11 19:14,1,917
2022-12-11 21:16,1,931
2022-12-12 01:40,1,945
2022-12-12 03:24,1,949
2022-12-12 06:24,1,949
2022-12-12 09:19,1,951
2022-12-12 12:37,1,961
2022-12-12 15:20,1,968
2022-12-12 18:24,1,970
2022-12-12 21:17,1,976
2022-12-13 01:43,1,986
2022-12-13 03:27,1,986
2022-12-13 06:25,1,986
2022-12-13 09:19,1,991
2022-12-13 12:37,1,1014
2022-12-13 15:24,1,1026
2022-12-13 18:23,1,1033
2022-12-13 21:17,1,1047
2022-12-14 01:40,1,1048
2022-12-14 03:23,1,1048
2022-12-14 06:24,1,1050
2022-12-14 09:18,1,1055
2022-12-14 12:37,1,1073
2022-12-14 15:20,1,1097
2022-12-14 18:23,1,1104
2022-12-14 21:17,1,1111
2022-12-15 01:41,1,1124
2022-12-15 03:24,1,1124
2022-12-15 06:24,1,1123
2022-12-15 09:19,1,1133
2022-12-15 12:36,1,1151
2022-12-15 15:20,1,1155
2022-12-15 18:21,1,1163
2022-12-15 21:15,1,1170
2022-12-16 01:26,1,1175
2022-12-16 09:17,1,1195
2022-12-16 12:33,1,1201
2022-12-16 15:20,1,1201
2022-12-16 18:22,1,1208
2022-12-16 21:16,1,1222
2022-12-17 01:24,1,1238
2022-12-17 03:19,1,1238
2022-12-17 06:21,1,1238
2022-12-17 09:16,1,1238
2022-12-17 12:31,1,1253
2022-12-17 15:17,1,1256
2022-12-17 18:20,1,1270
2022-12-17 21:14,1,1277
2022-12-18 01:27,1,1284
2022-12-18 03:19,1,1284
2022-12-18 06:21,1,1288
2022-12-18 09:16,1,1294
2022-12-18 12:32,1,1310
2022-12-18 15:17,1,1314
2022-12-18 18:20,1,1327
2022-12-18 21:14,1,1345
2022-12-19 01:24,1,1351
2022-12-19 03:19,1,1351
2022-12-19 06:23,1,1351
2022-12-19 09:18,1,1360
2022-12-20 01:28,1,1383
2022-12-20 03:19,1,1383
2022-12-20 06:24,1,1383
2022-12-20 09:18,1,1391
2022-12-20 12:35,1,1399
2022-12-20 15:20,1,1415
2022-12-20 18:22,1,1427
2022-12-20 21:16,1,1444
2022-12-21 01:25,1,1452
2022-12-21 03:20,1,1452
2022-12-21 12:18,1,1462
2022-12-21 12:35,1,1462
2022-12-21 15:20,1,1476
2022-12-21 18:22,1,1506
2022-12-21 21:16,1,1518
2022-12-22 01:32,1,1528
2022-12-22 03:19,1,1528
2022-12-22 06:23,1,1535
2022-12-22 09:17,1,1535
2022-12-22 12:35,1,1557
2022-12-22 15:20,1,1569
2022-12-22 18:23,1,1587
2022-12-22 21:16,1,1599
2022-12-23 01:27,1,1619
2022-12-23 03:20,1,1619
2022-12-23 06:23,1,1624
2022-12-23 09:17,1,1624
2022-12-23 12:34,1,1632
2022-12-23 15:18,1,1634
2022-12-23 18:22,1,1657
2022-12-23 21:15,1,1670
2022-12-24 01:21,1,1678
2022-12-24 03:19,1,1683
