updated_at,users,statuses
2022-12-08 12:36,2,3
2022-12-13 06:25,2,1
2022-12-13 09:19,2,1
2022-12-13 12:37,2,1
2022-12-13 15:24,2,1
2022-12-13 18:23,2,1
2022-12-13 21:17,2,1
2022-12-14 01:40,2,1
2022-12-14 03:23,2,1
2022-12-15 18:21,37,5
2022-12-16 09:17,37,13
2022-12-16 12:33,37,17
2022-12-16 15:20,37,18
2022-12-16 18:22,37,23
2022-12-16 21:16,37,27
2022-12-17 01:24,37,29
2022-12-17 03:19,37,29
2022-12-17 06:21,37,34
2022-12-17 09:16,37,42
2022-12-17 12:31,37,42
2022-12-17 15:17,37,54
2022-12-17 18:20,37,76
2022-12-17 21:14,37,95
2022-12-18 01:27,37,104
2022-12-18 03:19,37,104
2022-12-18 06:21,38,113
2022-12-18 09:16,38,124
2022-12-18 12:32,38,153
2022-12-18 15:17,39,185
2022-12-18 18:20,39,256
2022-12-18 21:14,39,307
2022-12-19 01:24,39,309
2022-12-19 03:19,39,309
2022-12-19 06:23,39,323
2022-12-19 09:18,39,339
2022-12-20 01:28,39,677
2022-12-20 03:19,39,707
2022-12-20 06:24,40,755
2022-12-20 09:18,40,1269
2022-12-20 12:35,40,1292
2022-12-20 15:20,41,1339
2022-12-20 18:22,41,1357
2022-12-20 21:16,41,1378
2022-12-21 01:25,41,1383
2022-12-21 03:20,41,1386
2022-12-21 06:23,41,1394
2022-12-21 09:18,41,1434
2022-12-21 12:18,41,1443
2022-12-21 12:35,41,1443
2022-12-21 15:20,41,1481
2022-12-21 18:22,41,1497
2022-12-21 21:16,41,1521
2022-12-22 01:32,41,1526
2022-12-22 03:19,41,1531
2022-12-22 06:23,41,1542
2022-12-22 09:17,41,1583
2022-12-22 12:35,41,1598
2022-12-22 15:20,41,1628
2022-12-22 18:23,41,1646
2022-12-22 21:16,41,1664
2022-12-23 01:27,41,1670
2022-12-23 03:20,41,1673
2022-12-23 06:23,41,1686
2022-12-23 09:17,41,1718
2022-12-23 12:34,41,1733
2022-12-23 15:18,41,1760
2022-12-23 18:22,41,1776
2022-12-23 21:15,41,1803
2022-12-24 01:21,41,1809
2022-12-24 03:19,41,1813
2022-12-24 06:21,41,1830
2022-12-24 09:16,41,1870
2022-12-24 12:31,41,1883
2022-12-24 15:17,41,1915
2022-12-24 18:21,41,1929
2022-12-24 21:15,41,1956
2022-12-25 01:37,41,1962
2022-12-25 03:19,41,1967
2022-12-25 06:21,41,1980
2022-12-25 09:16,41,2011
2022-12-25 12:32,41,2031
2022-12-25 15:17,41,2044
2022-12-25 18:21,41,2086
2022-12-25 21:15,41,2108
2022-12-26 01:33,41,2110
2022-12-26 03:20,41,2114
2022-12-26 06:23,41,2125
2022-12-26 09:17,41,2168
2022-12-26 12:33,41,2182
2022-12-26 15:18,41,2211
2022-12-26 18:21,41,2229
2022-12-26 21:15,41,2253
2022-12-27 01:26,41,2258
2022-12-27 03:19,41,2265
2022-12-27 06:23,41,2279
2022-12-27 09:17,41,2310
2022-12-27 12:34,42,2326
2022-12-27 15:18,42,2364
2022-12-27 18:22,42,2383
2022-12-27 21:15,42,2403
2022-12-28 01:26,42,2410
2022-12-28 03:20,42,2412
2022-12-28 06:23,42,2434
2022-12-28 09:17,42,2457
2022-12-28 12:33,42,2479
2022-12-28 15:18,42,2510
2022-12-28 18:22,42,2530
2022-12-28 21:16,42,2536
2022-12-29 01:34,42,2542
2022-12-29 03:20,42,2547
2022-12-29 06:22,42,2568
2022-12-29 09:17,42,2584
2022-12-29 12:33,42,2613
2022-12-29 18:22,43,2684
2022-12-29 21:16,43,2698
2022-12-30 01:34,43,2703
2022-12-30 03:20,43,2707
2022-12-30 06:23,43,2729
2022-12-30 09:17,43,2751
2022-12-30 12:32,43,2773
2022-12-30 15:18,43,2809
2022-12-30 18:21,43,2846
2022-12-30 21:15,43,2859
2022-12-31 01:26,43,2866
2022-12-31 03:19,43,2869
2022-12-31 06:21,43,2895
2022-12-31 09:16,43,2931
2022-12-31 12:31,43,2948
2022-12-31 15:17,43,2975
2022-12-31 18:21,43,3000
2022-12-31 21:15,43,3024
2023-01-01 01:48,43,3031
2023-01-01 03:24,43,3037
2023-01-01 06:22,43,3061
2023-01-01 09:17,43,3082
