updated_at,users,statuses
2022-11-11 02:04,1,0
2022-11-11 03:56,1,0
2022-11-11 06:32,1,0
2022-11-11 09:22,1,1
2022-11-11 12:51,1,1
2022-11-11 15:25,1,1
2022-11-11 18:29,1,1
2022-11-11 21:20,1,1
2022-11-12 01:59,1,1
2022-11-12 03:54,1,1
2022-11-12 06:27,1,1
2022-11-12 09:21,1,1
2022-11-12 12:39,1,1
2022-11-12 15:23,1,1
2022-11-12 18:26,1,1
2022-11-12 21:19,1,1
2022-11-13 01:59,1,1
2022-11-13 03:55,1,1
2022-11-13 06:27,1,1
2022-11-13 09:21,1,1
2022-11-13 12:41,1,1
2022-11-13 15:22,1,1
2022-11-13 18:26,1,1
2022-11-13 21:19,1,1
2022-11-14 01:58,1,1
2022-11-14 03:58,1,1
2022-11-14 06:29,1,1
2022-11-14 09:23,1,1
2022-11-14 12:53,1,1
2022-11-14 15:25,1,1
2022-11-14 18:27,1,1
2022-11-14 21:21,1,1
2022-11-15 01:56,1,1
2022-11-15 03:47,1,1
2022-11-15 06:26,1,1
2022-11-15 09:21,1,1
2022-11-15 12:44,1,1
2022-11-15 15:23,1,1
2022-11-15 18:27,1,1
2022-11-15 21:19,1,1
