updated_at,users,statuses
2022-11-21 07:13,4,34665
2022-11-21 09:22,4,34665
2022-11-21 13:51,4,34694
2022-11-21 15:23,4,34694
2022-11-21 18:27,4,34695
2022-11-21 21:21,4,34727
2022-11-22 01:59,4,34741
2022-11-22 03:40,4,34746
2022-11-22 06:27,4,34749
2022-11-22 09:21,4,34755
2022-11-22 12:43,4,34759
2022-11-22 15:23,4,34760
2022-11-22 18:26,4,34760
2022-11-22 21:17,4,34772
2022-11-23 01:46,4,34801
2022-11-23 03:34,4,34805
2022-11-23 06:25,4,34805
2022-11-23 09:19,4,34809
2022-11-23 12:40,4,34830
2022-11-23 15:21,4,34863
2022-11-23 18:24,4,34866
2022-11-23 21:17,4,34866
2022-11-24 01:49,4,34900
2022-11-24 03:29,4,34911
2022-11-24 06:25,4,34914
2022-11-24 09:19,4,34932
2022-11-24 12:40,4,34943
2022-11-24 15:20,4,34958
2022-11-24 18:25,4,34960
2022-11-24 21:17,4,34966
2022-11-25 01:46,4,34997
2022-11-25 03:37,4,35010
2022-11-25 06:26,4,35011
2022-11-25 09:19,4,35016
2022-11-25 12:39,4,35034
2022-11-25 15:20,4,35056
2022-11-25 18:25,4,35069
2022-11-25 21:17,4,35094
2022-11-27 15:19,4,35215
2022-11-27 18:23,4,35220
2022-11-27 21:17,4,35227
2022-11-28 01:44,4,35250
2022-11-28 03:31,4,35250
2022-11-28 06:26,4,35261
2022-11-28 09:20,4,35270
2022-11-28 12:38,4,35286
2022-11-28 15:18,4,35305
2022-11-28 18:25,4,35336
2022-11-28 21:18,4,35357
2022-11-29 01:44,4,35390
2022-11-29 03:30,4,35390
2022-11-29 06:26,4,35395
2022-11-29 09:19,4,35413
2022-11-29 12:39,4,35456
2022-11-29 15:21,4,35484
2022-11-29 18:23,4,35493
2022-11-29 21:18,4,35521
2022-11-30 01:45,4,35546
2022-11-30 03:27,4,35547
2022-11-30 06:25,4,35548
2022-11-30 09:20,4,35560
2022-11-30 12:41,4,35609
2022-11-30 15:22,4,35623
2022-11-30 18:25,4,35656
2022-11-30 21:18,4,35670
2022-12-01 01:56,4,35692
2022-12-01 03:38,4,35692
2022-12-01 06:26,4,35696
2022-12-01 09:20,4,35704
2022-12-01 12:42,4,35738
2022-12-01 15:21,4,35759
2022-12-01 18:25,4,35771
2022-12-01 21:15,4,35800
2022-12-02 01:37,4,35845
2022-12-02 03:24,4,35845
2022-12-02 06:24,4,35849
2022-12-02 09:18,4,35863
2022-12-02 12:35,4,35872
2022-12-02 15:17,4,35890
2022-12-02 18:22,4,35898
2022-12-02 21:16,4,35917
2022-12-03 01:27,4,35937
2022-12-03 03:20,4,35937
