updated_at,users,statuses
2022-11-21 09:22,10,95
2022-11-21 13:51,10,97
2022-11-21 15:23,10,97
2022-11-21 18:27,12,104
2022-11-21 21:21,14,118
2022-11-22 01:59,14,142
2022-11-22 03:40,14,145
2022-11-22 06:27,14,150
2022-11-22 09:21,14,150
2022-11-22 12:43,14,150
2022-11-22 15:23,14,158
2022-11-22 18:26,14,172
2022-11-22 21:17,14,183
2022-11-23 01:46,15,189
2022-11-23 03:34,15,194
2022-11-23 06:25,15,197
2022-11-23 09:19,15,197
2022-11-23 12:40,15,197
2022-11-23 15:21,15,205
2022-11-23 18:24,15,209
2022-11-23 21:17,15,217
2022-11-24 01:49,15,222
2022-11-24 03:29,15,222
2022-11-24 06:25,15,222
2022-11-24 09:19,15,222
2022-11-24 12:40,15,222
2022-11-24 15:20,15,223
