updated_at,users,statuses
2022-11-21 07:13,30,148
2022-11-21 09:22,30,149
2022-11-21 13:51,30,150
2022-11-21 15:23,30,150
2022-11-21 18:27,30,153
2022-11-21 21:21,30,156
2022-11-22 01:59,30,159
2022-11-22 03:40,30,159
2022-11-22 06:27,30,159
2022-11-22 09:21,31,164
2022-11-22 12:43,31,164
2022-11-22 15:23,31,168
2022-11-22 18:26,31,169
2022-11-22 21:17,31,172
2022-11-23 01:46,31,176
2022-11-23 03:34,31,176
2022-11-23 06:25,31,176
2022-11-23 09:19,32,176
2022-11-23 12:40,32,181
2022-11-23 15:21,32,183
2022-11-23 18:24,32,183
2022-11-23 21:17,32,184
2022-11-24 01:49,32,187
2022-11-24 03:29,32,187
2022-11-24 06:25,32,187
2022-11-24 09:19,32,187
2022-11-24 12:40,32,190
2022-11-24 15:20,32,190
2022-11-24 18:25,32,191
2022-11-24 21:17,33,194
2022-11-25 01:46,33,203
2022-11-25 03:37,33,203
2022-11-25 06:26,33,203
2022-11-25 09:19,33,203
2022-11-25 12:39,33,211
2022-11-25 15:20,33,214
2022-11-25 18:25,33,216
2022-11-25 21:17,33,216
2022-11-26 01:41,33,219
2022-11-26 03:26,33,219
2022-11-26 06:24,33,219
2022-11-26 09:18,33,219
2022-11-26 12:35,33,222
2022-11-26 15:19,33,224
2022-11-26 18:23,33,226
2022-11-26 21:17,33,226
2022-11-27 01:51,33,229
2022-11-27 03:40,33,229
2022-11-27 06:24,33,229
2022-11-27 09:18,33,229
2022-11-27 12:35,33,231
2022-11-27 15:19,33,232
2022-11-27 18:23,33,233
2022-11-27 21:17,33,233
2022-11-28 01:44,33,233
2022-11-28 03:31,33,233
2022-11-28 06:26,33,233
2022-11-28 09:20,33,233
2022-11-28 12:38,33,237
2022-11-28 15:18,33,238
2022-11-28 18:25,33,238
2022-11-28 21:18,33,239
2022-11-29 01:44,34,243
2022-11-29 03:30,34,243
2022-11-29 06:26,34,243
2022-11-29 09:19,34,245
2022-11-29 12:39,34,246
2022-11-29 15:21,34,246
2022-11-29 18:23,34,247
2022-11-29 21:18,34,251
2022-11-30 01:45,35,253
2022-11-30 03:27,35,253
2022-11-30 06:25,35,253
2022-11-30 09:20,35,253
2022-11-30 12:41,35,255
2022-11-30 15:22,35,255
2022-11-30 18:25,35,257
2022-11-30 21:18,36,260
2022-12-01 01:56,36,260
2022-12-01 03:38,36,260
2022-12-01 06:26,36,260
2022-12-01 09:20,36,260
2022-12-01 12:42,36,263
2022-12-01 15:21,36,263
2022-12-01 18:25,36,263
2022-12-01 21:15,36,263
2022-12-02 01:37,36,265
2022-12-02 03:24,36,265
2022-12-02 06:24,36,265
2022-12-02 09:18,36,265
2022-12-02 12:35,37,268
2022-12-02 15:17,38,268
2022-12-02 18:22,38,269
2022-12-02 21:16,38,269
2022-12-03 01:27,38,269
2022-12-03 03:20,38,269
2022-12-03 06:22,38,269
2022-12-03 09:17,38,269
2022-12-03 12:33,38,273
2022-12-03 15:18,38,275
2022-12-03 18:22,39,277
2022-12-03 21:15,39,277
2022-12-04 01:39,39,278
2022-12-04 03:20,39,278
2022-12-04 06:22,39,278
2022-12-04 09:17,39,280
2022-12-04 12:35,40,280
2022-12-04 15:18,40,280
2022-12-04 18:27,40,280
2022-12-04 21:16,40,280
2022-12-05 01:38,40,283
2022-12-05 03:20,40,283
2022-12-05 06:24,40,283
2022-12-05 09:19,40,284
2022-12-05 12:37,40,285
2022-12-05 15:20,40,287
2022-12-05 18:23,40,291
2022-12-05 21:17,41,291
2022-12-06 01:35,41,291
2022-12-06 03:41,41,291
2022-12-06 06:24,41,291
2022-12-06 09:18,41,295
2022-12-06 12:38,41,295
2022-12-06 15:20,41,297
2022-12-06 18:38,41,297
2022-12-06 21:16,41,297
2022-12-07 01:41,41,299
2022-12-07 03:24,41,299
2022-12-07 09:18,41,299
2022-12-07 12:36,41,299
2022-12-07 15:20,41,301
2022-12-07 18:24,41,301
2022-12-07 21:17,41,301
2022-12-08 01:37,41,301
2022-12-08 03:21,41,301
2022-12-08 06:25,41,301
2022-12-08 09:18,41,302
2022-12-08 12:36,41,304
2022-12-08 15:19,41,305
2022-12-08 18:23,42,305
2022-12-08 21:17,42,305
2022-12-09 01:40,43,306
2022-12-09 03:22,43,306
2022-12-09 06:23,43,306
2022-12-09 09:18,43,306
2022-12-09 12:35,43,307
