updated_at,users,statuses
2022-12-25 01:37,3,1
2022-12-25 03:19,3,1
2022-12-25 06:21,3,1
2022-12-25 09:16,3,1
2022-12-25 12:32,3,1
2022-12-25 15:17,3,1
2022-12-25 18:21,3,1
2022-12-25 21:15,3,1
2022-12-26 01:33,4,3
2022-12-26 03:20,4,3
2022-12-26 06:23,4,3
2022-12-26 09:17,4,3
2022-12-26 12:33,4,3
2022-12-26 15:18,4,3
2022-12-26 18:21,4,3
2022-12-26 21:15,4,3
2022-12-27 01:26,4,3
2022-12-27 03:19,4,3
2022-12-27 06:23,4,3
2022-12-27 09:17,4,3
2022-12-27 12:34,4,3
2022-12-27 15:18,4,3
2022-12-27 18:22,4,3
2022-12-27 21:15,4,3
2022-12-28 01:26,4,4
2022-12-28 03:20,6,11
2022-12-28 06:23,6,16
2022-12-28 09:17,6,16
2022-12-28 12:33,6,18
2022-12-28 15:18,6,18
2022-12-28 18:22,7,18
2022-12-28 21:16,7,19
2022-12-29 01:34,8,27
2022-12-29 03:20,8,38
2022-12-29 06:22,8,40
2022-12-29 09:17,8,40
2022-12-29 12:33,8,40
2022-12-29 15:18,8,40
2022-12-29 18:22,8,42
2022-12-29 21:16,8,42
2022-12-30 01:34,8,52
2022-12-30 03:20,8,52
2022-12-30 06:23,8,54
2022-12-30 09:17,8,54
2022-12-30 12:32,8,54
2022-12-30 15:18,8,54
2022-12-30 18:21,8,54
2022-12-30 21:15,8,55
