updated_at,users,statuses
2022-11-06 21:19,9,22
2022-11-07 02:00,10,31
2022-11-07 04:00,10,34
2022-11-07 06:28,10,34
2022-11-07 09:22,11,34
2022-11-07 12:50,11,52
2022-11-07 15:24,11,61
2022-11-07 18:27,11,70
2022-11-07 21:22,12,78
2022-11-08 02:00,12,90
2022-11-08 04:00,12,90
2022-11-08 06:30,12,90
2022-11-08 09:23,13,93
2022-11-08 12:51,17,125
2022-11-08 15:24,20,129
2022-11-08 18:32,20,136
2022-11-08 21:20,20,138
2022-11-09 02:11,20,143
2022-11-09 04:03,20,143
2022-11-09 06:35,20,143
2022-11-09 09:22,20,149
2022-11-09 12:52,21,169
2022-11-09 15:25,21,172
2022-11-09 18:27,21,177
2022-11-09 21:23,21,185
