updated_at,users,statuses
2022-11-12 21:19,1,1
2022-11-13 01:59,4,16
2022-11-13 03:55,4,16
2022-11-13 06:27,4,16
2022-11-13 09:21,4,24
2022-11-13 12:41,4,24
2022-11-13 15:22,4,36
2022-11-13 18:26,4,45
2022-11-13 21:19,5,47
2022-11-14 01:58,5,63
2022-11-14 03:58,5,63
2022-11-14 06:29,5,63
2022-11-14 09:23,5,63
2022-11-14 12:53,5,64
2022-11-14 15:25,5,64
2022-11-14 18:27,5,64
2022-11-14 21:21,5,64
2022-11-15 01:56,5,68
2022-11-15 03:47,5,68
2022-11-15 06:26,5,68
2022-11-15 09:21,5,68
2022-11-15 12:44,5,76
2022-11-15 15:23,5,76
2022-11-15 18:27,5,76
2022-11-15 21:19,5,76
2022-11-16 01:57,5,81
2022-11-16 03:48,5,81
2022-11-16 06:26,5,81
2022-11-16 09:21,5,81
2022-11-16 12:43,5,82
2022-11-16 15:22,5,82
2022-11-16 18:26,5,83
2022-11-16 21:18,5,83
2022-11-17 01:56,5,97
2022-11-17 03:43,5,97
2022-11-17 06:27,5,97
2022-11-17 09:21,5,97
2022-11-17 12:45,5,97
2022-11-17 15:22,5,97
2022-11-17 18:26,5,97
2022-11-17 21:18,5,97
2022-11-18 02:01,5,105
2022-11-18 03:43,5,105
2022-11-18 06:27,5,105
2022-11-18 09:21,5,105
2022-11-18 12:40,5,108
2022-11-18 15:22,5,109
2022-11-18 18:28,5,112
2022-11-18 21:18,5,112
2022-11-19 01:53,5,129
2022-11-19 03:41,5,132
2022-11-19 06:26,5,132
2022-11-19 09:19,5,132
2022-11-19 12:37,5,135
2022-11-19 15:21,5,143
2022-11-19 18:25,5,145
2022-11-19 21:18,5,162
2022-11-20 02:01,5,256
2022-11-20 03:46,5,262
2022-11-20 06:26,5,262
2022-11-20 09:19,5,262
2022-11-20 12:38,5,266
2022-11-20 15:20,5,283
2022-11-20 18:25,5,283
2022-11-20 21:18,5,286
2022-11-21 01:57,5,341
2022-11-21 07:13,5,344
2022-11-21 09:22,5,344
2022-11-21 13:51,5,344
2022-11-21 15:23,5,344
2022-11-21 18:27,5,344
2022-11-21 21:21,5,347
2022-11-22 01:59,5,401
2022-11-22 03:40,5,471
2022-11-22 06:27,5,471
2022-11-22 09:21,5,471
2022-11-22 12:43,5,471
2022-11-22 15:23,5,485
2022-11-22 18:26,5,486
2022-11-22 21:17,5,491
2022-11-23 01:46,5,515
2022-11-23 03:34,6,541
2022-11-23 06:25,6,582
2022-11-23 09:19,6,582
2022-11-23 12:40,6,582
2022-11-23 15:21,6,582
2022-11-23 18:24,6,601
2022-11-23 21:17,7,610
2022-11-24 01:49,7,662
2022-11-24 03:29,7,679
2022-11-24 06:25,7,686
2022-11-24 09:19,7,686
2022-11-24 12:40,7,686
2022-11-24 15:20,7,694
2022-11-24 18:25,7,701
2022-11-24 21:17,7,718
