updated_at,users,statuses
2022-11-21 07:13,25,12309
2022-11-21 09:22,25,12311
2022-11-21 13:51,25,12315
2022-11-21 15:23,25,12316
2022-11-21 18:27,25,12317
2022-11-21 21:21,25,12315
2022-11-22 01:59,25,12328
2022-11-22 03:40,25,12327
2022-11-22 06:27,25,12326
2022-11-22 09:21,25,12331
2022-11-22 12:43,25,12334
2022-11-22 15:23,25,12335
2022-11-22 18:26,25,12337
2022-11-22 21:17,25,12339
2022-11-23 01:46,25,12341
2022-11-23 03:34,25,12341
2022-11-23 06:25,25,12340
2022-11-23 09:19,25,12340
2022-11-23 12:40,25,12340
2022-11-23 15:21,25,12341
2022-11-23 18:24,25,12344
2022-11-23 21:17,25,12344
2022-11-24 01:49,25,12354
2022-11-24 03:29,25,12352
2022-11-24 06:25,25,12352
2022-11-24 09:19,25,12354
2022-11-24 12:40,25,12354
2022-11-24 15:20,25,12356
2022-11-24 18:25,25,12353
2022-11-24 21:17,25,12362
2022-11-25 01:46,25,12389
2022-11-25 03:37,25,12389
2022-11-25 06:26,25,12389
2022-11-25 09:19,25,12391
2022-11-25 12:39,25,12391
2022-11-25 15:20,25,12391
2022-11-25 18:25,25,12392
2022-11-25 21:17,25,12401
2022-11-26 01:41,25,12404
2022-11-26 03:26,25,12404
2022-11-26 06:24,25,12404
2022-11-26 09:18,25,12404
2022-11-26 12:35,25,12409
2022-11-26 21:17,25,12411
2022-11-27 01:51,25,12413
2022-11-27 03:40,25,12413
2022-11-27 06:24,25,12413
2022-11-27 09:18,25,12411
2022-11-27 12:35,25,12421
2022-11-27 15:19,25,12426
2022-11-27 18:23,25,12430
2022-11-27 21:17,25,12436
2022-11-28 01:44,25,12436
2022-11-28 03:31,25,12436
2022-11-28 06:26,25,12437
2022-11-28 09:20,25,12437
2022-11-28 12:38,25,12437
2022-11-28 15:18,25,12440
2022-11-28 18:25,25,12440
2022-11-28 21:18,25,12444
2022-11-29 01:44,25,12455
2022-11-29 03:30,25,12455
2022-11-29 06:26,25,12455
2022-11-29 09:19,25,12457
2022-11-29 12:39,25,12457
2022-11-29 15:21,25,12457
2022-11-29 18:23,25,12457
2022-11-29 21:18,25,12459
2022-11-30 01:45,25,12466
2022-11-30 03:27,25,12466
2022-11-30 06:25,25,12466
2022-11-30 09:20,25,12466
2022-11-30 12:41,25,12466
2022-11-30 15:22,25,12466
2022-11-30 18:25,25,12467
2022-11-30 21:18,25,12467
2022-12-01 01:56,25,12471
2022-12-01 03:38,25,12471
2022-12-01 06:26,25,12471
2022-12-01 09:20,25,12471
2022-12-01 12:42,25,12472
2022-12-01 15:21,25,12472
2022-12-01 18:25,25,12474
2022-12-01 21:15,25,12480
2022-12-02 01:37,25,12488
2022-12-02 03:24,25,12488
2022-12-02 06:24,25,12488
2022-12-02 09:18,25,12488
2022-12-02 12:35,25,12488
2022-12-02 15:17,25,12488
2022-12-02 18:22,25,12487
2022-12-02 21:16,25,12487
2022-12-03 01:27,25,12487
2022-12-03 03:20,25,12487
2022-12-03 06:22,25,12487
2022-12-03 09:17,25,12487
2022-12-03 12:33,25,12488
2022-12-03 15:18,25,12487
2022-12-03 18:22,25,12489
2022-12-03 21:15,25,12489
2022-12-04 01:39,25,12490
2022-12-04 03:20,25,12490
2022-12-04 06:22,25,12490
2022-12-04 09:17,25,12494
2022-12-04 12:35,25,12502
2022-12-04 15:18,25,12503
2022-12-04 18:27,25,12504
2022-12-04 21:16,25,12504
2022-12-05 01:38,25,12510
2022-12-05 03:20,25,12510
2022-12-05 06:24,25,12510
2022-12-05 09:19,25,12510
2022-12-05 12:37,25,12510
2022-12-05 15:20,25,12511
2022-12-05 18:23,25,12515
2022-12-05 21:17,25,12515
2022-12-06 01:35,25,12516
2022-12-06 03:41,25,12516
2022-12-06 06:24,25,12516
2022-12-06 09:18,25,12515
2022-12-06 12:38,25,12517
2022-12-06 15:20,25,12516
2022-12-06 18:38,25,12523
2022-12-06 21:16,25,12533
2022-12-07 01:41,25,12536
2022-12-07 03:24,25,12536
2022-12-07 09:18,25,12536
2022-12-07 12:36,25,12535
2022-12-07 15:20,25,12535
2022-12-07 18:24,25,12535
2022-12-07 21:17,25,12541
2022-12-08 01:37,25,12546
2022-12-08 03:21,25,12546
2022-12-08 06:25,25,12546
2022-12-08 09:18,25,12562
2022-12-08 12:36,25,12567
2022-12-08 15:19,25,12568
2022-12-08 18:23,25,12570
2022-12-08 21:17,25,12570
2022-12-09 01:40,25,12574
2022-12-09 03:22,25,12574
2022-12-09 06:23,25,12574
2022-12-09 09:18,25,12574
2022-12-09 12:35,25,12574
2022-12-09 15:18,25,12575
2022-12-09 18:45,25,12575
