updated_at,users,statuses
2022-11-04 10:13,78,3045
2022-11-04 13:09,78,3045
2022-11-04 15:25,78,3045
2022-11-04 18:28,78,3045
2022-11-04 21:19,78,3047
2022-11-05 02:03,78,3052
2022-11-05 03:49,78,3052
2022-11-05 06:27,78,3052
2022-11-05 09:21,78,3053
2022-11-05 12:38,78,3065
2022-11-05 15:21,79,3067
2022-11-05 18:26,79,3076
2022-11-05 21:18,79,3082
2022-11-06 02:06,78,3082
2022-11-06 03:50,78,3082
2022-11-06 06:27,78,3082
2022-11-06 09:22,78,3084
2022-11-06 12:40,78,3096
2022-11-06 15:24,78,3110
2022-11-06 18:26,79,3122
2022-11-06 21:19,80,3131
2022-11-07 02:00,80,3134
2022-11-07 04:00,80,3134
2022-11-07 06:28,80,3134
2022-11-07 09:22,80,3141
2022-11-07 12:50,80,3149
2022-11-07 15:24,80,3154
2022-11-07 18:27,80,3161
2022-11-07 21:22,80,3165
2022-11-08 02:00,80,3165
2022-11-08 04:00,80,3165
2022-11-08 06:30,80,3165
2022-11-08 09:23,80,3174
2022-11-08 12:51,80,3183
2022-11-08 15:24,80,3185
2022-11-08 18:32,80,3190
2022-11-08 21:20,80,3193
2022-11-09 02:11,81,3196
2022-11-09 04:03,81,3196
2022-11-09 06:35,81,3198
2022-11-09 09:22,81,3201
2022-11-09 12:52,81,3208
2022-11-09 15:25,81,3214
2022-11-09 18:27,81,3223
2022-11-09 21:23,81,3234
2022-11-10 02:04,81,3237
2022-11-10 03:56,81,3237
2022-11-10 06:28,81,3237
2022-11-10 09:23,81,3244
2022-11-10 12:52,82,3252
2022-11-10 15:23,82,3255
2022-11-10 18:28,83,3256
2022-11-10 21:21,85,3256
2022-11-11 02:04,85,3256
2022-11-11 03:56,85,3256
2022-11-11 06:32,85,3256
2022-11-11 09:22,85,3258
2022-11-11 12:51,85,3264
2022-11-11 15:25,86,3264
2022-11-11 18:29,86,3271
2022-11-11 21:20,86,3280
2022-11-12 01:59,86,3284
2022-11-12 03:54,86,3284
2022-11-12 06:27,86,3284
2022-11-12 09:21,86,3294
2022-11-12 12:39,86,3310
2022-11-12 15:23,87,3314
2022-11-12 18:26,87,3321
2022-11-12 21:19,87,3323
2022-11-13 01:59,87,3332
2022-11-13 03:55,87,3332
2022-11-13 06:27,87,3332
2022-11-13 09:21,87,3336
2022-11-13 12:41,87,3354
2022-11-13 15:22,87,3354
2022-11-13 18:26,87,3355
2022-11-13 21:19,87,3358
2022-11-14 01:58,87,3358
2022-11-14 03:58,87,3358
2022-11-14 06:29,87,3358
2022-11-14 09:23,87,3361
2022-11-14 12:53,87,3370
2022-11-14 15:25,87,3372
2022-11-14 18:27,87,3378
2022-11-14 21:21,87,3383
2022-11-15 01:56,87,3386
2022-11-15 03:47,87,3386
2022-11-15 06:26,87,3386
2022-11-15 09:21,87,3387
2022-11-15 12:44,87,3389
2022-11-15 15:23,87,3388
2022-11-15 18:27,87,3392
2022-11-15 21:19,87,3393
2022-11-16 01:57,87,3394
2022-11-16 03:48,87,3394
2022-11-16 06:26,87,3394
2022-11-16 09:21,87,3399
2022-11-16 12:43,88,3405
2022-11-16 15:22,88,3405
2022-11-16 18:26,88,3410
2022-11-16 21:18,88,3411
2022-11-17 01:56,88,3414
2022-11-17 03:43,88,3414
2022-11-17 06:27,88,3414
2022-11-17 09:21,88,3418
2022-11-17 12:45,88,3425
2022-11-17 15:22,88,3431
2022-11-17 18:26,88,3433
2022-11-17 21:18,88,3434
2022-11-18 02:01,88,3438
2022-11-18 03:43,88,3438
2022-11-18 06:27,88,3439
2022-11-18 09:21,90,3448
2022-11-18 12:40,90,3451
2022-11-18 15:22,90,3456
2022-11-18 18:28,90,3464
2022-11-18 21:18,91,3474
