updated_at,users,statuses
2022-11-05 02:03,171,102
2022-11-05 03:49,214,133
2022-11-05 06:27,291,206
2022-11-05 09:21,759,380
2022-11-05 12:38,1817,1111
2022-11-05 15:21,2891,1960
2022-11-05 18:26,3485,2971
2022-11-05 21:18,4242,3601
2022-11-06 02:06,4978,4716
2022-11-06 03:50,5181,4901
2022-11-06 06:27,5392,5091
2022-11-06 09:22,5863,6005
2022-11-06 12:40,6276,6779
2022-11-06 15:24,6467,7304
2022-11-06 18:26,7019,7739
2022-11-06 21:19,7364,8907
2022-11-07 02:00,7561,10099
2022-11-07 04:00,7567,10287
2022-11-07 06:28,7571,10487
2022-11-07 09:22,7614,11266
2022-11-07 12:50,8159,12677
2022-11-07 15:24,8253,13827
2022-11-07 18:27,8296,15211
2022-11-07 21:22,8314,16426
2022-11-08 02:00,10051,18231
2022-11-08 04:00,10775,18750
2022-11-08 06:30,12385,19374
2022-11-08 09:23,17355,20615
2022-11-08 12:51,19031,22726
2022-11-08 15:24,19528,23832
2022-11-08 18:32,19915,26097
2022-11-08 21:20,20201,29227
2022-11-09 02:11,22468,33817
2022-11-09 04:03,22958,34462
2022-11-09 06:35,24117,35239
2022-11-09 09:22,28002,39013
2022-11-09 12:52,30588,44435
2022-11-09 15:25,32094,49334
2022-11-09 18:27,33374,54814
2022-11-09 21:23,34344,58256
2022-11-10 02:04,34957,63480
2022-11-10 03:56,34981,63876
2022-11-10 06:28,35044,64624
2022-11-10 09:23,35317,68272
2022-11-10 12:52,35602,73485
2022-11-10 15:23,35807,77416
2022-11-10 18:28,35995,81456
2022-11-10 21:21,36131,85734
2022-11-11 02:04,36415,90912
2022-11-11 03:56,36431,91270
2022-11-11 06:32,36478,91797
2022-11-11 09:22,36603,94777
2022-11-11 12:51,36821,99791
2022-11-11 15:25,36938,103246
2022-11-11 18:29,37146,107546
2022-11-11 21:20,37344,111694
2022-11-12 01:59,37515,116281
2022-11-12 03:54,37533,116684
2022-11-12 06:27,37556,117148
2022-11-12 09:21,37636,119944
2022-11-12 12:39,37751,124867
2022-11-12 15:23,37846,128686
2022-11-12 18:26,37949,132685
2022-11-12 21:19,38027,136922
2022-11-13 01:59,38083,140273
2022-11-13 03:55,38082,139191
2022-11-13 06:27,38083,139191
2022-11-13 09:21,38083,142503
2022-11-13 12:41,38163,147054
2022-11-13 15:22,38224,150068
2022-11-13 18:26,38304,153702
2022-11-13 21:19,38372,157341
2022-11-14 01:58,38436,161081
2022-11-14 03:58,38442,161496
2022-11-14 06:29,38456,161905
2022-11-14 09:23,38512,164473
2022-11-14 12:53,38606,168001
2022-11-14 15:25,38653,170376
2022-11-14 18:27,38692,173308
2022-11-14 21:21,38739,176130
2022-11-15 01:56,38810,179422
2022-11-15 03:47,38816,179842
2022-11-15 06:26,38834,180302
2022-11-15 09:21,38894,182914
2022-11-15 12:44,38976,186571
2022-11-15 15:23,39025,188340
2022-11-15 18:27,39082,190542
2022-11-15 21:19,39122,193802
2022-11-16 01:57,39169,197361
2022-11-16 03:48,39180,197648
2022-11-16 06:26,39207,198129
2022-11-16 09:21,39268,200564
2022-11-16 12:43,39399,203558
2022-11-16 15:22,39526,205854
2022-11-16 18:26,39634,208549
2022-11-16 21:18,39701,211390
2022-11-17 01:56,39791,214342
2022-11-17 03:43,39801,214584
2022-11-17 06:27,39820,214999
2022-11-17 09:21,39865,217421
2022-11-17 12:45,39934,220565
2022-11-17 15:22,39975,222874
2022-11-17 18:26,40016,225363
2022-11-17 21:18,40054,228079
2022-11-18 02:01,40279,230773
2022-11-18 03:43,40512,231167
2022-11-18 06:27,40916,231899
2022-11-18 09:21,42966,235147
2022-11-18 12:40,45768,239075
2022-11-18 15:22,47296,242807
2022-11-18 18:28,47804,245755
2022-11-18 21:18,48550,250915
2022-11-19 01:53,49184,255513
2022-11-19 03:41,49226,255881
2022-11-19 06:26,49285,256410
2022-11-19 09:19,49544,259210
2022-11-19 12:37,49903,263827
2022-11-19 15:21,50126,267348
2022-11-19 18:25,50298,271274
2022-11-19 21:18,50462,274275
2022-11-20 02:01,50471,276929
2022-11-20 03:46,50472,277077
2022-11-20 06:26,50469,277480
2022-11-20 09:19,50467,279102
2022-11-20 12:38,50454,282056
2022-11-20 15:20,50552,283661
2022-11-20 18:25,50793,287214
2022-11-20 21:18,50914,290372
2022-11-21 01:57,51111,293781
2022-11-21 07:13,51315,295097
2022-11-21 09:22,51610,298233
2022-11-21 13:51,52247,304881
2022-11-21 15:23,52391,306735
2022-11-21 18:27,52741,311618
2022-11-21 21:21,53064,317010
2022-11-22 01:59,53438,321826
2022-11-22 03:40,53488,322341
2022-11-22 06:27,53522,322629
2022-11-22 09:21,53651,325074
2022-11-22 12:43,53842,329158
2022-11-22 15:23,54066,333327
2022-11-22 18:26,54571,336301
2022-11-22 21:17,54917,340551
2022-11-23 01:46,55317,345060
2022-11-23 03:34,55440,345529
2022-11-23 06:25,55534,346133
2022-11-23 09:19,55592,347953
2022-11-23 12:40,55727,352275
2022-11-23 15:21,55880,356006
2022-11-23 18:24,56019,359834
2022-11-23 21:17,56105,362516
2022-11-24 01:49,56242,366953
2022-11-24 03:29,56262,367411
2022-11-24 06:25,56281,367833
2022-11-24 09:19,56310,369403
2022-11-24 12:40,56392,372981
2022-11-24 15:20,56476,376297
2022-11-24 18:25,56565,379947
2022-11-24 21:17,56621,382360
2022-11-25 01:46,56738,386790
2022-11-25 03:37,56748,386956
2022-11-25 06:26,56773,387383
2022-11-25 09:19,56821,390064
