updated_at,users,statuses
2022-11-04 10:13,15,372541
2022-11-04 13:09,15,372580
2022-11-04 15:25,15,372672
2022-11-04 18:28,15,372745
2022-11-04 21:19,15,372754
2022-11-05 02:03,15,372783
2022-11-05 03:49,15,372793
2022-11-05 06:27,15,372803
2022-11-05 09:21,15,372823
2022-11-05 12:38,15,372845
2022-11-05 15:21,15,372954
2022-11-05 18:26,15,372994
2022-11-05 21:18,15,373003
2022-11-06 02:06,15,373047
2022-11-06 03:50,15,373059
2022-11-06 06:27,15,373070
2022-11-06 09:22,15,373082
2022-11-06 12:40,15,373102
2022-11-06 15:24,15,373217
2022-11-06 18:26,15,373246
2022-11-06 21:19,15,373249
2022-11-07 02:00,15,373266
2022-11-07 04:00,15,373279
2022-11-07 06:28,15,373282
2022-11-07 09:22,15,373296
2022-11-07 12:50,15,373325
2022-11-07 15:24,15,373442
2022-11-07 18:27,15,373479
2022-11-07 21:22,15,373503
2022-11-08 02:00,15,373520
2022-11-08 04:00,15,373533
2022-11-08 06:30,15,373535
2022-11-08 09:23,15,373549
2022-11-08 12:51,15,373582
2022-11-08 15:24,15,373649
2022-11-08 18:32,15,373746
2022-11-08 21:20,15,373766
2022-11-09 02:11,15,373783
2022-11-09 04:03,15,373795
2022-11-09 06:35,15,373797
2022-11-09 09:22,15,373818
2022-11-09 12:52,15,373846
2022-11-09 15:25,15,373973
2022-11-09 18:27,15,374035
2022-11-09 21:23,15,374045
2022-11-10 02:04,15,374057
2022-11-10 03:56,15,374072
2022-11-10 06:28,15,374076
2022-11-10 09:23,15,374088
2022-11-10 12:52,15,374116
2022-11-10 15:23,15,374242
2022-11-10 18:28,15,374275
2022-11-10 21:21,15,374294
2022-11-11 02:04,15,374307
2022-11-11 03:56,15,374324
2022-11-11 06:32,15,374334
2022-11-11 09:22,15,374354
2022-11-11 12:51,15,374393
2022-11-11 15:25,15,374458
2022-11-11 18:29,15,374551
2022-11-11 21:20,15,374562
2022-11-12 01:59,15,374584
2022-11-12 03:54,15,374594
2022-11-12 06:27,15,374600
2022-11-12 09:21,15,374622
2022-11-12 12:39,15,374644
2022-11-12 15:23,15,374758
2022-11-12 18:26,15,374796
2022-11-12 21:19,15,374807
2022-11-13 01:59,15,374845
2022-11-13 03:55,15,374852
2022-11-13 06:27,15,374859
2022-11-13 09:21,15,374874
2022-11-13 12:41,15,374886
2022-11-13 15:22,15,374992
2022-11-13 18:26,15,375026
2022-11-13 21:19,15,375034
2022-11-14 01:58,15,375048
2022-11-14 03:58,15,375058
2022-11-14 06:29,15,375061
2022-11-14 09:23,15,375072
2022-11-14 12:53,15,375099
2022-11-14 15:25,15,375175
2022-11-14 18:27,15,375267
2022-11-14 21:21,15,375290
2022-11-15 01:56,15,375308
2022-11-15 03:47,15,375319
2022-11-15 06:26,15,375320
2022-11-15 09:21,15,375330
2022-11-15 12:44,15,375354
2022-11-15 15:23,15,375416
2022-11-15 18:27,15,375509
2022-11-15 21:19,15,375515
2022-11-16 01:57,15,375529
2022-11-16 03:48,15,375537
2022-11-16 06:26,15,375542
2022-11-16 09:21,15,375551
2022-11-16 12:43,15,375578
2022-11-16 15:22,15,375703
2022-11-16 18:26,15,375774
2022-11-16 21:18,15,375777
2022-11-17 01:56,15,375784
2022-11-17 03:43,15,375789
2022-11-17 06:27,15,375790
2022-11-17 09:21,15,375805
2022-11-17 12:45,15,375834
2022-11-17 15:22,15,375961
2022-11-17 18:26,15,375999
2022-11-17 21:18,15,376002
2022-11-18 02:01,15,376015
2022-11-18 03:43,15,376026
2022-11-18 06:27,15,376040
2022-11-18 09:21,15,376048
2022-11-18 12:40,15,376084
2022-11-18 15:22,15,376185
2022-11-18 18:28,15,376236
2022-11-18 21:18,15,376245
2022-11-19 01:53,15,376276
2022-11-19 03:41,15,376282
2022-11-19 06:26,15,376298
2022-11-19 09:19,15,376314
2022-11-19 12:37,15,376340
2022-11-19 15:21,15,376459
2022-11-19 18:25,15,376499
2022-11-19 21:18,15,376510
2022-11-20 02:01,15,376556
2022-11-20 03:46,15,376560
2022-11-20 06:26,15,376562
2022-11-20 09:19,15,376585
2022-11-20 12:38,15,376609
2022-11-20 15:20,15,376724
2022-11-20 18:25,15,376755
2022-11-20 21:18,15,376770
2022-11-21 01:57,15,376779
2022-11-21 07:13,15,376788
2022-11-21 09:22,15,376794
2022-11-21 13:51,15,376832
2022-11-21 15:23,15,376847
2022-11-21 18:27,15,376974
2022-11-21 21:21,15,376995
2022-11-22 01:59,15,377013
2022-11-22 03:40,15,377022
2022-11-22 06:27,15,377031
2022-11-22 09:21,15,377042
2022-11-22 12:43,15,377069
2022-11-22 15:23,15,377089
2022-11-22 18:26,15,377217
2022-11-22 21:17,15,377225
2022-11-23 01:46,15,377235
2022-11-23 03:34,15,377237
2022-11-23 06:25,15,377245
2022-11-23 09:19,15,377254
2022-11-23 12:40,15,377279
2022-11-23 15:21,15,377300
2022-11-23 18:24,15,377465
2022-11-23 21:17,15,377479
2022-11-24 01:49,15,377492
2022-11-24 03:29,15,377493
2022-11-24 06:25,15,377504
2022-11-24 09:19,15,377509
2022-11-24 12:40,15,377549
2022-11-24 15:20,15,377573
2022-11-24 18:25,15,377720
2022-11-24 21:17,15,377726
2022-11-25 01:46,15,377740
2022-11-25 03:37,15,377746
2022-11-25 06:26,15,377753
2022-11-25 09:19,15,377765
2022-11-25 12:39,15,377817
2022-11-25 15:20,15,377938
2022-11-25 18:25,15,377974
2022-11-25 21:17,15,378002
2022-11-26 01:41,15,378036
2022-11-26 03:26,15,378044
2022-11-26 06:24,15,378048
2022-11-26 09:18,15,378056
2022-11-26 12:35,15,378078
2022-11-26 15:19,15,378117
2022-11-26 18:23,15,378248
2022-11-26 21:17,15,378253
2022-11-27 01:51,15,378291
2022-11-27 03:40,15,378302
2022-11-27 06:24,15,378310
2022-11-27 09:18,15,378317
2022-11-27 12:35,15,378338
2022-11-27 15:19,15,378386
2022-11-27 18:23,15,378489
2022-11-27 21:17,15,378489
2022-11-28 01:44,15,378494
2022-11-28 03:31,15,378506
2022-11-28 06:26,15,378516
2022-11-28 09:20,15,378525
