updated_at,users,statuses
2022-11-04 10:13,12,63914
2022-11-04 13:09,12,63916
2022-11-04 15:25,12,63934
2022-11-04 18:28,12,63979
2022-11-04 21:19,12,63996
2022-11-05 02:03,12,64038
2022-11-05 03:49,12,64049
2022-11-05 06:27,12,64051
2022-11-05 09:21,12,64051
2022-11-05 12:38,12,64056
2022-11-05 15:21,12,64068
2022-11-05 18:26,12,64090
2022-11-05 21:18,12,64123
2022-11-06 02:06,12,64147
2022-11-06 03:50,12,64155
2022-11-06 06:27,12,64159
2022-11-06 09:22,12,64158
2022-11-06 12:40,12,64164
2022-11-06 15:24,12,64176
2022-11-06 18:26,12,64186
2022-11-06 21:19,13,64216
2022-11-07 02:00,13,64248
2022-11-07 04:00,13,64277
2022-11-07 06:28,13,64283
2022-11-07 09:22,13,64285
2022-11-07 12:50,13,64286
2022-11-07 15:24,13,64308
2022-11-07 18:27,13,64316
2022-11-07 21:22,13,64334
2022-11-08 02:00,13,64365
2022-11-08 04:00,13,64379
2022-11-08 06:30,13,64389
2022-11-08 09:23,13,64389
2022-11-08 12:51,13,64390
2022-11-08 15:24,13,64401
2022-11-08 18:32,13,64425
2022-11-08 21:20,13,64456
2022-11-09 02:11,13,64488
2022-11-09 04:03,13,64506
2022-11-09 06:35,13,64513
2022-11-09 09:22,13,64514
2022-11-09 12:52,13,64515
2022-11-09 15:25,13,64535
2022-11-09 18:27,13,64544
2022-11-09 21:23,14,64566
2022-11-10 02:04,14,64619
2022-11-10 03:56,14,64631
2022-11-10 06:28,14,64649
2022-11-10 09:23,14,64651
2022-11-10 12:52,14,64659
2022-11-10 15:23,14,64677
2022-11-10 18:28,14,64688
2022-11-10 21:21,14,64713
2022-11-11 02:04,14,64748
2022-11-11 03:56,14,64778
2022-11-11 06:32,14,64792
2022-11-11 09:22,14,64796
2022-11-11 12:51,14,64795
2022-11-11 15:25,14,64823
2022-11-11 18:29,14,64845
2022-11-11 21:20,14,64875
2022-11-12 01:59,14,64899
2022-11-12 03:54,14,64909
2022-11-12 06:27,14,64911
2022-11-12 09:21,14,64914
2022-11-12 12:39,14,64916
2022-11-12 15:23,14,64925
2022-11-12 18:26,14,64936
2022-11-12 21:19,14,64980
2022-11-13 01:59,14,65012
2022-11-13 03:55,14,65028
2022-11-13 06:27,14,65044
2022-11-13 09:21,14,65044
2022-11-13 12:41,14,65046
2022-11-13 15:22,14,65052
2022-11-13 18:26,14,65069
2022-11-13 21:19,14,65095
2022-11-14 01:58,14,65111
2022-11-14 03:58,14,65129
2022-11-14 06:29,14,65138
2022-11-14 09:23,14,65138
2022-11-14 12:53,14,65138
2022-11-14 15:25,15,65147
2022-11-14 18:27,15,65167
2022-11-14 21:21,15,65182
2022-11-15 01:56,15,65243
2022-11-15 03:47,15,65269
2022-11-15 06:26,15,65275
2022-11-15 09:21,15,65279
2022-11-15 12:44,15,65287
2022-11-15 15:23,15,65293
2022-11-15 18:27,15,65315
2022-11-15 21:19,15,65343
2022-11-16 01:57,15,65369
2022-11-16 03:48,15,65388
2022-11-16 06:26,15,65399
2022-11-16 09:21,15,65410
2022-11-16 12:43,15,65414
2022-11-16 15:22,15,65431
2022-11-16 18:26,15,65487
2022-11-16 21:18,15,65515
2022-11-17 01:56,15,65546
2022-11-17 03:43,15,65558
2022-11-17 06:27,15,65560
2022-11-17 09:21,15,65562
2022-11-17 12:45,15,65565
2022-11-17 15:22,15,65578
2022-11-17 18:26,15,65625
2022-11-17 21:18,15,65677
2022-11-18 02:01,15,65716
2022-11-18 03:43,15,65732
2022-11-18 06:27,15,65742
2022-11-18 09:21,15,65745
2022-11-18 12:40,15,65751
2022-11-18 15:22,15,65771
2022-11-18 18:28,15,65788
2022-11-18 21:18,15,65852
2022-11-19 01:53,15,65905
2022-11-19 03:41,15,65923
2022-11-19 06:26,15,65924
2022-11-19 09:19,15,65924
2022-11-19 12:37,15,65931
2022-11-19 15:21,15,65939
2022-11-19 18:25,15,65977
2022-11-19 21:18,15,66029
2022-11-20 02:01,15,66082
2022-11-20 03:46,15,66112
2022-11-20 06:26,16,66130
2022-11-20 09:19,16,66135
2022-11-20 12:38,16,66140
2022-11-20 15:20,16,66158
2022-11-20 18:25,16,66172
2022-11-20 21:18,16,66198
2022-11-21 01:57,16,66221
2022-11-21 07:13,16,66281
2022-11-21 09:22,16,66293
2022-11-21 13:51,16,66298
2022-11-21 15:23,16,66300
2022-11-21 18:27,16,66341
2022-11-21 21:21,16,66381
2022-11-22 01:59,16,66414
2022-11-22 03:40,16,66438
2022-11-22 06:27,16,66454
2022-11-22 09:21,16,66454
2022-11-22 12:43,16,66454
2022-11-22 15:23,16,66474
2022-11-22 18:26,16,66508
2022-11-22 21:17,16,66544
2022-11-23 01:46,16,66594
2022-11-23 03:34,16,66609
2022-11-23 06:25,16,66620
2022-11-23 09:19,16,66632
2022-11-23 12:40,16,66634
2022-11-23 15:21,16,66666
2022-11-23 18:24,16,66713
2022-11-23 21:17,16,66748
2022-11-24 01:49,16,66792
2022-11-24 03:29,16,66815
2022-11-24 06:25,16,66831
2022-11-24 09:19,16,66833
2022-11-24 12:40,16,66833
2022-11-24 15:20,16,66850
2022-11-24 18:25,16,66870
2022-11-24 21:17,16,66897
2022-11-25 01:46,16,66936
2022-11-25 03:37,16,66942
2022-11-25 06:26,16,66978
2022-11-25 09:19,16,66982
2022-11-25 12:39,16,66982
