updated_at,users,statuses
2022-11-21 09:22,9,78
2022-11-21 13:51,9,82
2022-11-21 15:23,9,83
2022-11-21 18:27,9,84
2022-11-21 21:21,9,85
2022-11-22 01:59,9,90
2022-11-22 03:40,10,92
2022-11-22 06:27,10,92
2022-11-22 09:21,10,92
2022-11-22 12:43,10,93
2022-11-22 15:23,10,94
2022-11-22 18:26,10,95
2022-11-22 21:17,11,96
2022-11-23 01:46,11,96
2022-11-23 03:34,11,96
2022-11-23 06:25,11,108
2022-11-23 09:19,11,109
2022-11-23 12:40,11,109
2022-11-23 15:21,11,109
2022-11-23 18:24,12,113
2022-11-23 21:17,12,116
2022-11-24 01:49,12,117
2022-11-24 03:29,12,122
2022-11-24 06:25,12,123
2022-11-24 09:19,12,123
2022-11-24 12:40,12,123
2022-11-24 15:20,12,123
2022-11-24 18:25,12,125
2022-11-24 21:17,12,125
2022-11-25 01:46,12,130
2022-11-25 03:37,12,131
2022-11-25 06:26,12,131
2022-11-25 09:19,12,131
2022-11-25 12:39,12,131
2022-11-25 15:20,12,131
2022-11-25 18:25,12,131
2022-11-25 21:17,12,134
2022-11-26 01:41,12,139
2022-11-26 03:26,13,141
2022-11-26 06:24,13,142
2022-11-26 09:18,13,143
2022-11-26 12:35,13,148
2022-11-26 15:19,13,148
2022-11-26 18:23,13,148
2022-11-26 21:17,13,148
2022-11-27 01:51,13,148
2022-11-27 03:40,13,148
2022-11-27 06:24,13,150
2022-11-27 09:18,13,151
2022-11-27 12:35,13,152
2022-11-27 15:19,13,152
2022-11-27 18:23,13,152
2022-11-27 21:17,13,152
2022-11-28 01:44,13,153
2022-11-28 03:31,13,153
2022-11-28 06:26,13,154
2022-11-28 09:20,13,154
2022-11-28 12:38,13,154
2022-11-28 15:18,13,154
2022-11-28 18:25,13,157
2022-11-28 21:18,13,157
2022-11-29 01:44,13,157
2022-11-29 03:30,13,158
2022-11-29 06:26,13,159
2022-11-29 09:19,13,159
2022-11-29 12:39,13,159
2022-11-29 15:21,13,159
2022-11-29 18:23,13,162
2022-11-29 21:18,13,164
2022-11-30 01:45,13,164
2022-11-30 03:27,13,164
2022-11-30 06:25,13,164
2022-11-30 09:20,13,164
2022-11-30 12:41,13,164
2022-11-30 15:22,13,170
2022-11-30 18:25,13,172
2022-11-30 21:18,13,173
2022-12-01 01:56,13,173
2022-12-01 03:38,13,175
2022-12-01 06:26,13,175
2022-12-01 09:20,13,175
2022-12-01 12:42,13,175
2022-12-01 15:21,13,187
2022-12-01 18:25,13,188
2022-12-01 21:15,13,190
2022-12-02 01:37,13,191
2022-12-02 03:24,13,192
2022-12-02 06:24,13,192
2022-12-02 09:18,13,192
2022-12-02 12:35,13,192
2022-12-02 15:17,13,192
2022-12-02 18:22,13,193
2022-12-02 21:16,13,195
2022-12-03 01:27,13,195
2022-12-03 03:20,13,195
2022-12-03 06:22,13,195
2022-12-03 09:17,13,195
2022-12-03 12:33,13,195
2022-12-03 15:18,13,195
2022-12-03 18:22,13,196
2022-12-03 21:15,13,196
2022-12-04 01:39,13,196
2022-12-04 03:20,13,196
2022-12-04 06:22,13,196
2022-12-04 09:17,13,196
2022-12-04 12:35,13,196
2022-12-04 15:18,13,196
2022-12-04 18:27,13,196
2022-12-04 21:16,13,196
2022-12-05 01:38,13,197
2022-12-05 03:20,13,198
2022-12-05 06:24,13,198
2022-12-05 09:19,13,198
2022-12-05 12:37,13,198
2022-12-05 15:20,13,198
2022-12-05 18:23,13,198
2022-12-05 21:17,13,198
2022-12-06 01:35,13,198
2022-12-06 03:41,13,198
2022-12-06 06:24,13,199
2022-12-06 09:18,13,199
2022-12-06 12:38,13,199
2022-12-06 15:20,13,199
2022-12-06 18:38,13,199
2022-12-06 21:16,13,200
2022-12-07 01:41,13,200
2022-12-07 03:24,13,200
2022-12-07 09:18,13,200
2022-12-07 12:36,13,200
2022-12-07 15:20,13,200
2022-12-07 18:24,13,200
2022-12-07 21:17,13,200
2022-12-08 01:37,13,202
2022-12-08 03:21,13,207
2022-12-08 06:25,13,207
2022-12-08 09:18,13,207
2022-12-08 12:36,13,207
2022-12-08 15:19,13,207
2022-12-08 18:23,13,207
2022-12-08 21:17,13,208
2022-12-09 01:40,13,208
2022-12-09 03:22,13,208
2022-12-09 06:23,13,208
2022-12-09 09:18,13,208
2022-12-09 12:35,13,208
2022-12-09 15:18,13,209
2022-12-09 18:45,13,209
2022-12-09 21:17,13,209
2022-12-10 01:34,13,212
2022-12-10 03:20,13,212
2022-12-10 06:23,13,212
2022-12-10 09:17,13,212
2022-12-10 12:33,13,212
2022-12-10 15:18,13,212
2022-12-10 18:22,13,212
2022-12-10 21:31,13,212
2022-12-11 01:44,13,212
2022-12-11 03:24,13,212
2022-12-11 06:23,13,212
2022-12-11 09:17,13,212
2022-12-11 12:34,13,212
2022-12-11 15:19,13,212
2022-12-11 19:14,13,213
2022-12-11 21:16,13,213
2022-12-12 01:40,13,221
2022-12-12 03:24,13,221
2022-12-12 06:24,13,221
2022-12-12 09:19,13,221
2022-12-12 12:37,13,224
2022-12-12 15:20,13,230
2022-12-12 18:24,13,232
2022-12-12 21:17,13,236
2022-12-13 01:43,13,238
2022-12-13 03:27,13,240
2022-12-13 06:25,13,240
2022-12-13 09:19,13,240
2022-12-13 12:37,13,240
2022-12-13 15:24,13,245
2022-12-13 18:23,13,245
2022-12-13 21:17,13,245
2022-12-14 01:40,13,246
2022-12-14 03:23,13,247
2022-12-14 06:24,13,248
2022-12-14 09:18,13,248
2022-12-14 12:37,13,248
2022-12-14 15:20,13,250
2022-12-14 18:23,13,257
2022-12-14 21:17,13,259
2022-12-15 01:41,13,260
2022-12-15 03:24,13,260
2022-12-15 06:24,13,260
2022-12-15 09:19,13,260
2022-12-15 12:36,13,260
2022-12-15 15:20,13,266
2022-12-15 18:21,13,273
2022-12-15 21:15,13,273
2022-12-16 01:26,13,273
2022-12-16 09:17,13,277
2022-12-16 12:33,13,277
2022-12-16 15:20,13,278
2022-12-16 18:22,13,278
2022-12-16 21:16,13,278
2022-12-17 01:24,13,283
2022-12-17 03:19,13,285
2022-12-17 06:21,13,288
2022-12-17 09:16,13,288
2022-12-17 12:31,13,288
2022-12-17 15:17,13,289
2022-12-17 18:20,13,296
2022-12-17 21:14,13,296
2022-12-18 01:27,13,296
2022-12-18 03:19,13,296
2022-12-18 06:21,13,296
2022-12-18 09:16,13,296
2022-12-18 12:32,13,296
2022-12-18 15:17,13,296
2022-12-18 18:20,13,304
2022-12-18 21:14,13,315
2022-12-19 01:24,13,315
2022-12-19 03:19,13,317
2022-12-19 06:23,13,324
2022-12-19 09:18,13,324
2022-12-20 01:28,14,333
2022-12-20 03:19,14,339
2022-12-20 06:24,14,339
2022-12-20 09:18,14,339
2022-12-20 12:35,14,339
2022-12-20 15:20,14,340
2022-12-20 18:22,14,340
2022-12-20 21:16,14,340
2022-12-21 01:25,14,342
2022-12-21 03:20,14,343
2022-12-21 06:23,14,344
2022-12-21 09:18,14,344
2022-12-21 12:18,14,344
2022-12-21 12:35,14,344
2022-12-21 15:20,14,345
2022-12-21 18:22,14,345
2022-12-21 21:16,14,347
2022-12-22 01:32,14,349
2022-12-22 03:19,14,349
2022-12-22 06:23,14,350
2022-12-22 09:17,14,350
2022-12-22 12:35,14,350
2022-12-22 15:20,14,353
2022-12-22 18:23,14,358
2022-12-22 21:16,14,359
2022-12-23 01:27,14,368
2022-12-23 03:20,14,368
2022-12-23 06:23,14,368
2022-12-23 09:17,14,371
2022-12-23 12:34,14,371
2022-12-23 15:18,14,374
2022-12-23 18:22,14,375
2022-12-23 21:15,14,376
2022-12-24 01:21,14,376
2022-12-24 03:19,14,377
2022-12-24 06:21,14,377
2022-12-24 09:16,14,379
2022-12-24 12:31,14,379
2022-12-24 15:17,14,380
2022-12-24 18:21,14,386
2022-12-24 21:15,14,387
2022-12-25 01:37,14,388
2022-12-25 03:19,14,390
2022-12-25 06:21,14,392
2022-12-25 09:16,14,392
2022-12-25 12:32,14,392
2022-12-25 15:17,14,399
2022-12-25 18:21,14,400
2022-12-25 21:15,14,408
2022-12-26 01:33,14,416
2022-12-26 03:20,14,419
2022-12-26 06:23,14,419
2022-12-26 09:17,14,419
2022-12-26 12:33,14,419
2022-12-26 15:18,14,424
2022-12-26 18:21,14,424
2022-12-26 21:15,14,424
2022-12-27 01:26,14,429
2022-12-27 03:19,14,430
2022-12-27 06:23,14,430
2022-12-27 09:17,14,430
2022-12-27 12:34,14,430
2022-12-27 15:18,14,431
2022-12-27 18:22,14,433
2022-12-27 21:15,14,434
2022-12-28 01:26,14,438
2022-12-28 03:20,14,438
2022-12-28 06:23,14,441
2022-12-28 09:17,14,441
2022-12-28 12:33,14,441
2022-12-28 15:18,14,441
2022-12-28 18:22,14,441
2022-12-28 21:16,14,443
2022-12-29 01:34,14,445
2022-12-29 03:20,14,445
2022-12-29 06:22,14,445
2022-12-29 09:17,14,445
2022-12-29 12:33,14,445
2022-12-29 18:22,14,445
2022-12-29 21:16,14,446
2022-12-30 01:34,14,446
2022-12-30 03:20,14,447
2022-12-30 06:23,14,447
2022-12-30 09:17,14,447
2022-12-30 12:32,14,447
2022-12-30 15:18,14,447
2022-12-30 18:21,14,451
2022-12-30 21:15,14,453
2022-12-31 01:26,14,454
2022-12-31 03:19,14,454
2022-12-31 06:21,14,454
2022-12-31 09:16,14,454
2022-12-31 12:31,14,454
2022-12-31 15:17,14,454
2022-12-31 18:21,14,456
2022-12-31 21:15,14,458
2023-01-01 01:48,14,458
2023-01-01 03:24,14,459
2023-01-01 06:22,14,463
2023-01-01 09:17,14,463
2023-01-01 12:33,14,463
2023-01-01 15:17,14,463
2023-01-01 18:21,14,463
2023-01-01 21:15,14,463
2023-01-02 01:34,14,463
2023-01-02 03:20,14,465
2023-01-02 06:23,14,465
2023-01-02 09:18,14,465
2023-01-02 12:35,14,465
2023-01-02 15:19,14,468
2023-01-02 18:21,14,468
2023-01-02 21:15,14,468
2023-01-03 01:27,14,470
2023-01-03 03:19,14,470
2023-01-03 06:22,14,470
2023-01-03 09:18,14,470
2023-01-03 12:36,14,470
2023-01-03 15:20,14,470
