updated_at,users,statuses
2022-11-20 12:38,28,682
2022-11-20 15:20,28,685
2022-11-20 18:25,28,695
2022-11-20 21:18,28,714
2022-11-21 01:57,28,724
2022-11-21 07:13,28,724
2022-11-21 09:22,28,723
2022-11-21 13:51,28,730
2022-11-21 15:23,28,730
2022-11-21 18:27,28,735
2022-11-21 21:21,28,735
2022-11-22 01:59,28,740
2022-11-22 03:40,28,740
2022-11-22 06:27,28,740
2022-11-22 09:21,28,740
2022-11-22 12:43,28,743
2022-11-22 15:23,28,746
2022-11-22 18:26,28,747
2022-11-22 21:17,28,746
2022-11-23 01:46,28,747
2022-11-23 03:34,28,747
2022-11-23 06:25,28,747
2022-11-23 09:19,28,747
2022-11-23 12:40,28,750
2022-11-23 15:21,28,751
2022-11-23 18:24,28,753
2022-11-23 21:17,28,753
2022-11-24 01:49,28,753
2022-11-24 03:29,28,753
2022-11-24 06:25,28,753
2022-11-24 09:19,28,753
2022-11-24 12:40,28,759
2022-11-24 15:20,28,761
2022-11-24 18:25,28,767
2022-11-24 21:17,28,774
2022-11-25 01:46,28,774
2022-11-25 03:37,28,775
2022-11-25 06:26,28,775
2022-11-25 09:19,28,775
2022-11-25 12:39,28,780
2022-11-25 15:20,28,780
2022-11-25 18:25,28,781
2022-11-25 21:17,28,784
2022-11-26 01:41,28,787
2022-11-26 03:26,28,787
2022-11-26 06:24,28,787
2022-11-26 09:18,28,787
2022-11-26 12:35,28,791
2022-11-26 15:19,28,791
2022-11-26 18:23,28,791
2022-11-26 21:17,28,791
2022-11-27 01:51,28,791
2022-11-27 03:40,28,791
2022-11-27 09:18,28,791
2022-11-27 12:35,28,791
2022-11-27 15:19,28,791
2022-11-27 18:23,28,791
2022-11-27 21:17,28,791
2022-11-28 01:44,28,791
2022-11-28 03:31,28,791
2022-11-28 06:26,28,791
2022-11-28 09:20,28,791
2022-11-28 12:38,28,796
2022-11-28 15:18,28,797
2022-11-28 18:25,28,797
2022-11-28 21:18,28,797
2022-11-29 01:44,28,799
2022-11-29 03:30,28,799
2022-11-29 06:26,28,799
2022-11-29 09:19,28,799
2022-11-29 12:39,28,800
2022-11-29 15:21,28,806
2022-11-29 18:23,28,811
2022-11-29 21:18,28,813
2022-11-30 01:45,28,814
2022-11-30 03:27,28,814
2022-11-30 06:25,28,814
2022-11-30 09:20,28,814
2022-11-30 12:41,28,814
2022-11-30 15:22,28,817
2022-11-30 18:25,28,817
2022-11-30 21:18,28,817
2022-12-01 01:56,28,817
2022-12-01 03:38,28,817
2022-12-01 06:26,28,817
2022-12-01 09:20,28,817
2022-12-01 12:42,28,817
2022-12-01 15:21,28,816
2022-12-01 18:25,28,816
2022-12-01 21:15,28,818
2022-12-02 01:37,28,819
2022-12-02 03:24,28,819
2022-12-02 06:24,28,819
2022-12-02 09:18,28,819
2022-12-02 12:35,28,819
2022-12-02 15:17,28,819
2022-12-02 18:22,28,819
2022-12-02 21:16,28,819
2022-12-03 01:27,28,819
2022-12-03 03:20,28,819
2022-12-03 06:22,28,819
2022-12-03 09:17,28,819
2022-12-03 12:33,28,819
2022-12-03 15:18,28,820
2022-12-03 18:22,28,820
2022-12-03 21:15,28,819
2022-12-04 01:39,28,819
2022-12-04 03:20,28,819
2022-12-04 06:22,28,819
2022-12-04 09:17,28,819
2022-12-04 12:35,28,819
2022-12-04 15:18,28,819
2022-12-04 18:27,28,819
2022-12-04 21:16,28,819
2022-12-05 01:38,28,819
2022-12-05 03:20,28,819
2022-12-05 06:24,28,819
2022-12-05 09:19,28,820
2022-12-05 12:37,28,820
2022-12-05 15:20,28,820
2022-12-05 18:23,28,821
2022-12-05 21:17,28,821
2022-12-06 01:35,28,821
2022-12-06 03:41,28,821
2022-12-06 06:24,28,826
2022-12-06 09:18,28,826
2022-12-06 12:38,28,827
2022-12-06 15:20,28,829
2022-12-06 18:38,28,829
2022-12-06 21:16,28,830
2022-12-07 01:41,28,830
2022-12-07 03:24,28,830
2022-12-07 09:18,28,830
2022-12-07 12:36,28,830
2022-12-07 15:20,28,830
2022-12-07 18:24,28,830
2022-12-07 21:17,28,830
2022-12-08 01:37,28,830
2022-12-08 03:21,28,830
2022-12-08 06:25,28,830
2022-12-08 09:18,28,830
2022-12-08 12:36,28,830
2022-12-08 15:19,28,833
2022-12-08 18:23,28,834
2022-12-08 21:17,28,834
