updated_at,users,statuses
2022-11-04 13:09,14,711
2022-11-04 15:25,14,716
2022-11-04 18:28,14,720
2022-11-04 21:19,14,723
2022-11-05 02:03,14,727
2022-11-05 03:49,14,727
2022-11-05 06:27,14,727
2022-11-05 09:21,14,730
2022-11-05 12:38,14,733
2022-11-05 15:21,14,736
2022-11-05 18:26,14,747
2022-11-05 21:18,14,749
2022-11-06 02:06,14,750
2022-11-06 03:50,14,750
2022-11-06 06:27,14,750
2022-11-06 09:22,14,754
2022-11-06 12:40,14,755
2022-11-06 15:24,14,764
2022-11-06 18:26,14,765
2022-11-06 21:19,15,771
2022-11-07 02:00,15,774
2022-11-07 04:00,15,774
2022-11-07 06:28,15,774
2022-11-07 09:22,15,782
2022-11-07 12:50,15,783
2022-11-07 15:24,15,788
2022-11-07 18:27,15,795
2022-11-07 21:22,15,801
2022-11-08 02:00,15,815
2022-11-08 04:00,15,815
2022-11-08 06:30,15,816
2022-11-08 09:23,15,831
2022-11-08 12:51,15,841
2022-11-08 15:24,15,854
2022-11-08 18:32,15,861
2022-11-08 21:20,15,872
2022-11-09 02:11,15,872
2022-11-09 04:03,15,872
2022-11-09 06:35,15,873
2022-11-09 09:22,15,877
2022-11-09 12:52,15,884
2022-11-09 15:25,15,885
2022-11-09 18:27,15,888
2022-11-09 21:23,15,907
2022-11-10 02:04,15,916
2022-11-10 03:56,15,916
2022-11-10 06:28,15,916
2022-11-10 09:23,15,916
2022-11-10 12:52,15,924
2022-11-10 15:23,15,925
2022-11-10 18:28,16,939
2022-11-10 21:21,16,957
2022-11-11 02:04,16,960
2022-11-11 03:56,16,960
2022-11-11 06:32,16,959
2022-11-11 09:22,16,978
2022-11-11 12:51,16,991
2022-11-11 15:25,16,992
2022-11-11 18:29,16,1014
2022-11-11 21:20,16,1017
2022-11-12 01:59,16,1028
2022-11-12 03:54,16,1028
2022-11-12 06:27,16,1028
2022-11-12 09:21,16,1035
2022-11-12 12:39,16,1046
2022-11-12 15:23,16,1053
2022-11-12 18:26,16,1053
2022-11-12 21:19,16,1056
2022-11-13 01:59,16,1056
2022-11-13 03:55,16,1056
2022-11-13 06:27,16,1056
2022-11-13 09:21,16,1057
2022-11-13 12:41,16,1059
2022-11-13 15:22,16,1066
2022-11-13 18:26,16,1066
2022-11-13 21:19,16,1076
2022-11-14 01:58,16,1078
2022-11-14 03:58,16,1078
2022-11-14 06:29,16,1078
2022-11-14 09:23,16,1087
2022-11-14 12:53,16,1102
2022-11-14 15:25,16,1113
2022-11-14 18:27,16,1115
2022-11-14 21:21,16,1127
2022-11-15 01:56,16,1128
2022-11-15 03:47,16,1128
