updated_at,users,statuses
2022-11-08 12:51,29,184
2022-11-08 15:24,31,195
2022-11-08 18:32,33,211
2022-11-08 21:20,33,215
2022-11-09 02:11,34,215
2022-11-09 04:03,34,215
2022-11-09 06:35,34,220
2022-11-09 09:22,34,231
2022-11-09 12:52,34,238
2022-11-09 15:25,34,240
2022-11-09 18:27,35,244
2022-11-09 21:23,36,252
2022-11-10 02:04,36,253
2022-11-10 03:56,37,253
2022-11-10 06:28,37,254
2022-11-10 09:23,37,264
2022-11-10 12:52,37,267
2022-11-10 15:23,38,270
2022-11-10 18:28,39,286
2022-11-10 21:21,39,293
2022-11-11 02:04,38,296
2022-11-11 03:56,39,299
2022-11-11 06:32,39,301
2022-11-11 09:22,39,305
2022-11-11 12:51,40,313
2022-11-11 15:25,41,318
2022-11-11 18:29,41,330
2022-11-11 21:20,43,343
2022-11-12 01:59,45,357
2022-11-12 03:54,45,357
2022-11-12 06:27,45,357
2022-11-12 09:21,45,368
2022-11-12 12:39,45,388
2022-11-12 15:23,45,401
2022-11-12 18:26,45,409
2022-11-12 21:19,45,426
2022-11-13 01:59,45,431
2022-11-13 03:55,45,431
2022-11-13 06:27,45,431
2022-11-13 09:21,46,441
2022-11-13 12:41,46,454
2022-11-13 15:22,46,471
2022-11-13 18:26,46,485
2022-11-13 21:19,46,496
2022-11-14 01:58,46,505
2022-11-14 03:58,46,506
2022-11-14 06:29,46,510
2022-11-14 09:23,46,523
2022-11-14 12:53,46,540
2022-11-14 15:25,46,548
2022-11-14 18:27,46,557
2022-11-14 21:21,46,579
2022-11-15 01:56,46,594
2022-11-15 03:47,46,596
2022-11-15 06:26,46,601
2022-11-15 09:21,46,604
2022-11-15 12:44,46,611
2022-11-15 15:23,46,621
2022-11-15 18:27,46,638
2022-11-15 21:19,46,649
2022-11-16 01:57,46,660
2022-11-16 03:48,46,660
2022-11-16 06:26,46,661
2022-11-16 09:21,46,669
2022-11-16 12:43,46,676
2022-11-16 15:22,46,679
2022-11-16 18:26,47,689
2022-11-16 21:18,47,697
2022-11-17 01:56,47,711
2022-11-17 03:43,47,711
2022-11-17 06:27,47,715
2022-11-17 09:21,47,724
2022-11-17 12:45,47,735
2022-11-17 15:22,47,736
2022-11-17 18:26,47,743
2022-11-17 21:18,47,746
2022-11-18 02:01,47,758
2022-11-18 03:43,47,758
2022-11-18 06:27,47,764
2022-11-18 09:21,48,775
2022-11-18 12:40,49,802
2022-11-18 15:22,51,817
2022-11-18 18:28,51,821
2022-11-18 21:18,52,829
2022-11-19 01:53,53,840
2022-11-19 03:41,53,841
2022-11-19 06:26,53,844
2022-11-19 09:19,53,851
2022-11-19 12:37,53,864
2022-11-19 15:21,53,874
2022-11-19 18:25,54,879
2022-11-19 21:18,54,885
2022-11-20 02:01,54,886
2022-11-20 03:46,54,886
2022-11-20 06:26,54,887
2022-11-20 09:19,54,893
2022-11-20 12:38,54,904
2022-11-20 15:20,55,905
2022-11-20 18:25,57,920
2022-11-20 21:18,58,927
2022-11-21 01:57,60,935
2022-11-21 07:13,60,939
2022-11-21 09:22,60,939
2022-11-21 13:51,61,955
2022-11-21 15:23,61,958
2022-11-21 18:27,62,984
2022-11-21 21:21,62,1011
2022-11-22 01:59,62,1024
2022-11-22 03:40,62,1024
2022-11-22 06:27,62,1024
2022-11-22 09:21,62,1024
2022-11-22 12:43,62,1058
2022-11-22 15:23,63,1074
2022-11-22 18:26,63,1084
2022-11-22 21:17,63,1094
2022-11-23 01:46,64,1106
2022-11-23 03:34,64,1106
2022-11-23 06:25,64,1109
2022-11-23 09:19,65,1120
2022-11-23 12:40,65,1134
2022-11-23 15:21,65,1144
2022-11-23 18:24,65,1173
2022-11-23 21:17,65,1187
2022-11-24 01:49,65,1208
2022-11-24 03:29,65,1208
2022-11-24 06:25,65,1212
2022-11-24 09:19,65,1222
2022-11-24 12:40,65,1241
2022-11-24 15:20,65,1246
2022-11-24 18:25,65,1260
2022-11-24 21:17,65,1269
2022-11-25 01:46,65,1273
2022-11-25 03:37,65,1274
2022-11-25 06:26,65,1283
2022-11-25 09:19,65,1291
2022-11-25 12:39,65,1318
2022-11-25 15:20,65,1322
2022-11-25 18:25,65,1324
2022-11-25 21:17,65,1328
2022-11-26 01:41,65,1338
2022-11-26 03:26,65,1338
2022-11-26 06:24,65,1340
2022-11-26 09:18,65,1348
2022-11-26 12:35,65,1368
2022-11-26 15:19,65,1380
2022-11-26 18:23,65,1383
2022-11-26 21:17,66,1386
2022-11-27 01:51,66,1390
2022-11-27 03:40,66,1390
2022-11-27 06:24,66,1390
2022-11-27 09:18,66,1391
2022-11-27 12:35,66,1400
2022-11-27 15:19,66,1410
2022-11-27 18:23,66,1426
2022-11-27 21:17,66,1437
2022-11-28 01:44,68,1449
2022-11-28 03:31,68,1449
2022-11-28 06:26,68,1451
2022-11-28 09:20,69,1464
2022-11-28 12:38,69,1476
2022-11-28 15:18,69,1476
2022-11-28 18:25,69,1482
2022-11-28 21:18,69,1490
2022-11-29 01:44,69,1508
2022-11-29 03:30,69,1508
2022-11-29 06:26,69,1511
2022-11-29 09:19,69,1521
2022-11-29 12:39,69,1527
2022-11-29 15:21,69,1534
2022-11-29 18:23,69,1543
2022-11-29 21:18,70,1549
2022-11-30 01:45,70,1560
2022-11-30 03:27,70,1563
2022-11-30 06:25,70,1563
2022-11-30 09:20,70,1586
2022-11-30 12:41,70,1596
2022-11-30 15:22,70,1605
2022-11-30 18:25,70,1618
2022-11-30 21:18,70,1628
2022-12-01 01:56,69,1629
2022-12-01 03:38,69,1631
2022-12-01 06:26,69,1633
2022-12-01 09:20,68,1641
2022-12-01 12:42,68,1648
2022-12-01 15:21,68,1653
2022-12-01 18:25,68,1660
2022-12-01 21:15,68,1666
2022-12-02 01:37,68,1681
2022-12-02 03:24,68,1682
2022-12-02 06:24,68,1682
2022-12-02 09:18,68,1689
2022-12-02 12:35,68,1701
2022-12-02 15:17,68,1704
2022-12-02 18:22,68,1708
2022-12-02 21:16,68,1712
2022-12-03 01:27,70,1713
2022-12-03 03:20,70,1714
2022-12-03 06:22,70,1714
2022-12-03 09:17,70,1721
2022-12-03 12:33,70,1740
2022-12-03 15:18,70,1745
2022-12-03 18:22,70,1755
2022-12-03 21:15,70,1755
2022-12-04 01:39,70,1759
2022-12-04 03:20,70,1759
2022-12-04 06:22,70,1759
2022-12-04 09:17,70,1762
2022-12-04 12:35,71,1770
2022-12-04 15:18,71,1782
2022-12-04 18:27,71,1793
2022-12-04 21:16,71,1799
2022-12-05 01:38,71,1802
2022-12-05 03:20,71,1802
2022-12-05 06:24,71,1805
2022-12-05 09:19,71,1820
2022-12-05 12:37,71,1823
2022-12-05 15:20,71,1827
2022-12-05 18:23,71,1834
2022-12-05 21:17,71,1850
2022-12-06 01:35,71,1851
2022-12-06 03:41,71,1856
2022-12-06 06:24,71,1856
2022-12-06 09:18,71,1864
2022-12-06 12:38,71,1868
2022-12-06 15:20,71,1872
2022-12-06 18:38,71,1884
2022-12-06 21:16,71,1900
2022-12-07 01:41,71,1903
2022-12-07 03:24,71,1903
2022-12-07 09:18,71,1909
2022-12-07 12:36,71,1918
2022-12-07 15:20,71,1925
2022-12-07 18:24,71,1931
2022-12-07 21:17,71,1943
2022-12-08 01:37,71,1950
2022-12-08 03:21,71,1953
2022-12-08 06:25,71,1956
2022-12-08 09:18,71,1971
2022-12-08 12:36,71,1981
2022-12-08 15:19,71,1985
2022-12-08 18:23,71,1987
2022-12-08 21:17,71,2001
2022-12-09 01:40,71,2005
2022-12-09 03:22,71,2005
2022-12-09 06:23,71,2006
2022-12-09 09:18,71,2010
2022-12-09 12:35,71,2019
2022-12-09 15:18,71,2036
2022-12-09 18:45,71,2045
2022-12-09 21:17,71,2051
2022-12-10 01:34,70,2058
2022-12-10 03:20,70,2059
2022-12-10 06:23,70,2061
2022-12-10 09:17,70,2066
2022-12-10 12:33,70,2077
2022-12-10 15:18,70,2094
2022-12-10 18:22,70,2100
2022-12-10 21:31,70,2106
2022-12-11 01:44,71,2107
2022-12-11 03:24,71,2107
2022-12-11 06:23,71,2107
2022-12-11 09:17,71,2111
2022-12-11 12:34,71,2113
2022-12-11 15:19,71,2120
2022-12-11 19:14,72,2121
2022-12-11 21:16,72,2124
2022-12-12 01:40,73,2131
2022-12-12 03:24,73,2131
2022-12-12 06:24,73,2131
2022-12-12 09:19,73,2140
2022-12-12 12:37,73,2141
2022-12-12 15:20,73,2142
2022-12-12 18:24,73,2143
2022-12-12 21:17,73,2149
2022-12-13 01:43,73,2157
2022-12-13 03:27,73,2157
