updated_at,users,statuses
2022-11-21 09:22,16,191
2022-11-21 13:51,16,245
2022-11-21 15:23,16,260
2022-11-21 18:27,16,262
2022-11-21 21:21,17,262
2022-11-22 01:59,17,263
2022-11-22 03:40,17,270
2022-11-22 06:27,17,272
2022-11-22 09:21,17,273
2022-11-22 15:23,17,284
2022-11-22 18:26,17,287
2022-11-22 21:17,17,287
2022-11-23 01:46,17,287
2022-11-23 03:34,17,291
2022-11-23 06:25,17,301
2022-11-23 09:19,18,347
2022-11-23 12:40,18,370
2022-11-23 15:21,19,422
2022-11-23 18:24,19,425
2022-11-23 21:17,19,425
2022-11-24 01:49,19,432
2022-11-24 03:29,20,436
2022-11-24 06:25,20,454
2022-11-24 09:19,20,455
2022-11-24 12:40,20,488
2022-11-24 15:20,21,685
2022-11-24 18:25,21,707
2022-11-24 21:17,21,715
2022-11-25 01:46,21,724
2022-11-25 03:37,21,733
2022-11-25 06:26,21,771
2022-11-25 09:19,21,785
2022-11-25 12:39,23,829
2022-11-25 15:20,23,892
2022-11-25 18:25,23,899
2022-11-25 21:17,23,899
2022-11-26 01:41,23,909
2022-11-26 03:26,23,956
2022-11-26 06:24,23,983
2022-11-26 09:18,23,999
2022-11-26 12:35,23,1009
2022-11-26 15:19,23,1034
2022-11-26 18:23,23,1043
2022-11-26 21:17,23,1043
2022-11-27 01:51,23,1059
2022-11-27 03:40,23,1064
2022-11-27 06:24,23,1084
2022-11-27 09:18,23,1106
2022-11-27 12:35,23,1134
2022-11-27 15:19,23,1139
2022-11-27 18:23,23,1146
2022-11-27 21:17,23,1148
2022-11-28 01:44,22,1152
2022-11-28 03:31,22,1154
2022-11-28 06:26,22,1160
2022-11-28 09:20,22,1163
2022-11-28 12:38,22,1169
2022-11-28 15:18,22,1177
2022-11-28 18:25,23,1182
2022-11-28 21:18,23,1182
2022-11-29 01:44,23,1195
2022-11-29 03:30,23,1200
2022-11-29 06:26,23,1204
2022-11-29 09:19,23,1210
2022-11-29 12:39,23,1214
2022-11-29 15:21,23,1217
2022-11-29 18:23,23,1218
2022-11-29 21:18,23,1218
2022-11-30 01:45,23,1217
2022-11-30 03:27,23,1219
2022-11-30 06:25,23,1220
2022-11-30 09:20,23,1220
2022-11-30 12:41,23,1221
2022-11-30 15:22,23,1227
2022-11-30 18:25,23,1230
2022-11-30 21:18,23,1230
2022-12-01 01:56,23,1233
2022-12-01 03:38,23,1233
2022-12-01 06:26,23,1236
2022-12-01 09:20,23,1236
2022-12-01 12:42,23,1239
2022-12-01 15:21,23,1243
2022-12-01 18:25,23,1243
2022-12-01 21:15,23,1243
2022-12-02 01:37,23,1245
2022-12-02 03:24,23,1252
2022-12-02 06:24,23,1254
2022-12-02 09:18,23,1255
2022-12-02 12:35,23,1256
2022-12-02 15:17,23,1256
2022-12-02 18:22,23,1256
2022-12-02 21:16,23,1257
2022-12-03 01:27,23,1259
2022-12-03 03:20,23,1259
2022-12-03 06:22,23,1264
2022-12-03 09:17,23,1265
2022-12-03 12:33,23,1270
2022-12-03 15:18,23,1273
2022-12-03 18:22,23,1275
2022-12-03 21:15,23,1276
2022-12-04 01:39,23,1281
2022-12-04 03:20,23,1293
2022-12-04 06:22,23,1293
2022-12-04 09:17,23,1294
2022-12-04 12:35,23,1297
2022-12-04 15:18,23,1300
2022-12-04 18:27,23,1300
2022-12-04 21:16,23,1300
2022-12-05 01:38,23,1303
2022-12-05 03:20,23,1305
2022-12-05 06:24,24,1319
2022-12-05 09:19,24,1320
2022-12-05 12:37,24,1324
2022-12-05 15:20,24,1335
2022-12-05 18:23,24,1360
2022-12-05 21:17,24,1360
2022-12-06 01:35,24,1366
2022-12-06 03:41,24,1367
2022-12-06 06:24,24,1368
2022-12-06 09:18,24,1372
2022-12-06 12:38,24,1372
2022-12-06 15:20,24,1374
2022-12-06 18:38,24,1374
2022-12-06 21:16,24,1374
2022-12-07 01:41,24,1376
2022-12-07 03:24,24,1376
2022-12-07 09:18,24,1387
2022-12-07 12:36,24,1388
2022-12-07 15:20,24,1394
2022-12-07 18:24,24,1394
2022-12-07 21:17,24,1394
2022-12-08 01:37,24,1393
2022-12-08 03:21,24,1393
2022-12-08 06:25,24,1394
2022-12-08 09:18,24,1394
2022-12-08 12:36,24,1398
2022-12-08 15:19,24,1403
2022-12-08 18:23,24,1403
2022-12-08 21:17,24,1403
2022-12-09 01:40,24,1404
2022-12-09 03:22,24,1404
2022-12-09 06:23,24,1405
2022-12-09 09:18,24,1407
2022-12-09 12:35,24,1410
2022-12-09 15:18,24,1412
2022-12-09 18:45,24,1412
2022-12-09 21:17,24,1412
2022-12-10 01:34,24,1417
2022-12-10 03:20,24,1418
2022-12-10 06:23,24,1424
2022-12-10 09:17,24,1428
2022-12-10 12:33,24,1430
2022-12-10 15:18,24,1431
2022-12-10 18:22,24,1448
2022-12-10 21:31,24,1448
2022-12-11 01:44,24,1451
2022-12-11 03:24,24,1461
2022-12-11 06:23,24,1471
2022-12-11 09:17,25,1484
2022-12-11 12:34,25,1489
2022-12-11 15:19,25,1490
2022-12-11 19:14,24,1491
2022-12-11 21:16,24,1491
2022-12-12 01:40,24,1494
2022-12-12 03:24,24,1496
2022-12-12 06:24,24,1496
2022-12-12 09:19,24,1496
2022-12-12 12:37,24,1505
2022-12-12 15:20,24,1505
2022-12-12 18:24,24,1505
2022-12-12 21:17,24,1505
2022-12-13 01:43,24,1507
2022-12-13 03:27,24,1508
2022-12-13 06:25,24,1508
2022-12-13 09:19,24,1509
2022-12-13 12:37,25,1519
2022-12-13 15:24,25,1523
2022-12-13 18:23,25,1523
2022-12-13 21:17,25,1528
2022-12-14 01:40,25,1531
2022-12-14 03:23,25,1536
2022-12-14 06:24,25,1539
2022-12-14 09:18,25,1540
2022-12-14 12:37,25,1543
2022-12-14 15:20,25,1547
2022-12-14 18:23,25,1547
2022-12-14 21:17,25,1547
2022-12-15 01:41,25,1547
2022-12-15 03:24,25,1547
2022-12-15 06:24,25,1551
2022-12-15 09:19,25,1551
2022-12-15 12:36,25,1554
2022-12-15 15:20,25,1556
2022-12-15 18:21,25,1557
2022-12-15 21:15,25,1557
2022-12-16 01:26,25,1560
2022-12-16 09:17,25,1567
2022-12-16 12:33,25,1592
2022-12-16 15:20,25,1594
2022-12-16 18:22,25,1594
2022-12-16 21:16,25,1594
2022-12-17 01:24,25,1595
2022-12-17 03:19,25,1596
2022-12-17 06:21,25,1597
2022-12-17 09:16,25,1598
2022-12-17 12:31,25,1604
2022-12-17 15:17,25,1605
2022-12-17 18:20,25,1610
2022-12-17 21:14,25,1610
2022-12-18 01:27,25,1619
2022-12-18 03:19,25,1619
2022-12-18 06:21,25,1619
2022-12-18 09:16,25,1620
2022-12-18 12:32,25,1626
2022-12-18 15:17,25,1627
2022-12-18 18:20,25,1627
2022-12-18 21:14,25,1627
2022-12-19 01:24,25,1632
2022-12-19 03:19,25,1632
2022-12-19 06:23,25,1637
2022-12-19 09:18,25,1637
2022-12-20 01:28,26,1646
2022-12-20 03:19,26,1646
2022-12-20 06:24,26,1649
2022-12-20 09:18,26,1649
2022-12-20 12:35,26,1651
2022-12-20 15:20,27,1655
2022-12-20 18:22,27,1655
2022-12-20 21:16,27,1655
2022-12-21 01:25,27,1655
2022-12-21 03:20,27,1655
2022-12-21 06:23,27,1658
2022-12-21 09:18,27,1661
2022-12-21 12:18,27,1665
2022-12-21 12:35,27,1665
2022-12-21 15:20,27,1670
2022-12-21 18:22,27,1670
2022-12-21 21:16,27,1670
2022-12-22 01:32,27,1671
2022-12-22 03:19,27,1676
2022-12-22 06:23,27,1676
2022-12-22 09:17,27,1679
2022-12-22 12:35,27,1679
2022-12-22 15:20,28,1687
2022-12-22 18:23,28,1699
2022-12-22 21:16,28,1699
2022-12-23 01:27,28,1708
2022-12-23 03:20,28,1708
2022-12-23 06:23,28,1708
2022-12-23 09:17,28,1710
2022-12-23 12:34,28,1714
2022-12-23 15:18,28,1747
2022-12-23 18:22,28,1753
2022-12-23 21:15,28,1753
2022-12-24 01:21,28,1757
2022-12-24 03:19,28,1757
2022-12-24 06:21,28,1773
2022-12-24 09:16,28,1790
2022-12-24 12:31,28,1794
2022-12-24 15:17,28,1804
2022-12-24 18:21,28,1806
2022-12-24 21:15,28,1806
2022-12-25 01:37,28,1814
2022-12-25 03:19,28,1814
2022-12-25 06:21,28,1815
2022-12-25 09:16,28,1816
2022-12-25 12:32,28,1829
2022-12-25 15:17,28,1859
2022-12-25 18:21,28,1878
2022-12-25 21:15,28,1883
2022-12-26 01:33,28,1886
2022-12-26 03:20,28,1894
2022-12-26 06:23,28,1906
2022-12-26 09:17,28,1911
