updated_at,users,statuses
2022-11-26 01:41,4,47
2022-11-26 03:26,4,47
2022-11-26 06:24,4,51
2022-11-26 09:18,4,58
2022-11-26 12:35,4,68
2022-11-26 15:19,4,68
2022-11-26 18:23,4,69
2022-11-26 21:17,4,81
2022-11-27 01:51,4,104
2022-11-27 03:40,4,106
2022-11-27 06:24,5,109
2022-11-27 09:18,5,109
2022-11-27 12:35,5,109
2022-11-27 15:19,5,109
2022-11-27 18:23,5,109
2022-11-27 21:17,6,120
2022-11-28 01:44,6,139
2022-11-28 03:31,6,147
2022-11-28 06:26,6,177
2022-11-28 09:20,6,182
2022-11-28 12:38,6,182
2022-11-28 15:18,6,182
2022-11-28 18:25,6,191
2022-11-28 21:18,7,191
2022-11-29 01:44,7,195
2022-11-29 03:30,7,199
2022-11-29 06:26,7,200
2022-11-29 09:19,7,208
2022-11-29 12:39,7,208
2022-11-29 15:21,7,208
2022-11-29 18:23,7,214
2022-11-29 21:18,7,216
2022-11-30 01:45,7,219
2022-11-30 03:27,7,219
2022-11-30 06:25,7,220
2022-11-30 09:20,7,227
2022-11-30 12:41,7,227
2022-11-30 15:22,7,227
2022-11-30 18:25,7,230
2022-11-30 21:18,7,229
2022-12-01 01:56,7,229
2022-12-01 03:38,7,240
2022-12-01 06:26,7,240
2022-12-01 09:20,7,242
2022-12-01 12:42,7,242
2022-12-01 15:21,7,242
2022-12-01 18:25,7,242
2022-12-01 21:15,7,242
2022-12-02 01:37,7,245
2022-12-02 03:24,7,245
2022-12-02 06:24,7,246
2022-12-02 09:18,7,246
2022-12-02 12:35,7,246
2022-12-02 15:17,7,246
2022-12-02 18:22,7,251
2022-12-02 21:16,7,251
2022-12-03 01:27,7,251
2022-12-03 03:20,7,251
2022-12-03 06:22,7,251
2022-12-03 09:17,7,257
2022-12-03 12:33,7,259
2022-12-03 15:18,7,259
2022-12-03 18:22,7,261
2022-12-03 21:15,7,266
2022-12-04 01:39,7,275
2022-12-04 03:20,7,282
2022-12-04 06:22,7,285
2022-12-04 09:17,7,302
2022-12-04 12:35,7,302
2022-12-04 15:18,7,302
2022-12-04 18:27,7,302
2022-12-04 21:16,7,305
2022-12-05 01:38,8,334
2022-12-05 03:20,8,342
2022-12-05 06:24,8,346
2022-12-05 09:19,8,366
2022-12-05 12:37,8,371
2022-12-05 15:20,8,371
2022-12-05 18:23,8,377
2022-12-05 21:17,8,377
2022-12-06 01:35,8,377
2022-12-06 03:41,8,377
2022-12-06 06:24,8,381
2022-12-06 09:18,8,387
2022-12-06 12:38,8,387
2022-12-06 15:20,8,387
2022-12-06 18:38,8,388
2022-12-06 21:16,8,388
2022-12-07 01:41,9,391
2022-12-07 03:24,9,391
2022-12-07 09:18,9,403
2022-12-07 12:36,9,403
2022-12-07 15:20,9,403
2022-12-07 18:24,9,408
2022-12-07 21:17,9,408
2022-12-08 01:37,9,408
2022-12-08 03:21,9,409
2022-12-08 06:25,9,409
2022-12-08 09:18,9,409
2022-12-08 12:36,9,409
2022-12-08 15:19,9,409
2022-12-08 18:23,9,416
2022-12-08 21:17,9,416
2022-12-09 01:40,9,418
2022-12-09 03:22,9,418
2022-12-09 06:23,9,418
2022-12-09 09:18,9,418
2022-12-09 12:35,9,418
2022-12-09 15:18,9,418
2022-12-09 18:45,9,418
2022-12-09 21:17,9,418
2022-12-10 01:34,9,421
2022-12-10 03:20,9,421
2022-12-10 06:23,9,421
2022-12-10 09:17,9,422
2022-12-10 12:33,9,422
2022-12-10 15:18,9,422
2022-12-10 18:22,9,422
2022-12-10 21:31,9,434
2022-12-11 01:44,9,436
2022-12-11 03:24,9,436
2022-12-11 06:23,9,436
2022-12-11 09:17,9,436
2022-12-11 12:34,9,436
2022-12-11 15:19,9,435
2022-12-11 19:14,9,437
2022-12-11 21:16,9,439
2022-12-12 01:40,9,439
2022-12-12 03:24,9,438
2022-12-12 06:24,9,444
2022-12-12 09:19,9,444
2022-12-12 12:37,9,443
2022-12-12 15:20,9,443
2022-12-12 18:24,9,443
2022-12-12 21:17,9,443
2022-12-13 01:43,9,443
2022-12-13 03:27,9,443
2022-12-13 06:25,9,444
2022-12-13 09:19,9,444
2022-12-13 12:37,9,444
2022-12-13 15:24,9,444
2022-12-13 18:23,9,444
2022-12-13 21:17,9,444
2022-12-14 01:40,9,444
2022-12-14 03:23,9,444
2022-12-14 06:24,9,444
2022-12-14 09:18,9,443
2022-12-14 12:37,9,443
2022-12-14 15:20,9,443
2022-12-14 18:23,9,443
2022-12-14 21:17,9,443
2022-12-15 01:41,9,443
2022-12-15 03:24,9,443
2022-12-15 06:24,9,443
2022-12-15 09:19,9,443
2022-12-15 12:36,9,443
2022-12-15 15:20,9,443
2022-12-15 18:21,9,446
2022-12-15 21:15,9,446
2022-12-16 01:26,9,446
2022-12-16 09:17,12,491
2022-12-16 12:33,12,491
2022-12-16 15:20,12,491
2022-12-16 18:22,12,494
2022-12-16 21:16,12,496
2022-12-17 01:24,12,496
2022-12-17 03:19,12,496
2022-12-17 06:21,12,498
2022-12-17 09:16,12,513
2022-12-17 12:31,12,513
2022-12-17 15:17,12,513
2022-12-17 18:20,12,514
2022-12-17 21:14,12,514
2022-12-18 01:27,12,528
2022-12-18 03:19,12,532
2022-12-18 06:21,12,532
2022-12-18 09:16,12,532
2022-12-18 12:32,12,532
2022-12-18 15:17,12,532
2022-12-18 18:20,12,532
2022-12-18 21:14,12,548
2022-12-19 01:24,12,553
2022-12-19 03:19,12,579
2022-12-19 06:23,12,591
2022-12-19 09:18,12,595
