updated_at,users,statuses
2022-11-04 10:13,72,1880
2022-11-04 13:09,74,1895
2022-11-04 15:25,75,1929
2022-11-04 18:28,75,1962
2022-11-04 21:19,76,1986
2022-11-05 02:03,77,2028
2022-11-05 03:49,77,2029
2022-11-05 06:27,77,2035
2022-11-05 09:21,77,2053
2022-11-05 12:38,78,2078
2022-11-05 15:21,78,2099
2022-11-05 18:26,79,2139
2022-11-05 21:18,80,2158
2022-11-06 02:06,81,2206
2022-11-06 03:50,81,2206
2022-11-06 06:27,81,2208
2022-11-06 09:22,81,2225
2022-11-06 12:40,82,2263
2022-11-06 15:24,83,2286
2022-11-06 18:26,91,2321
2022-11-06 21:19,94,2384
2022-11-07 02:00,94,2421
2022-11-07 04:00,94,2422
2022-11-07 06:28,94,2424
2022-11-07 09:22,96,2467
2022-11-07 12:50,98,2516
2022-11-07 15:24,98,2535
2022-11-07 18:27,98,2564
2022-11-07 21:22,100,2607
2022-11-08 02:00,100,2637
2022-11-08 04:00,100,2637
2022-11-08 06:30,100,2651
2022-11-08 09:23,100,2684
2022-11-08 12:51,101,2746
2022-11-08 15:24,103,2776
2022-11-08 18:32,102,2825
2022-11-08 21:20,103,2882
2022-11-09 02:11,104,2914
2022-11-09 04:03,104,2916
2022-11-09 06:35,104,2931
2022-11-09 09:22,106,2973
2022-11-09 12:52,107,3025
2022-11-09 15:25,107,3056
2022-11-09 18:27,108,3102
2022-11-09 21:23,109,3150
2022-11-10 02:04,109,3170
2022-11-10 03:56,109,3170
2022-11-10 06:28,109,3176
2022-11-10 09:23,113,3229
2022-11-10 12:52,116,3279
2022-11-10 15:23,119,3352
2022-11-10 18:28,119,3412
2022-11-10 21:21,122,3485
2022-11-11 02:04,124,3542
2022-11-11 03:56,124,3543
2022-11-11 06:32,125,3571
2022-11-11 09:22,125,3610
2022-11-11 12:51,126,3650
2022-11-11 15:25,126,3697
2022-11-11 18:29,127,3734
2022-11-11 21:20,127,3768
2022-11-12 01:59,128,3810
2022-11-12 03:54,128,3812
2022-11-12 06:27,128,3815
2022-11-12 09:21,129,3835
2022-11-12 12:39,130,3873
2022-11-12 15:23,130,3906
2022-11-12 18:26,130,3937
2022-11-12 21:19,130,3976
2022-11-13 01:59,131,4035
2022-11-13 03:55,131,4036
2022-11-13 06:27,131,4037
2022-11-13 09:21,131,4095
2022-11-13 12:41,131,4142
2022-11-13 15:22,132,4181
2022-11-13 18:26,132,4229
2022-11-13 21:19,132,4261
2022-11-14 01:58,132,4285
2022-11-14 03:58,132,4285
2022-11-14 06:29,132,4293
2022-11-14 09:23,133,4329
2022-11-14 12:53,134,4388
2022-11-14 15:25,134,4436
2022-11-14 18:27,135,4467
2022-11-14 21:21,136,4517
2022-11-15 01:56,136,4563
2022-11-15 03:47,136,4563
2022-11-15 06:26,136,4568
2022-11-15 09:21,137,4594
2022-11-15 12:44,137,4621
2022-11-15 15:23,137,4659
2022-11-15 18:27,137,4688
2022-11-15 21:19,137,4744
2022-11-16 01:57,137,4762
2022-11-16 03:48,137,4762
2022-11-16 06:26,137,4774
2022-11-16 09:21,137,4800
2022-11-16 12:43,137,4841
2022-11-16 15:22,137,4864
2022-11-16 18:26,136,4903
2022-11-16 21:18,136,4948
2022-11-17 01:56,136,4961
2022-11-17 03:43,136,4960
2022-11-17 06:27,136,4966
2022-11-17 09:21,136,5006
2022-11-17 12:45,136,5028
2022-11-17 15:22,136,5061
2022-11-17 18:26,136,5094
2022-11-17 21:18,136,5135
2022-11-18 02:01,136,5152
2022-11-18 03:43,136,5152
2022-11-18 06:27,136,5160
2022-11-18 09:21,136,5184
2022-11-18 12:40,137,5238
2022-11-18 15:22,138,5263
2022-11-18 18:28,139,5292
2022-11-18 21:18,141,5335
2022-11-19 01:53,141,5359
2022-11-19 03:41,141,5363
2022-11-19 06:26,141,5374
2022-11-19 09:19,142,5408
2022-11-19 12:37,142,5449
2022-11-19 15:21,143,5485
2022-11-19 18:25,145,5527
2022-11-19 21:18,145,5582
2022-11-20 02:01,146,5606
2022-11-20 03:46,146,5607
2022-11-20 06:26,146,5611
2022-11-20 09:19,147,5646
2022-11-20 12:38,149,5713
2022-11-20 15:20,149,5749
2022-11-20 18:25,150,5793
2022-11-20 21:18,150,5833
2022-11-21 01:57,151,5863
2022-11-21 07:13,151,5889
2022-11-21 09:22,152,5948
2022-11-21 13:51,152,5996
2022-11-21 15:23,152,6014
2022-11-21 18:27,153,6054
2022-11-21 21:21,153,6084
2022-11-22 01:59,153,6097
2022-11-22 03:40,153,6097
2022-11-22 06:27,153,6120
2022-11-22 09:21,153,6179
2022-11-22 12:43,153,6197
2022-11-22 15:23,153,6222
2022-11-22 18:26,153,6243
2022-11-22 21:17,153,6291
2022-11-23 01:46,154,6330
2022-11-23 03:34,154,6330
2022-11-23 06:25,154,6331
2022-11-23 09:19,154,6338
2022-11-23 12:40,154,6374
2022-11-23 15:21,154,6411
2022-11-23 18:24,154,6468
2022-11-23 21:17,154,6476
2022-11-24 01:49,154,6493
2022-11-24 03:29,154,6495
2022-11-24 06:25,154,6500
2022-11-24 09:19,154,6524
2022-11-24 12:40,154,6561
2022-11-24 15:20,154,6579
2022-11-24 18:25,154,6603
2022-11-24 21:17,154,6645
2022-11-25 01:46,154,6658
2022-11-25 03:37,154,6659
2022-11-25 06:26,154,6677
2022-11-25 09:19,154,6697
2022-11-25 12:39,154,6750
2022-11-25 15:20,154,6774
2022-11-25 18:25,155,6798
2022-11-25 21:17,156,6821
2022-11-26 01:41,156,6853
2022-11-26 03:26,156,6854
2022-11-26 06:24,156,6859
2022-11-26 09:18,156,6889
2022-11-26 12:35,156,6920
2022-11-26 15:19,156,6933
2022-11-26 18:23,156,6960
2022-11-26 21:17,156,6986
2022-11-27 01:51,156,7014
2022-11-27 03:40,156,7017
2022-11-27 06:24,156,7019
2022-11-27 09:18,156,7047
2022-11-27 12:35,156,7072
2022-11-27 15:19,156,7085
2022-11-27 18:23,156,7103
