updated_at,users,statuses
2022-11-04 10:13,869,254748
2022-11-04 13:09,869,254731
2022-11-04 15:25,869,254572
2022-11-04 18:28,869,254572
2022-11-04 21:19,869,254590
2022-11-05 02:03,868,254446
2022-11-05 03:49,869,254491
2022-11-05 06:27,869,254551
2022-11-05 09:21,870,254718
2022-11-05 12:38,870,254809
2022-11-05 15:21,872,254891
2022-11-05 18:26,873,254979
2022-11-05 21:18,873,255008
2022-11-06 02:06,873,255060
2022-11-06 03:50,873,255066
2022-11-06 06:27,874,255107
2022-11-06 09:22,874,255197
2022-11-06 12:40,874,255266
2022-11-06 15:24,876,255444
2022-11-06 18:26,879,255556
2022-11-06 21:19,879,255591
2022-11-07 02:00,879,255611
2022-11-07 04:00,879,255640
2022-11-07 06:28,879,255798
2022-11-07 09:22,881,256043
2022-11-07 12:50,887,256216
2022-11-07 15:24,896,256404
2022-11-07 18:27,905,256722
2022-11-07 21:22,907,256793
2022-11-08 02:00,918,256929
2022-11-08 04:00,921,257025
2022-11-08 06:30,943,257223
2022-11-08 09:23,1016,257811
2022-11-08 12:51,1088,258419
2022-11-08 15:24,1142,259094
2022-11-08 18:32,1172,259422
2022-11-08 21:20,1178,259486
2022-11-09 02:11,1204,259821
2022-11-09 04:03,1212,260230
2022-11-09 06:35,1229,260598
2022-11-09 09:22,1250,259790
2022-11-09 12:52,1279,260150
2022-11-09 15:25,1577,261005
2022-11-09 18:27,1682,262412
2022-11-09 21:23,1775,263435
2022-11-10 02:04,2087,264763
2022-11-10 03:56,2339,266002
2022-11-10 06:28,2716,267510
2022-11-10 09:23,2986,269660
2022-11-10 12:52,3283,271663
2022-11-10 15:23,3457,273849
2022-11-10 18:28,3554,275665
2022-11-10 21:21,3575,276587
2022-11-11 02:04,3679,278018
2022-11-11 03:56,3724,279323
2022-11-11 06:32,3770,281168
2022-11-11 09:22,3863,282890
2022-11-11 12:51,3977,284975
2022-11-11 15:25,4051,286866
2022-11-11 18:29,4107,288112
2022-11-11 21:20,4127,288650
2022-11-12 01:59,4177,288502
2022-11-12 03:54,4245,289558
2022-11-12 06:27,4329,291141
2022-11-12 09:21,4458,293409
2022-11-12 12:39,4568,296832
2022-11-12 15:23,4654,298844
2022-11-12 18:26,4700,301606
2022-11-12 21:19,4724,302317
2022-11-13 01:59,4749,302975
2022-11-13 03:55,4780,304047
2022-11-13 06:27,4807,305159
2022-11-13 09:21,4833,306537
2022-11-13 12:41,4843,307836
2022-11-13 15:22,4866,309429
2022-11-13 18:26,4887,311347
2022-11-13 21:19,4897,312089
2022-11-14 01:58,4911,312955
2022-11-14 03:58,4920,313612
2022-11-14 06:29,4950,314472
2022-11-14 09:23,4972,315593
2022-11-14 12:53,5000,316932
2022-11-14 15:25,5009,318335
2022-11-14 18:27,5024,319543
2022-11-14 21:21,5032,319941
2022-11-15 01:56,5039,320682
2022-11-15 03:47,5046,321172
2022-11-15 06:26,5054,321931
2022-11-15 09:21,5066,322843
2022-11-15 12:44,5073,324145
2022-11-15 15:23,5082,325237
2022-11-15 18:27,5087,325561
2022-11-15 21:19,5093,325592
2022-11-16 01:57,5099,326372
2022-11-16 03:48,5105,327006
2022-11-16 06:26,5113,327916
2022-11-16 09:21,5120,328767
2022-11-16 12:43,5134,329900
2022-11-16 15:22,5154,330878
2022-11-16 18:26,5156,331269
2022-11-16 21:18,5157,331430
2022-11-17 01:56,5162,331854
2022-11-17 03:43,5170,332202
2022-11-17 06:27,5184,332766
2022-11-17 09:21,5199,333183
2022-11-17 12:45,5210,334208
2022-11-17 15:22,5216,334763
2022-11-17 18:26,5214,334871
2022-11-17 21:18,5215,334946
2022-11-18 02:01,5222,335378
2022-11-18 03:43,5805,336380
2022-11-18 06:27,6296,338660
2022-11-18 09:21,6749,344570
2022-11-18 12:40,7433,350190
2022-11-18 15:22,7811,354153
2022-11-18 18:28,7961,356494
2022-11-18 21:18,8047,357548
2022-11-19 01:53,8142,359130
2022-11-19 03:41,8215,359855
2022-11-19 06:26,8306,362074
2022-11-19 09:19,8376,363684
2022-11-19 12:37,8469,365684
2022-11-19 15:21,8502,368044
2022-11-19 18:25,8548,369350
2022-11-19 21:18,8557,370054
2022-11-20 02:01,8584,370950
2022-11-20 03:46,8615,371758
2022-11-20 06:26,8656,373278
2022-11-20 09:19,8685,374891
2022-11-20 12:38,8707,376766
2022-11-20 15:20,8737,377905
2022-11-20 18:25,8752,378912
2022-11-20 21:18,8754,379152
2022-11-21 01:57,8773,380080
2022-11-21 07:13,8797,382592
2022-11-21 09:22,8809,383823
2022-11-21 13:51,8828,386046
2022-11-21 15:23,8839,387040
2022-11-21 18:27,8845,387638
2022-11-21 21:21,8846,387745
2022-11-22 01:59,8853,388245
2022-11-22 03:40,8857,389018
2022-11-22 06:27,8863,389858
2022-11-22 09:21,8873,391083
2022-11-22 12:43,8879,392529
2022-11-22 15:23,8884,393738
2022-11-22 18:26,8892,394440
2022-11-22 21:17,8893,394568
2022-11-23 01:46,8897,395093
2022-11-23 03:34,8897,395690
2022-11-23 06:25,8900,396610
2022-11-23 09:19,8907,397306
2022-11-23 12:40,8915,398589
2022-11-23 15:21,8916,399705
2022-11-23 18:24,8920,400360
2022-11-23 21:17,8921,400389
2022-11-24 01:49,8926,400765
2022-11-24 03:29,8932,401345
