updated_at,users,statuses
2022-11-04 10:13,196,70879
2022-11-04 13:09,196,70879
2022-11-04 15:25,196,70879
2022-11-04 18:28,196,70879
2022-11-04 21:19,196,70879
2022-11-05 02:03,196,70879
2022-11-05 03:49,196,70879
2022-11-05 06:27,196,70879
2022-11-05 09:21,196,70879
2022-11-05 12:38,196,70879
2022-11-05 15:21,196,70879
2022-11-05 18:26,196,70879
2022-11-05 21:18,196,70879
2022-11-06 02:06,196,70879
2022-11-06 03:50,196,70879
2022-11-06 06:27,196,70879
2022-11-06 09:22,196,70879
2022-11-06 12:40,196,70879
2022-11-06 15:24,196,70879
2022-11-06 18:26,196,70879
2022-11-06 21:19,196,70879
2022-11-07 02:00,196,70879
2022-11-07 04:00,196,70879
2022-11-07 06:28,196,70879
2022-11-07 09:22,196,70879
2022-11-07 12:50,196,70879
2022-11-07 15:24,196,70879
2022-11-07 18:27,196,70879
2022-11-07 21:22,196,70879
2022-11-08 02:00,196,70879
2022-11-08 04:00,196,70879
2022-11-08 06:30,196,70879
2022-11-08 09:23,196,70879
2022-11-08 12:51,196,70879
2022-11-08 15:24,196,70879
2022-11-08 18:32,196,70879
2022-11-08 21:20,196,70879
2022-11-09 02:11,196,70879
2022-11-09 04:03,196,70879
2022-11-09 06:35,196,70879
2022-11-09 09:22,196,70879
2022-11-09 12:52,196,70879
2022-11-09 15:25,196,70879
2022-11-09 18:27,196,70879
2022-11-09 21:23,196,70879
2022-11-10 02:04,196,70879
2022-11-10 03:56,196,70879
2022-11-10 06:28,196,70879
2022-11-10 09:23,196,70879
2022-11-10 12:52,196,70879
2022-11-10 15:23,196,70879
2022-11-10 18:28,196,70879
2022-11-10 21:21,23,70593
2022-11-11 02:04,23,70594
2022-11-11 03:56,23,70594
2022-11-11 06:32,23,70600
2022-11-11 09:22,23,70636
2022-11-11 12:51,23,70675
2022-11-11 15:25,23,70693
2022-11-11 18:29,23,70724
2022-11-11 21:20,23,70742
2022-11-12 01:59,23,70745
2022-11-12 03:54,23,70744
2022-11-12 06:27,23,70744
2022-11-12 09:21,23,70753
2022-11-12 12:39,23,70777
2022-11-12 15:23,23,70804
2022-11-12 18:26,23,70820
2022-11-12 21:19,23,70847
2022-11-13 01:59,23,70856
2022-11-13 03:55,23,70856
2022-11-13 06:27,23,70856
2022-11-13 09:21,23,70892
2022-11-13 12:41,23,70928
2022-11-13 15:22,23,70939
2022-11-13 18:26,23,70958
2022-11-13 21:19,23,70989
2022-11-14 01:58,23,70991
2022-11-14 03:58,23,70991
2022-11-14 06:29,23,70991
2022-11-14 09:23,23,71029
2022-11-14 12:53,23,71073
2022-11-14 15:25,23,71080
2022-11-14 18:27,23,71093
2022-11-14 21:21,23,71106
2022-11-15 01:56,23,71112
2022-11-15 03:47,23,71112
2022-11-15 06:26,23,71123
2022-11-15 09:21,23,71140
2022-11-15 12:44,23,71167
2022-11-15 15:23,23,71183
2022-11-15 18:27,23,71219
2022-11-15 21:19,23,71251
2022-11-16 01:57,23,71255
2022-11-16 03:48,23,71255
2022-11-16 06:26,23,71265
2022-11-16 09:21,23,71293
2022-11-16 12:43,23,71310
2022-11-16 15:22,23,71323
2022-11-16 18:26,23,71373
2022-11-16 21:18,23,71385
2022-11-17 01:56,23,71384
2022-11-17 03:43,23,71383
2022-11-17 06:27,23,71386
2022-11-17 09:21,23,71405
2022-11-17 12:45,23,71419
2022-11-17 15:22,23,71427
2022-11-17 18:26,23,71428
2022-11-17 21:18,23,71446
2022-11-18 02:01,23,71444
2022-11-18 03:43,23,71444
2022-11-18 06:27,23,71449
2022-11-18 09:21,23,71460
2022-11-18 12:40,23,71473
2022-11-18 15:22,23,71486
2022-11-18 18:28,23,71492
2022-11-18 21:18,23,71505
2022-11-19 01:53,23,71504
