updated_at,users,statuses
2022-11-21 09:22,27,145
2022-11-21 13:51,27,146
2022-11-21 15:23,27,146
2022-11-21 18:27,27,157
2022-11-21 21:21,27,161
2022-11-22 01:59,27,163
2022-11-22 03:40,27,164
2022-11-22 06:27,27,166
2022-11-22 09:21,27,167
2022-11-22 12:43,27,168
2022-11-22 18:26,27,170
2022-11-22 21:17,27,170
2022-11-23 01:46,27,170
2022-11-23 03:34,27,170
2022-11-23 06:25,27,172
2022-11-23 09:19,27,172
2022-11-23 12:40,27,172
2022-11-23 15:21,27,172
2022-11-23 18:24,27,175
2022-11-23 21:17,27,177
2022-11-24 01:49,27,181
2022-11-24 03:29,27,187
2022-11-24 06:25,27,187
2022-11-24 09:19,27,187
2022-11-24 12:40,27,187
2022-11-24 15:20,27,187
2022-11-24 18:25,27,188
2022-11-24 21:17,27,190
2022-11-25 01:46,27,190
2022-11-25 03:37,27,190
2022-11-25 06:26,27,190
2022-11-25 09:19,27,190
2022-11-25 12:39,27,190
2022-11-25 15:20,27,191
2022-11-25 18:25,27,191
2022-11-25 21:17,27,197
2022-11-26 01:41,27,198
2022-11-26 03:26,27,198
2022-11-26 06:24,27,198
2022-11-26 09:18,27,197
2022-11-26 12:35,27,197
2022-11-26 15:19,27,199
2022-11-26 18:23,27,200
2022-11-26 21:17,27,202
2022-11-27 01:51,27,202
2022-11-27 03:40,27,202
2022-11-27 06:24,27,202
2022-11-27 09:18,28,202
2022-11-27 12:35,28,202
2022-11-27 15:19,28,202
2022-11-27 18:23,28,202
2022-11-27 21:17,28,202
2022-11-28 01:44,28,205
2022-11-28 03:31,28,205
2022-11-28 06:26,28,205
2022-11-28 09:20,28,205
2022-11-28 12:38,28,206
2022-11-28 15:18,28,206
2022-11-28 18:25,28,209
2022-11-28 21:18,28,211
2022-11-29 01:44,29,218
2022-11-29 03:30,29,221
2022-11-29 06:26,29,223
2022-11-29 09:19,29,223
2022-11-29 12:39,29,223
2022-11-29 15:21,29,224
2022-11-29 18:23,29,227
2022-11-29 21:18,29,229
2022-11-30 01:45,29,233
2022-11-30 03:27,29,234
2022-11-30 06:25,29,235
2022-11-30 09:20,29,235
2022-11-30 12:41,29,235
2022-11-30 15:22,30,237
2022-11-30 18:25,30,239
2022-11-30 21:18,30,241
2022-12-01 01:56,30,243
2022-12-01 03:38,30,244
2022-12-01 06:26,30,244
2022-12-01 09:20,30,244
2022-12-01 12:42,30,244
2022-12-01 15:21,30,244
2022-12-01 18:25,30,245
2022-12-01 21:15,30,245
2022-12-02 01:37,30,245
2022-12-02 03:24,30,245
2022-12-02 06:24,30,245
2022-12-02 09:18,30,245
2022-12-02 12:35,30,245
2022-12-02 15:17,30,245
2022-12-02 18:22,30,245
2022-12-02 21:16,30,244
2022-12-03 01:27,30,245
2022-12-03 03:20,30,245
2022-12-03 06:22,30,246
2022-12-03 09:17,30,246
2022-12-03 12:33,30,246
2022-12-03 15:18,30,246
2022-12-03 18:22,30,246
2022-12-03 21:15,30,248
2022-12-04 01:39,30,248
2022-12-04 03:20,30,248
2022-12-04 06:22,30,249
2022-12-04 09:17,30,249
2022-12-04 12:35,30,249
2022-12-04 15:18,30,249
2022-12-04 18:27,30,251
2022-12-04 21:16,30,251
2022-12-05 01:38,30,252
2022-12-05 03:20,30,252
2022-12-05 06:24,30,253
2022-12-05 09:19,30,253
2022-12-05 12:37,30,253
2022-12-05 15:20,30,253
2022-12-05 18:23,30,254
2022-12-05 21:17,30,254
2022-12-06 01:35,30,255
2022-12-06 03:41,30,256
2022-12-06 06:24,30,256
2022-12-06 09:18,30,256
2022-12-06 12:38,30,256
2022-12-06 15:20,30,256
2022-12-06 18:38,30,258
2022-12-06 21:16,30,260
2022-12-07 01:41,30,261
2022-12-07 03:24,30,261
2022-12-07 09:18,30,261
2022-12-07 12:36,30,261
2022-12-07 15:20,30,261
2022-12-07 18:24,30,262
2022-12-07 21:17,30,265
2022-12-08 01:37,30,266
2022-12-08 03:21,30,266
2022-12-08 06:25,30,267
2022-12-08 09:18,30,267
2022-12-08 12:36,30,267
2022-12-08 15:19,30,267
2022-12-08 18:23,30,270
2022-12-08 21:17,30,270
2022-12-09 01:40,30,271
2022-12-09 03:22,30,271
2022-12-09 06:23,30,271
2022-12-09 09:18,30,271
2022-12-09 12:35,30,271
2022-12-09 15:18,30,271
2022-12-09 18:45,30,271
2022-12-09 21:17,30,272
2022-12-10 01:34,30,273
2022-12-10 03:20,30,273
2022-12-10 06:23,30,273
2022-12-10 09:17,30,273
2022-12-10 12:33,30,273
2022-12-10 15:18,30,273
2022-12-10 18:22,30,275
2022-12-10 21:31,30,275
2022-12-11 01:44,30,275
2022-12-11 03:24,30,275
2022-12-11 06:23,30,275
2022-12-11 09:17,30,275
2022-12-11 12:34,30,275
2022-12-11 15:19,30,275
2022-12-11 19:14,30,276
2022-12-11 21:16,30,276
2022-12-12 01:40,30,276
