updated_at,users,statuses
2022-11-04 10:13,100,57384
2022-11-04 13:09,100,57441
2022-11-04 15:25,100,57466
2022-11-04 18:28,100,57496
2022-11-04 21:19,100,57500
2022-11-05 02:03,100,57522
2022-11-05 03:49,100,57541
2022-11-05 06:27,100,57558
2022-11-05 09:21,100,57569
2022-11-05 12:38,100,57607
2022-11-05 15:21,100,57628
2022-11-05 18:26,100,57638
2022-11-05 21:18,100,57644
2022-11-06 02:06,100,57646
2022-11-06 03:50,100,57656
2022-11-06 06:27,100,57675
2022-11-06 09:22,100,57682
2022-11-06 12:40,100,57718
2022-11-06 15:24,100,57734
2022-11-06 18:26,100,57744
2022-11-06 21:19,100,57750
2022-11-07 02:00,100,57797
2022-11-07 04:00,100,57819
2022-11-07 06:28,100,57843
2022-11-07 09:22,100,57874
2022-11-07 12:50,100,57906
2022-11-07 15:24,100,57926
2022-11-07 18:27,100,57929
2022-11-07 21:22,100,57936
2022-11-08 02:00,100,57966
2022-11-08 04:00,100,57978
2022-11-08 06:30,100,57992
2022-11-08 09:23,100,58022
2022-11-08 12:51,100,58057
2022-11-08 15:24,100,58072
2022-11-08 18:32,100,58096
2022-11-08 21:20,100,58103
2022-11-09 02:11,100,58120
2022-11-09 04:03,100,58146
2022-11-09 06:35,100,58180
2022-11-09 09:22,100,58223
2022-11-09 12:52,100,58261
2022-11-09 15:25,100,58282
2022-11-09 18:27,100,58322
2022-11-09 21:23,100,58323
2022-11-10 02:04,100,58341
2022-11-10 03:56,100,58352
2022-11-10 06:28,100,58385
2022-11-10 09:23,100,58431
2022-11-10 12:52,100,58485
2022-11-10 15:23,100,58510
2022-11-10 18:28,100,58540
2022-11-10 21:21,100,58550
2022-11-11 02:04,100,58565
2022-11-11 03:56,100,58594
2022-11-11 06:32,100,58633
2022-11-11 09:22,100,58697
2022-11-11 12:51,100,58725
2022-11-11 15:25,100,58753
2022-11-11 18:29,100,58790
2022-11-11 21:20,100,58788
2022-11-12 01:59,100,58806
2022-11-12 03:54,100,58819
2022-11-12 06:27,100,58835
2022-11-12 09:21,100,58848
2022-11-12 12:39,100,58875
2022-11-12 15:23,100,58905
2022-11-12 18:26,100,58923
2022-11-12 21:19,100,58927
2022-11-13 01:59,100,58944
2022-11-13 03:55,100,58964
2022-11-13 06:27,100,58978
2022-11-13 09:21,100,58990
2022-11-13 12:41,100,59017
2022-11-13 15:22,100,59036
2022-11-13 18:26,100,59062
2022-11-13 21:19,100,59064
2022-11-14 01:58,100,59078
2022-11-14 03:58,100,59117
2022-11-14 06:29,100,59145
2022-11-14 09:23,100,59179
2022-11-14 12:53,100,59233
2022-11-14 15:25,100,59241
2022-11-14 18:27,100,59272
2022-11-14 21:21,100,59272
2022-11-15 01:56,100,59297
2022-11-15 03:47,100,59316
2022-11-15 06:26,100,59335
2022-11-15 09:21,100,59380
2022-11-15 12:44,100,59400
2022-11-15 15:23,100,59419
2022-11-15 18:27,100,59437
2022-11-15 21:19,100,59425
2022-11-16 01:57,100,59451
2022-11-16 03:48,100,59466
2022-11-16 06:26,100,59486
2022-11-16 09:21,100,59506
2022-11-16 12:43,100,59538
2022-11-16 15:22,100,59552
2022-11-16 18:26,100,59565
2022-11-16 21:18,100,59570
2022-11-17 01:56,100,59597
2022-11-17 03:43,100,59614
2022-11-17 06:27,100,59636
2022-11-17 09:21,100,59654
2022-11-17 12:45,100,59681
2022-11-17 15:22,100,59704
2022-11-17 18:26,100,59718
2022-11-17 21:18,100,59729
2022-11-18 02:01,100,59772
2022-11-18 03:43,100,59801
2022-11-18 06:27,100,59823
2022-11-18 09:21,100,59838
2022-11-18 12:40,100,59871
2022-11-18 15:22,100,59883
2022-11-18 18:28,100,59897
2022-11-18 21:18,100,59898
2022-11-19 01:53,100,59904
2022-11-19 03:41,100,59913
2022-11-19 06:26,100,59920
2022-11-19 09:19,100,59927
2022-11-19 12:37,100,59946
2022-11-19 15:21,100,59952
2022-11-19 18:25,100,59970
2022-11-19 21:18,100,59978
2022-11-20 02:01,100,59995
2022-11-20 03:46,100,60001
2022-11-20 06:26,100,60022
2022-11-20 09:19,100,60044
2022-11-20 12:38,100,60053
2022-11-20 15:20,100,60074
2022-11-20 18:25,100,60094
2022-11-20 21:18,100,60101
2022-11-21 01:57,100,60114
2022-11-21 07:13,100,60154
2022-11-21 09:22,100,60170
2022-11-21 13:51,100,60197
2022-11-21 15:23,100,60208
2022-11-21 18:27,100,60238
2022-11-21 21:21,100,60243
2022-11-22 01:59,100,60287
2022-11-22 03:40,100,60300
2022-11-22 06:27,100,60309
2022-11-22 09:21,100,60346
2022-11-22 12:43,100,60376
2022-11-22 15:23,100,60393
2022-11-22 18:26,100,60430
2022-11-22 21:17,100,60451
2022-11-23 01:46,100,60498
2022-11-23 03:34,100,60529
2022-11-23 06:25,100,60560
2022-11-23 09:19,100,60612
2022-11-23 12:40,100,60649
2022-11-23 15:21,100,60677
2022-11-23 18:24,100,60698
2022-11-23 21:17,100,60700
2022-11-24 01:49,100,60722
2022-11-24 03:29,100,60738
2022-11-24 06:25,100,60772
2022-11-24 09:19,100,60793
2022-11-24 12:40,100,60809
2022-11-24 15:20,100,60839
2022-11-24 18:25,100,60857
2022-11-24 21:17,100,60857
2022-11-25 01:46,100,60860
2022-11-25 03:37,100,60898
2022-11-25 06:26,100,60945
2022-11-25 09:19,100,60959
2022-11-25 12:39,100,61010
2022-11-25 15:20,100,61042
2022-11-25 18:25,100,61073
2022-11-25 21:17,100,61088
2022-11-26 01:41,100,61110
2022-11-26 03:26,100,61124
2022-11-26 06:24,100,61191
2022-11-26 09:18,100,61232
2022-11-26 12:35,100,61269
2022-11-26 15:19,100,61298
2022-11-26 18:23,100,61332
2022-11-26 21:17,100,61352
2022-11-27 01:51,100,61376
