updated_at,users,statuses
2022-11-21 07:13,1,592
2022-11-21 09:22,1,592
2022-11-21 13:51,1,592
2022-11-21 15:23,1,592
2022-11-21 18:27,1,595
2022-11-21 21:21,1,595
2022-11-22 01:59,1,596
2022-11-22 03:40,1,596
2022-11-22 06:27,1,596
2022-11-22 09:21,1,596
2022-11-22 12:43,1,596
2022-11-22 15:23,1,596
2022-11-22 18:26,1,598
2022-11-22 21:17,1,599
2022-11-23 01:46,1,601
2022-11-23 03:34,1,601
2022-11-23 06:25,1,601
2022-11-23 09:19,1,601
2022-11-23 12:40,1,601
2022-11-23 15:21,1,601
2022-11-23 18:24,1,601
2022-11-23 21:17,1,605
2022-11-24 01:49,1,606
2022-11-24 03:29,1,606
2022-11-24 06:25,1,606
2022-11-24 09:19,1,606
2022-11-24 15:20,1,606
2022-11-24 18:25,1,612
2022-11-24 21:17,1,612
2022-11-25 01:46,1,612
2022-11-25 03:37,1,613
2022-11-25 06:26,1,613
2022-11-25 09:19,1,613
2022-11-25 12:39,1,613
2022-11-25 15:20,1,613
2022-11-25 18:25,1,615
2022-11-25 21:17,1,615
2022-11-26 01:41,1,615
2022-11-26 03:26,1,615
2022-11-26 06:24,1,615
2022-11-26 09:18,1,615
2022-11-26 12:35,1,615
2022-11-26 15:19,1,615
2022-11-26 18:23,1,615
2022-11-26 21:17,1,616
2022-11-27 01:51,1,616
2022-11-27 03:40,1,616
2022-11-27 06:24,1,616
2022-11-27 09:18,1,617
2022-11-27 12:35,1,617
2022-11-27 15:19,1,617
2022-11-27 18:23,1,617
2022-11-27 21:17,1,617
2022-11-28 01:44,1,618
2022-11-28 03:31,1,617
2022-11-28 06:26,1,617
2022-11-28 09:20,1,617
2022-11-28 12:38,1,617
2022-11-28 15:18,1,617
2022-11-28 18:25,1,618
2022-11-28 21:18,1,618
2022-11-29 01:44,1,618
2022-11-29 03:30,1,618
2022-11-29 06:26,1,618
2022-11-29 09:19,1,618
2022-11-29 12:39,1,618
2022-11-29 15:21,1,618
2022-11-29 18:23,1,618
2022-11-29 21:18,1,618
2022-11-30 01:45,1,618
2022-11-30 03:27,1,618
2022-11-30 06:25,1,618
2022-11-30 09:20,1,618
2022-11-30 12:41,1,618
2022-11-30 15:22,1,618
2022-11-30 18:25,1,619
2022-11-30 21:18,1,620
2022-12-01 01:56,1,620
2022-12-01 03:38,1,620
2022-12-01 06:26,1,621
2022-12-01 09:20,1,621
2022-12-01 12:42,1,621
2022-12-01 15:21,1,621
2022-12-01 18:25,1,621
2022-12-01 21:15,1,623
2022-12-02 01:37,1,625
2022-12-02 03:24,1,625
2022-12-02 06:24,1,625
2022-12-02 09:18,1,625
2022-12-02 12:35,1,625
2022-12-02 15:17,1,625
2022-12-02 18:22,1,625
2022-12-02 21:16,1,629
2022-12-03 01:27,1,629
2022-12-03 03:20,1,629
2022-12-03 06:22,1,629
2022-12-03 09:17,1,629
2022-12-03 12:33,1,629
2022-12-03 15:18,1,629
2022-12-03 18:22,1,630
2022-12-03 21:15,1,630
2022-12-04 01:39,1,630
2022-12-04 03:20,1,630
2022-12-04 06:22,1,630
2022-12-04 09:17,1,630
2022-12-04 12:35,1,630
2022-12-04 15:18,1,631
2022-12-04 18:27,1,631
2022-12-04 21:16,1,631
2022-12-05 01:38,1,631
2022-12-05 03:20,1,631
2022-12-05 06:24,1,631
2022-12-05 09:19,1,631
2022-12-05 12:37,1,631
2022-12-05 15:20,1,631
2022-12-05 18:23,1,631
2022-12-05 21:17,1,631
2022-12-06 01:35,1,631
2022-12-06 03:41,1,631
2022-12-06 06:24,1,631
2022-12-06 09:18,1,631
2022-12-06 15:20,1,631
2022-12-06 18:38,1,632
2022-12-06 21:16,1,635
2022-12-07 01:41,1,635
2022-12-07 03:24,1,634
2022-12-07 09:18,1,634
2022-12-07 12:36,1,634
2022-12-07 15:20,1,635
2022-12-07 18:24,1,642
2022-12-07 21:17,1,642
2022-12-08 01:37,1,642
2022-12-08 03:21,1,646
2022-12-08 06:25,1,647
2022-12-08 09:18,1,647
2022-12-08 12:36,1,647
2022-12-08 15:19,1,647
2022-12-08 18:23,1,647
2022-12-08 21:17,1,647
2022-12-09 01:40,1,652
2022-12-09 03:22,1,652
2022-12-09 06:23,1,654
2022-12-09 09:18,1,654
2022-12-09 12:35,1,654
2022-12-09 15:18,1,654
2022-12-09 18:45,1,658
2022-12-09 21:17,1,662
2022-12-10 01:34,1,663
2022-12-10 03:20,1,665
2022-12-10 06:23,1,665
2022-12-10 09:17,1,665
2022-12-10 12:33,1,665
2022-12-10 15:18,1,665
2022-12-10 18:22,1,667
2022-12-10 21:31,1,674
2022-12-11 01:44,1,675
2022-12-11 03:24,1,675
2022-12-11 06:23,1,678
2022-12-11 09:17,1,678
2022-12-11 12:34,1,678
2022-12-11 15:19,1,678
2022-12-11 19:14,1,682
2022-12-11 21:16,1,682
2022-12-12 01:40,1,686
2022-12-12 03:24,1,686
2022-12-12 06:24,1,687
2022-12-12 09:19,1,687
2022-12-12 12:37,1,687
2022-12-12 15:20,1,687
2022-12-12 18:24,1,688
2022-12-12 21:17,1,690
2022-12-13 01:43,1,693
2022-12-13 03:27,1,693
2022-12-13 06:25,1,693
2022-12-13 09:19,1,693
2022-12-13 12:37,1,693
2022-12-13 15:24,1,693
2022-12-13 18:23,1,693
2022-12-13 21:17,1,693
2022-12-14 01:40,1,694
2022-12-14 03:23,1,694
2022-12-14 06:24,1,698
2022-12-14 09:18,1,698
2022-12-14 12:37,1,698
2022-12-14 15:20,1,698
2022-12-14 18:23,1,698
2022-12-14 21:17,1,698
2022-12-15 01:41,1,698
2022-12-15 03:24,1,698
2022-12-15 06:24,1,699
2022-12-15 09:19,1,699
2022-12-15 12:36,1,699
2022-12-15 15:20,1,699
2022-12-15 18:21,1,708
2022-12-15 21:15,1,708
2022-12-16 01:26,1,708
2022-12-16 09:17,1,712
2022-12-16 12:33,1,712
2022-12-16 15:20,1,712
2022-12-16 18:22,1,717
2022-12-16 21:16,1,723
2022-12-17 01:24,1,724
2022-12-17 03:19,1,724
2022-12-17 06:21,1,724
2022-12-17 09:16,1,724
2022-12-17 12:31,1,724
2022-12-17 15:17,1,724
2022-12-17 18:20,1,726
2022-12-17 21:14,1,729
2022-12-18 01:27,1,732
2022-12-18 03:19,1,732
2022-12-18 06:21,1,732
2022-12-18 09:16,1,732
2022-12-18 12:32,1,732
2022-12-18 15:17,1,732
2022-12-18 18:20,1,732
2022-12-18 21:14,1,732
2022-12-19 01:24,1,733
2022-12-19 03:19,1,733
2022-12-19 06:23,1,735
2022-12-19 09:18,1,735
2022-12-20 01:28,1,738
2022-12-20 03:19,1,738
2022-12-20 06:24,1,740
2022-12-20 09:18,1,740
2022-12-20 12:35,1,740
2022-12-20 15:20,1,742
2022-12-20 18:22,1,742
2022-12-20 21:16,1,746
2022-12-21 01:25,1,749
2022-12-21 03:20,1,749
2022-12-21 06:23,1,749
2022-12-21 12:18,1,749
2022-12-21 12:35,1,749
2022-12-21 15:20,1,749
2022-12-21 18:22,1,750
2022-12-21 21:16,1,750
2022-12-22 01:32,1,752
2022-12-22 03:19,1,755
2022-12-22 06:23,1,759
2022-12-22 09:17,1,759
2022-12-22 12:35,1,759
2022-12-22 15:20,1,759
2022-12-22 18:23,1,761
2022-12-22 21:16,1,761
2022-12-23 01:27,1,761
2022-12-23 03:20,1,762
2022-12-23 06:23,1,768
2022-12-23 09:17,1,768
2022-12-23 12:34,1,768
2022-12-23 15:18,1,768
2022-12-23 18:22,1,770
2022-12-23 21:15,1,771
2022-12-24 01:21,1,773
2022-12-24 03:19,1,775
2022-12-24 06:21,1,776
2022-12-24 09:16,1,776
2022-12-24 12:31,1,776
2022-12-24 15:17,1,776
2022-12-24 18:21,1,781
2022-12-24 21:15,1,783
2022-12-25 01:37,1,786
2022-12-25 03:19,1,786
2022-12-25 06:21,1,787
2022-12-25 09:16,1,787
