updated_at,users,statuses
2022-12-12 06:24,2,10
2022-12-12 09:19,2,10
2022-12-12 12:37,2,10
2022-12-12 15:20,2,10
2022-12-12 18:24,2,21
2022-12-12 21:17,2,26
2022-12-13 01:43,2,39
2022-12-13 03:27,2,53
2022-12-13 06:25,2,67
2022-12-13 09:19,2,67
2022-12-13 12:37,2,67
2022-12-13 15:24,2,67
2022-12-13 18:23,2,70
2022-12-13 21:17,2,70
2022-12-14 01:40,2,70
2022-12-14 03:23,2,71
2022-12-14 06:24,2,81
2022-12-14 09:18,2,81
2022-12-14 12:37,2,80
2022-12-14 15:20,2,82
2022-12-14 18:23,2,82
2022-12-14 21:17,2,82
2022-12-15 01:41,2,95
2022-12-15 06:24,2,122
2022-12-15 09:19,2,122
2022-12-15 12:36,2,122
2022-12-15 15:20,2,122
2022-12-15 18:21,2,124
2022-12-15 21:15,2,124
2022-12-16 01:26,2,124
2022-12-16 09:17,2,145
2022-12-16 12:33,2,145
