updated_at,users,statuses
2022-11-04 10:13,1296,231767
2022-11-04 13:09,1296,231803
2022-11-04 15:25,1296,231810
2022-11-04 18:28,1296,231824
2022-11-04 21:19,1296,231880
2022-11-05 02:03,1296,231998
2022-11-05 03:49,1296,232042
2022-11-05 06:27,1296,232086
2022-11-05 09:21,1296,232174
2022-11-05 12:38,1297,232240
2022-11-05 15:21,1297,232269
2022-11-05 18:26,1299,232282
2022-11-05 21:18,1298,232324
2022-11-06 02:06,1302,232422
2022-11-06 03:50,1304,232458
2022-11-06 06:27,1304,232486
2022-11-06 09:22,1305,232517
2022-11-06 12:40,1308,232558
2022-11-06 15:24,1309,232596
2022-11-06 18:26,1310,232633
2022-11-06 21:19,1311,232675
2022-11-07 02:00,1311,232774
2022-11-07 04:00,1311,232822
2022-11-07 06:28,1311,232866
2022-11-07 09:22,1311,232922
2022-11-07 12:50,1313,232976
2022-11-07 15:24,1313,233020
2022-11-07 18:27,1313,233052
2022-11-07 21:22,1313,233113
2022-11-08 02:00,1314,233198
2022-11-08 04:00,1314,233234
2022-11-08 06:30,1314,233298
2022-11-08 09:23,1314,233343
2022-11-08 12:51,1314,233415
2022-11-08 15:24,1314,233458
2022-11-08 18:32,1314,233492
2022-11-08 21:20,1314,233552
2022-11-09 02:11,1314,233692
2022-11-09 04:03,1314,233707
2022-11-09 06:35,1314,233754
2022-11-09 09:22,1314,233825
2022-11-09 12:52,1314,233882
2022-11-09 15:25,1314,233920
2022-11-09 18:27,1315,233938
2022-11-09 21:23,1315,234002
2022-11-10 02:04,1315,234074
2022-11-10 03:56,1315,234110
2022-11-10 06:28,1315,234159
2022-11-10 09:23,1315,234196
2022-11-10 12:52,1315,234233
2022-11-10 15:23,1315,234261
2022-11-10 18:28,1315,234271
2022-11-10 21:21,1315,234318
2022-11-11 02:04,1315,234425
2022-11-11 03:56,1315,234446
2022-11-11 06:32,1315,234487
2022-11-11 09:22,1315,234544
2022-11-11 12:51,1315,234596
2022-11-11 15:25,1315,234634
2022-11-11 18:29,1315,234645
2022-11-11 21:20,1315,234675
2022-11-12 01:59,1315,234743
2022-11-12 03:54,1315,234775
2022-11-12 06:27,1315,234826
2022-11-12 09:21,1315,234867
2022-11-12 12:39,1315,234908
2022-11-12 15:23,1315,234941
2022-11-12 18:26,1315,234975
2022-11-12 21:19,1315,235018
2022-11-13 01:59,1315,235123
2022-11-13 03:55,1315,235166
2022-11-13 06:27,1315,235193
2022-11-13 09:21,1315,235239
2022-11-13 12:41,1315,235259
2022-11-13 15:22,1315,235282
2022-11-13 18:26,1315,235316
2022-11-13 21:19,1315,235384
2022-11-14 01:58,1315,235484
2022-11-14 03:58,1315,235524
2022-11-14 06:29,1315,235585
2022-11-14 09:23,1315,235622
2022-11-14 12:53,1315,235665
2022-11-14 15:25,1315,235687
2022-11-14 18:27,1315,235710
2022-11-14 21:21,1315,235770
2022-11-15 01:56,1315,235844
2022-11-15 03:47,1315,235878
2022-11-15 06:26,1316,235923
2022-11-15 09:21,1316,235980
2022-11-15 12:44,1316,236012
2022-11-15 15:23,1316,236031
2022-11-15 18:27,1316,236051
2022-11-15 21:19,1316,236105
2022-11-16 01:57,1317,236196
2022-11-16 03:48,1317,236232
2022-11-16 06:26,1317,236289
2022-11-16 09:21,1317,236329
2022-11-16 12:43,1317,236371
2022-11-16 15:22,1317,236423
2022-11-16 18:26,1316,236452
2022-11-16 21:18,1316,236496
2022-11-17 01:56,1316,233723
2022-11-17 03:43,1316,230796
2022-11-17 06:27,1316,225316
2022-11-17 09:21,1316,221108
2022-11-17 12:45,1316,214999
2022-11-17 15:22,1316,211026
2022-11-17 18:26,1316,206485
2022-11-17 21:18,1316,202681
2022-11-18 02:01,1316,196369
2022-11-18 03:43,1316,194891
2022-11-18 06:27,1316,193610
2022-11-18 09:21,1316,191384
2022-11-18 12:40,1316,189587
2022-11-18 15:22,1316,188227
2022-11-18 18:28,1316,187401
2022-11-18 21:18,1315,186485
2022-11-19 01:53,1315,183622
2022-11-19 03:41,1315,181702
2022-11-19 06:26,1315,178007
2022-11-19 09:19,1315,173938
2022-11-19 12:37,1315,170063
2022-11-19 15:21,1315,166974
2022-11-19 18:25,1315,163950
2022-11-19 21:18,1315,161098
2022-11-20 02:01,1315,156734
2022-11-20 03:46,1315,155008
2022-11-20 06:26,1315,151841
2022-11-20 09:19,1315,148939
2022-11-20 12:38,1315,145254
2022-11-20 15:20,1315,141792
2022-11-20 18:25,1315,138743
2022-11-20 21:18,1315,136282
2022-11-21 01:57,1315,131808
2022-11-21 07:13,1315,127064
2022-11-21 09:22,1315,123559
2022-11-21 13:51,1315,117407
2022-11-21 15:23,1315,114489
2022-11-21 18:27,1315,111280
2022-11-21 21:21,1315,109184
2022-11-22 01:59,1315,105358
2022-11-22 03:40,1315,103053
2022-11-22 06:27,1315,100123
2022-11-22 09:21,1316,97963
2022-11-22 12:43,1316,89955
2022-11-22 15:23,1316,80781
2022-11-22 18:26,1316,80348
2022-11-22 21:17,1316,80387
2022-11-23 01:46,1316,80449
2022-11-23 03:34,1316,80491
2022-11-23 06:25,1316,80542
2022-11-23 09:19,1316,80576
2022-11-23 12:40,1316,80596
2022-11-23 15:21,1316,80600
2022-11-23 18:24,1316,80591
2022-11-23 21:17,1316,80618
2022-11-24 01:49,1316,80717
2022-11-24 03:29,1316,80734
