updated_at,users,statuses
2022-11-04 10:13,16,366783
2022-11-04 13:09,16,366813
2022-11-04 15:25,16,366841
2022-11-04 18:28,16,366874
2022-11-04 21:19,16,366901
2022-11-05 02:03,16,366965
2022-11-05 03:49,16,366985
2022-11-05 06:27,16,367029
2022-11-05 09:21,16,367066
2022-11-05 12:38,16,367097
2022-11-05 15:21,16,367123
2022-11-05 18:26,16,367166
2022-11-05 21:18,16,367198
2022-11-06 02:06,16,367254
2022-11-06 03:50,16,367277
2022-11-06 06:27,16,367312
2022-11-06 09:22,16,367357
2022-11-06 12:40,16,367389
2022-11-06 15:24,16,367417
2022-11-06 18:26,16,367445
2022-11-06 21:19,16,367475
2022-11-07 02:00,16,367524
2022-11-07 04:00,16,367546
2022-11-07 06:28,16,367601
2022-11-07 09:22,16,367650
2022-11-07 12:50,16,367681
2022-11-07 15:24,16,367707
2022-11-07 18:27,16,367738
2022-11-07 21:22,16,367770
2022-11-08 02:00,16,367822
2022-11-08 04:00,16,367842
2022-11-08 06:30,16,367871
2022-11-08 09:23,16,367909
2022-11-08 12:51,16,367941
2022-11-08 15:24,16,367967
2022-11-08 18:32,16,367999
2022-11-08 21:20,16,368027
2022-11-09 02:11,16,368087
2022-11-09 04:03,16,368101
2022-11-09 06:35,16,368132
2022-11-09 09:22,16,368164
2022-11-09 12:52,16,368194
2022-11-09 15:25,16,368223
2022-11-09 18:27,16,368255
2022-11-09 21:23,16,368285
2022-11-10 02:04,16,368327
2022-11-10 03:56,16,368346
2022-11-10 06:28,16,368374
2022-11-10 09:23,16,368412
2022-11-10 12:52,16,368442
2022-11-10 15:23,16,368470
2022-11-10 18:28,16,368503
2022-11-10 21:21,16,368547
2022-11-11 02:04,16,368592
2022-11-11 03:56,16,368612
2022-11-11 06:32,16,368645
2022-11-11 09:22,16,368688
2022-11-11 12:51,16,368719
2022-11-11 15:25,16,368748
2022-11-11 18:29,16,368777
2022-11-11 21:20,16,368801
2022-11-12 01:59,17,368858
2022-11-12 03:54,17,368879
2022-11-12 06:27,17,368908
2022-11-12 09:21,17,368958
2022-11-12 12:39,17,368994
2022-11-12 15:23,17,369023
2022-11-12 18:26,17,369054
2022-11-12 21:19,17,369082
2022-11-13 01:59,17,369129
2022-11-13 03:55,17,369149
2022-11-13 06:27,17,369178
2022-11-13 09:21,17,369211
2022-11-13 12:41,17,369243
2022-11-13 15:22,17,369273
2022-11-13 18:26,17,369306
2022-11-13 21:19,17,369336
2022-11-14 01:58,17,369383
2022-11-14 03:58,17,369410
2022-11-14 06:29,17,369443
2022-11-14 09:23,17,369479
2022-11-14 12:53,17,369510
2022-11-14 15:25,17,369538
2022-11-14 18:27,17,369568
2022-11-14 21:21,17,369597
2022-11-15 01:56,17,369638
2022-11-15 03:47,17,369662
2022-11-15 06:26,17,369692
2022-11-15 09:21,17,369740
2022-11-15 12:44,17,369779
2022-11-15 15:23,17,369807
2022-11-15 18:27,17,369837
2022-11-15 21:19,17,369868
2022-11-16 01:57,17,369912
2022-11-16 03:48,17,369945
2022-11-16 06:26,17,370012
2022-11-16 09:21,17,370054
2022-11-16 12:43,17,370084
2022-11-16 15:22,17,370112
2022-11-16 18:26,17,370152
2022-11-16 21:18,17,370190
2022-11-17 01:56,17,370248
2022-11-17 03:43,17,370278
2022-11-17 06:27,17,370338
2022-11-17 09:21,17,370374
2022-11-17 12:45,17,370410
2022-11-17 15:22,17,370437
2022-11-17 18:26,17,370469
2022-11-17 21:18,17,370511
2022-11-18 02:01,17,370559
