updated_at,users,statuses
2022-11-21 07:13,5,283
2022-11-21 09:22,5,283
2022-11-21 13:51,5,286
2022-11-21 15:23,5,289
2022-11-21 18:27,5,289
2022-11-21 21:21,5,295
2022-11-22 01:59,5,295
2022-11-22 03:40,5,295
2022-11-22 06:27,5,295
2022-11-22 09:21,5,296
2022-11-22 12:43,5,297
2022-11-22 15:23,5,297
2022-11-22 18:26,5,300
2022-11-22 21:17,5,303
2022-11-23 01:46,5,309
2022-11-23 03:34,5,317
2022-11-23 06:25,5,318
2022-11-23 09:19,5,320
2022-11-23 12:40,5,320
2022-11-23 15:21,5,320
2022-11-23 18:24,5,323
2022-11-23 21:17,5,327
2022-11-24 01:49,5,334
2022-11-24 03:29,5,334
2022-11-24 06:25,5,334
2022-11-24 09:19,5,334
2022-11-24 12:40,5,334
2022-11-24 15:20,5,334
2022-11-24 18:25,5,334
2022-11-24 21:17,5,335
2022-11-25 01:46,5,336
2022-11-25 03:37,5,338
2022-11-25 06:26,5,338
2022-11-25 09:19,5,338
2022-11-25 12:39,5,338
2022-11-25 15:20,5,338
2022-11-25 18:25,5,339
2022-11-25 21:17,5,340
2022-11-26 01:41,5,340
2022-11-26 03:26,5,341
2022-11-26 06:24,5,342
2022-11-26 09:18,5,342
2022-11-26 12:35,5,342
2022-11-26 15:19,5,342
2022-11-26 18:23,5,343
2022-11-26 21:17,5,344
2022-11-27 01:51,5,344
2022-11-27 03:40,5,346
2022-11-27 06:24,5,346
2022-11-27 09:18,5,348
2022-11-27 12:35,5,348
2022-11-27 15:19,5,348
2022-11-27 18:23,5,348
2022-11-27 21:17,5,349
2022-11-28 01:44,5,352
2022-11-28 03:31,5,352
2022-11-28 06:26,5,354
2022-11-28 09:20,5,356
2022-11-28 12:38,5,356
2022-11-28 15:18,5,360
2022-11-28 18:25,5,362
2022-11-28 21:18,5,362
2022-11-29 01:44,5,364
2022-11-29 03:30,5,364
2022-11-29 06:26,5,364
2022-11-29 09:19,5,364
2022-11-29 12:39,5,364
2022-11-29 15:21,5,364
2022-11-29 18:23,5,364
2022-11-29 21:18,5,364
2022-11-30 01:45,5,367
2022-11-30 03:27,5,369
2022-11-30 06:25,5,369
2022-11-30 09:20,5,369
2022-11-30 12:41,5,370
2022-11-30 15:22,5,370
2022-11-30 18:25,5,370
2022-11-30 21:18,5,370
2022-12-01 01:56,5,371
2022-12-01 03:38,5,371
2022-12-01 06:26,5,372
2022-12-01 09:20,5,372
2022-12-01 12:42,5,372
2022-12-01 15:21,5,372
2022-12-01 18:25,5,372
2022-12-01 21:15,5,372
2022-12-02 01:37,5,373
2022-12-02 03:24,5,373
2022-12-02 06:24,5,373
2022-12-02 09:18,5,374
2022-12-02 12:35,5,375
2022-12-02 15:17,5,375
2022-12-02 18:22,5,375
2022-12-02 21:16,5,375
2022-12-03 01:27,5,376
2022-12-03 03:20,5,377
2022-12-03 06:22,5,378
2022-12-03 09:17,5,379
2022-12-03 12:33,5,379
2022-12-03 15:18,5,379
2022-12-03 18:22,5,379
2022-12-03 21:15,5,379
2022-12-04 01:39,5,379
2022-12-04 03:20,5,379
2022-12-04 06:22,5,379
2022-12-04 09:17,5,379
2022-12-04 12:35,5,379
2022-12-04 15:18,5,379
2022-12-04 18:27,5,379
2022-12-04 21:16,5,380
2022-12-05 01:38,5,381
2022-12-05 03:20,5,381
2022-12-05 06:24,5,382
2022-12-05 09:19,5,382
2022-12-05 12:37,5,383
2022-12-05 15:20,5,383
2022-12-05 18:23,5,383
2022-12-05 21:17,5,384
2022-12-06 01:35,5,384
2022-12-06 03:41,5,384
2022-12-06 06:24,5,384
2022-12-06 09:18,5,384
2022-12-06 12:38,5,385
2022-12-06 15:20,5,385
2022-12-06 18:38,5,386
2022-12-06 21:16,5,386
2022-12-07 01:41,5,386
2022-12-07 03:24,5,387
2022-12-07 09:18,5,389
2022-12-07 12:36,5,389
2022-12-07 15:20,5,389
2022-12-07 18:24,5,389
2022-12-07 21:17,5,390
2022-12-08 01:37,5,390
2022-12-08 03:21,5,390
2022-12-08 06:25,5,391
2022-12-08 09:18,5,392
2022-12-08 12:36,5,393
2022-12-08 15:19,5,393
2022-12-08 18:23,5,393
2022-12-08 21:17,5,393
2022-12-09 01:40,5,395
2022-12-09 03:22,5,395
2022-12-09 06:23,5,396
2022-12-09 09:18,5,397
2022-12-09 12:35,5,397
2022-12-09 15:18,5,397
2022-12-09 18:45,5,397
2022-12-09 21:17,5,397
2022-12-10 01:34,5,397
2022-12-10 03:20,5,397
2022-12-10 06:23,5,397
2022-12-10 09:17,5,397
2022-12-10 12:33,5,397
2022-12-10 15:18,5,397
2022-12-10 18:22,5,397
2022-12-10 21:31,5,397
2022-12-11 01:44,5,397
2022-12-11 03:24,5,398
2022-12-11 06:23,5,398
2022-12-11 09:17,5,398
2022-12-11 12:34,5,404
2022-12-11 15:19,5,407
2022-12-11 19:14,5,407
2022-12-11 21:16,5,407
2022-12-12 01:40,5,409
2022-12-12 03:24,5,409
2022-12-12 06:24,5,409
2022-12-12 09:19,5,409
2022-12-12 12:37,5,409
2022-12-12 15:20,5,412
2022-12-12 18:24,5,412
2022-12-12 21:17,5,412
2022-12-13 01:43,5,412
2022-12-13 03:27,5,412
2022-12-13 06:25,5,413
2022-12-13 09:19,5,413
2022-12-13 12:37,5,413
2022-12-13 15:24,5,413
2022-12-13 18:23,5,413
2022-12-13 21:17,5,413
2022-12-14 01:40,5,413
2022-12-14 03:23,5,414
2022-12-14 06:24,5,414
2022-12-14 09:18,5,414
2022-12-14 12:37,5,415
2022-12-14 15:20,5,416
2022-12-14 18:23,5,416
2022-12-14 21:17,5,416
2022-12-15 01:41,5,420
2022-12-15 03:24,5,422
2022-12-15 06:24,5,423
