updated_at,users,statuses
2022-11-21 07:13,1,427
2022-11-21 09:22,1,427
2022-11-21 13:51,1,427
2022-11-21 15:23,1,427
2022-11-21 18:27,1,428
2022-11-21 21:21,1,429
2022-11-22 01:59,1,429
2022-11-22 03:40,1,429
2022-11-22 06:27,1,430
2022-11-22 09:21,1,433
2022-11-22 12:43,1,433
2022-11-22 15:23,1,433
2022-11-22 18:26,1,433
2022-11-22 21:17,1,434
2022-11-23 01:46,1,435
2022-11-23 03:34,1,435
2022-11-23 06:25,1,435
2022-11-23 09:19,1,435
2022-11-23 12:40,1,435
2022-11-23 15:21,1,435
2022-11-23 18:24,1,435
2022-11-23 21:17,1,435
2022-11-24 01:49,1,435
2022-11-24 03:29,1,435
2022-11-24 06:25,1,435
2022-11-24 09:19,1,434
2022-11-24 12:40,1,434
2022-11-24 15:20,1,434
2022-11-24 18:25,1,437
2022-11-24 21:17,1,437
2022-11-25 01:46,1,439
2022-11-25 03:37,1,439
2022-11-25 06:26,1,439
2022-11-25 09:19,1,439
2022-11-25 12:39,1,439
2022-11-25 15:20,1,440
2022-11-25 18:25,1,440
2022-11-25 21:17,1,440
2022-11-26 01:41,1,441
2022-11-26 03:26,1,441
2022-11-26 06:24,1,441
2022-11-26 09:18,1,441
2022-11-26 12:35,1,441
2022-11-26 15:19,1,442
2022-11-26 18:23,1,442
2022-11-26 21:17,1,442
2022-11-27 01:51,1,442
2022-11-27 03:40,1,442
2022-11-27 06:24,1,443
2022-11-27 09:18,1,443
2022-11-27 12:35,1,443
2022-11-27 15:19,1,443
2022-11-27 18:23,1,443
2022-11-27 21:17,1,443
2022-11-28 01:44,1,443
2022-11-28 03:31,1,443
2022-11-28 06:26,1,443
2022-11-28 09:20,1,443
2022-11-28 12:38,1,443
2022-11-28 15:18,1,443
2022-11-28 18:25,1,443
2022-11-28 21:18,1,444
2022-11-29 01:44,1,444
2022-11-29 03:30,1,444
2022-11-29 06:26,1,445
2022-11-29 09:19,1,445
2022-11-29 12:39,1,445
2022-11-29 15:21,1,445
2022-11-29 18:23,1,447
2022-11-29 21:18,1,447
2022-11-30 01:45,1,451
2022-11-30 03:27,1,451
2022-11-30 06:25,1,454
2022-11-30 09:20,1,455
2022-11-30 12:41,1,455
2022-11-30 15:22,1,457
2022-11-30 18:25,1,457
2022-11-30 21:18,1,458
2022-12-01 01:56,1,459
2022-12-01 03:38,1,459
2022-12-01 06:26,1,461
2022-12-01 09:20,1,461
2022-12-01 12:42,1,461
2022-12-01 15:21,1,461
2022-12-01 18:25,1,464
2022-12-01 21:15,1,464
2022-12-02 01:37,1,467
2022-12-02 03:24,1,465
2022-12-02 06:24,1,465
2022-12-02 09:18,1,465
2022-12-02 12:35,1,465
2022-12-02 15:17,1,465
2022-12-02 18:22,1,465
2022-12-02 21:16,1,466
2022-12-03 01:27,1,467
2022-12-03 03:20,1,467
2022-12-03 06:22,1,467
2022-12-03 09:17,1,467
2022-12-03 12:33,1,467
2022-12-03 15:18,1,467
2022-12-03 18:22,1,467
2022-12-03 21:15,1,467
2022-12-04 01:39,1,470
2022-12-04 03:20,1,474
2022-12-04 06:22,1,474
2022-12-04 09:17,1,474
2022-12-04 12:35,1,474
2022-12-04 15:18,1,474
2022-12-04 18:27,1,475
2022-12-04 21:16,1,475
2022-12-05 01:38,1,475
2022-12-05 03:20,1,476
2022-12-05 06:24,1,476
2022-12-05 09:19,1,476
2022-12-05 12:37,1,476
2022-12-05 15:20,1,476
2022-12-05 18:23,1,476
2022-12-05 21:17,1,476
2022-12-06 01:35,1,476
2022-12-06 03:41,1,476
2022-12-06 06:24,1,477
2022-12-06 09:18,1,477
2022-12-06 12:38,1,477
2022-12-06 15:20,1,477
2022-12-06 18:38,1,478
2022-12-06 21:16,1,479
2022-12-07 01:41,1,483
2022-12-07 03:24,1,487
2022-12-07 09:18,1,488
2022-12-07 12:36,1,488
