updated_at,users,statuses
2022-12-20 01:28,1,259
2022-12-20 03:19,1,259
2022-12-20 06:24,1,259
2022-12-20 09:18,1,260
2022-12-20 12:35,1,260
2022-12-20 15:20,1,261
2022-12-20 18:22,1,268
2022-12-20 21:16,1,268
2022-12-21 01:25,1,276
2022-12-21 03:20,1,276
2022-12-21 12:18,1,276
2022-12-21 12:35,1,276
2022-12-21 15:20,1,276
2022-12-21 18:22,1,282
2022-12-21 21:16,1,282
2022-12-22 01:32,1,287
2022-12-22 03:19,1,289
2022-12-22 06:23,1,289
2022-12-22 09:17,1,292
2022-12-22 12:35,1,292
2022-12-22 15:20,1,292
2022-12-22 18:23,1,306
2022-12-22 21:16,1,320
2022-12-23 01:27,1,321
2022-12-23 03:20,1,321
2022-12-23 06:23,1,325
2022-12-23 09:17,1,325
2022-12-23 12:34,1,325
2022-12-23 15:18,1,325
2022-12-23 18:22,1,325
2022-12-23 21:15,1,325
2022-12-24 01:21,1,327
2022-12-24 06:21,1,327
2022-12-24 09:16,1,328
2022-12-24 12:31,1,331
2022-12-24 15:17,1,331
2022-12-24 18:21,1,331
2022-12-24 21:15,1,331
2022-12-25 01:37,1,336
2022-12-25 03:19,1,336
2022-12-25 06:21,1,336
2022-12-25 09:16,1,339
2022-12-25 12:32,1,341
2022-12-25 15:17,1,341
2022-12-25 18:21,1,345
2022-12-25 21:15,1,346
2022-12-26 01:33,1,351
2022-12-26 03:20,1,350
2022-12-26 06:23,1,352
2022-12-26 09:17,1,352
2022-12-26 12:33,1,359
2022-12-26 15:18,1,359
2022-12-26 18:21,1,359
2022-12-26 21:15,1,359
2022-12-27 01:26,1,364
2022-12-27 03:19,1,364
2022-12-27 06:23,1,364
2022-12-27 09:17,1,364
2022-12-27 12:34,1,367
2022-12-27 15:18,1,367
2022-12-27 18:22,1,367
2022-12-27 21:15,1,367
2022-12-28 01:26,1,378
2022-12-28 03:20,1,380
2022-12-28 06:23,1,380
2022-12-28 09:17,1,380
2022-12-28 12:33,1,380
2022-12-28 15:18,1,380
2022-12-28 18:22,1,386
2022-12-28 21:16,1,392
2022-12-29 01:34,1,392
2022-12-29 03:20,1,392
2022-12-29 06:22,1,396
2022-12-29 09:17,1,396
2022-12-29 12:33,1,396
2022-12-29 18:22,1,396
2022-12-29 21:16,1,396
2022-12-30 01:34,1,402
2022-12-30 03:20,1,402
2022-12-30 06:23,1,406
2022-12-30 09:17,1,406
2022-12-30 12:32,1,406
2022-12-30 15:18,1,406
2022-12-30 18:21,1,406
2022-12-30 21:15,1,426
2022-12-31 01:26,1,435
2022-12-31 03:19,1,440
2022-12-31 06:21,1,446
2022-12-31 09:16,1,446
2022-12-31 12:31,1,446
2022-12-31 15:17,1,446
2022-12-31 18:21,1,449
2022-12-31 21:15,1,449
2023-01-01 01:48,1,451
2023-01-01 03:24,1,451
2023-01-01 06:22,1,451
2023-01-01 09:17,1,451
2023-01-01 12:33,1,451
2023-01-01 15:17,1,451
2023-01-01 18:21,1,451
2023-01-01 21:15,1,451
2023-01-02 01:34,1,451
2023-01-02 03:20,1,452
2023-01-02 06:23,1,453
2023-01-02 09:18,1,453
2023-01-02 12:35,1,453
2023-01-02 15:19,1,453
2023-01-02 18:21,1,453
2023-01-02 21:15,1,453
2023-01-03 01:27,1,453
2023-01-03 03:19,1,453
2023-01-03 06:22,1,453
2023-01-03 09:18,1,455
2023-01-03 12:36,1,455
2023-01-03 15:20,1,455
2023-01-03 18:21,1,455
2023-01-03 21:16,1,455
2023-01-04 01:35,1,455
2023-01-04 03:20,1,455
2023-01-04 06:23,1,455
2023-01-04 09:18,1,457
2023-01-04 12:36,1,457
2023-01-04 15:22,1,457
2023-01-04 18:23,1,457
2023-01-04 21:17,1,463
2023-01-05 01:38,1,470
2023-01-05 03:19,1,471
2023-01-05 06:22,1,472
2023-01-05 09:18,1,472
2023-01-05 12:36,1,472
2023-01-05 15:21,1,472
2023-01-05 18:23,1,472
2023-01-05 21:16,1,472
2023-01-06 01:38,1,473
2023-01-06 03:19,1,473
2023-01-06 06:24,1,473
2023-01-06 09:18,1,473
2023-01-06 12:35,1,473
2023-01-06 15:20,1,473
2023-01-06 18:23,1,480
2023-01-06 21:16,1,485
2023-01-07 01:35,1,485
2023-01-07 04:11,1,485
2023-01-07 06:21,1,487
2023-01-07 09:16,1,491
2023-01-07 12:32,1,491
2023-01-07 15:18,1,491
2023-01-07 18:21,1,493
2023-01-07 21:15,1,495
2023-01-08 01:41,1,495
2023-01-08 03:19,1,495
2023-01-08 06:22,1,495
2023-01-08 09:17,1,495
2023-01-08 12:33,1,495
2023-01-08 15:18,1,495
2023-01-08 18:21,1,495
2023-01-08 21:15,1,495
2023-01-09 01:35,1,497
2023-01-09 03:20,1,497
2023-01-09 06:24,1,497
2023-01-09 09:20,1,497
2023-01-09 12:37,1,497
2023-01-09 15:26,1,497
2023-01-09 18:24,1,497
2023-01-09 21:17,1,497
2023-01-10 01:40,1,502
2023-01-10 03:20,1,502
2023-01-10 06:24,1,509
2023-01-10 09:19,1,509
2023-01-10 12:38,1,509
2023-01-10 15:26,1,509
2023-01-10 18:23,1,511
2023-01-10 21:17,1,512
2023-01-11 01:39,1,512
2023-01-11 03:19,1,512
2023-01-11 06:23,1,512
2023-01-11 09:22,1,513
2023-01-11 12:37,1,513
