updated_at,users,statuses
2022-11-04 10:13,3,13883
2022-11-04 13:09,3,13886
2022-11-04 15:25,3,13888
2022-11-04 18:28,3,13891
2022-11-04 21:19,3,13894
2022-11-05 02:03,3,13899
2022-11-05 03:49,3,13900
2022-11-05 06:27,3,13903
2022-11-05 09:21,3,13906
2022-11-05 12:38,3,13912
2022-11-05 15:21,3,13916
2022-11-05 18:26,3,13920
2022-11-05 21:18,3,13923
2022-11-06 02:06,3,13928
2022-11-06 03:50,3,13930
2022-11-06 06:27,3,13932
2022-11-06 09:22,3,13935
2022-11-06 12:40,3,13938
2022-11-06 15:24,3,13941
2022-11-06 18:26,3,13944
2022-11-06 21:19,3,13947
2022-11-07 02:00,3,13952
2022-11-07 04:00,3,13954
2022-11-07 06:28,3,13956
2022-11-07 09:22,3,13960
2022-11-07 12:50,3,13964
2022-11-07 15:24,3,13966
2022-11-07 18:27,3,13969
2022-11-07 21:22,3,13972
2022-11-08 02:00,3,13977
2022-11-08 04:00,3,13979
2022-11-08 06:30,3,13981
2022-11-08 09:23,3,13986
2022-11-08 12:51,3,13991
2022-11-08 15:24,3,13995
2022-11-08 18:32,3,13998
2022-11-08 21:20,3,14003
2022-11-09 02:11,3,14008
2022-11-09 04:03,3,14010
2022-11-09 06:35,3,14012
2022-11-09 09:22,3,14016
2022-11-09 12:52,3,14019
2022-11-09 15:25,3,14022
2022-11-09 18:27,3,14025
2022-11-09 21:23,3,14028
2022-11-10 02:04,3,14033
2022-11-10 03:56,3,14035
2022-11-10 06:28,3,14037
2022-11-10 09:23,3,14040
2022-11-10 12:52,3,14044
2022-11-10 15:23,3,14050
2022-11-10 18:28,3,14053
2022-11-10 21:21,3,14056
2022-11-11 02:04,3,14061
2022-11-11 03:56,3,14063
2022-11-11 06:32,3,14065
2022-11-11 09:22,3,14068
2022-11-11 12:51,3,14072
2022-11-11 15:25,3,14074
2022-11-11 18:29,3,14079
2022-11-11 21:20,3,14083
2022-11-12 01:59,3,14088
2022-11-12 03:54,3,14090
2022-11-12 06:27,3,14092
2022-11-12 09:21,3,14095
2022-11-12 12:39,3,14098
2022-11-12 15:23,3,14101
2022-11-12 18:26,3,14105
2022-11-12 21:19,3,14108
2022-11-13 01:59,3,14113
2022-11-13 03:55,3,14115
2022-11-13 06:27,3,14117
2022-11-13 09:21,3,14122
2022-11-13 12:41,3,14122
2022-11-13 15:22,3,14122
2022-11-13 18:26,3,14122
2022-11-13 21:19,3,14124
2022-11-14 01:58,3,14129
2022-11-14 03:58,3,14130
2022-11-14 06:29,3,14133
2022-11-14 09:23,3,14136
2022-11-14 12:53,3,14139
2022-11-14 15:25,3,14142
2022-11-14 18:27,3,14177
2022-11-14 21:21,3,14181
2022-11-15 01:56,3,14186
2022-11-15 03:47,3,14188
2022-11-15 06:26,3,14191
2022-11-15 09:21,3,14196
2022-11-15 12:44,3,14201
2022-11-15 15:23,3,14204
2022-11-15 18:27,3,14207
2022-11-15 21:19,3,14210
2022-11-16 01:57,3,14214
2022-11-16 03:48,3,14216
2022-11-16 06:26,3,14219
2022-11-16 09:21,3,14222
2022-11-16 12:43,3,14225
2022-11-16 15:22,3,14228
2022-11-16 18:26,3,14231
2022-11-16 21:18,3,14234
2022-11-17 01:56,3,14239
2022-11-17 03:43,3,14240
2022-11-17 06:27,3,14243
2022-11-17 09:21,3,14248
2022-11-17 12:45,3,14251
2022-11-17 15:22,3,14256
2022-11-17 18:26,3,14259
2022-11-17 21:18,3,14264
2022-11-18 02:01,3,14269
2022-11-18 03:43,3,14271
2022-11-18 06:27,3,14273
2022-11-18 09:21,3,14276
2022-11-18 12:40,3,14279
2022-11-18 15:22,3,14284
2022-11-18 18:28,3,14287
2022-11-18 21:18,3,14291
2022-11-19 01:53,3,14296
2022-11-19 03:41,3,14297
2022-11-19 06:26,3,14300
2022-11-19 09:19,3,14303
2022-11-19 12:37,3,14307
2022-11-19 15:21,3,14310
2022-11-19 18:25,3,14313
2022-11-19 21:18,3,14316
2022-11-20 02:01,3,14321
2022-11-20 03:46,3,14322
2022-11-20 06:26,3,14325
2022-11-20 09:19,3,14328
2022-11-20 12:38,3,14336
2022-11-20 15:20,3,14339
2022-11-20 18:25,3,14344
2022-11-20 21:18,3,14347
2022-11-21 01:57,3,14352
2022-11-21 07:13,3,14357
2022-11-21 09:22,3,14359
2022-11-21 13:51,3,14363
2022-11-21 15:23,3,14365
2022-11-21 18:27,3,14367
2022-11-21 21:21,3,14375
